Obs,Year,Month,Day,Name,NestName,ID,BandNumber,BandDate,BandDateJul,MeasurementDate,MeasurementDateJulYear,MeasurementDateJul,AgeField,CalcAge,CalcAgeInteger,HatchDate,HatchDateJul,HatchDateJulYear,AllSex,BillNT,TEC,BillWidth,BillDepth,Head,UpperBill,UBillSurface,TotBillSurface,Skull,Tarsus,WingChord,Primary7,TailLength,Weight,Condition
1235,2005,5,12,IJ,IRIS05,IJ IRIS05,775-27371,6/7/2005,158,6/7/2005,2005158,158,26,25.4,25,5/12/2005,132,2005132,F,23.2,32.4,13.2,12.9,77.4,9.2,118.68,211.41,45,59,163,99,48,390,0.12
1238,2005,5,20,MF,SLI205,MF SLI205,775-27374,6/13/2005,164,6/13/2005,2005164,164,24,24,24,5/20/2005,140,2005140,F,20.4,31.6,12.8,12.3,67.7,11.2,137.76,198.29,36.1,52.5,108,59,19,290,0.13
1303,2006,4,13,UX,MNDY06,UX MNDY06,775-27384,5/7/2006,127,5/7/2006,2006127,127,24,25.5,25,4/13/2006,103,2006103,F,21.7,33.8,13.9,12.5,72.9,12.1,151.25,223.08,39.1,58.4,155,89.8,58,385,0.12
1294,2006,4,13,ME,LOCO06,ME LOCO06,775-27395,5/10/2006,130,5/10/2006,2006130,130,27,26.1,26,4/13/2006,103,2006103,F,22.5,34.8,12.2,11.8,73.7,12.3,145.14,208.8,38.9,56.9,162,108,63,335,0.12
1290,2006,4,13,II,LOCO06,II LOCO06,775-27391,5/10/2006,130,5/10/2006,2006130,130,27,26.8,27,4/13/2006,103,2006103,F,23,37.5,12.2,12.2,77.6,14.5,176.9,228.75,40.1,60.7,177,119,71,432,0.12
1292,2006,4,13,KG,LOCO06,KG LOCO06,775-27393,5/10/2006,130,5/10/2006,2006130,130,27,27.1,27,4/13/2006,103,2006103,F,23,35.8,12.6,12.5,77.4,12.8,160,224.645,41.6,58.4,179,125,75,380,0.12
1293,2006,4,13,LF,LOCO06,LF LOCO06,775-27394,5/10/2006,130,5/10/2006,2006130,130,27,26.6,27,4/13/2006,103,2006103,F,22.1,33.8,13,13.1,75.7,11.7,153.27,220.545,41.9,59.6,169,115,71,316,0.11
1271,2006,4,14,AS,ECRI06,AS ECRI06,775-27379,5/7/2006,127,5/7/2006,2006127,127,23,23,23,4/14/2006,104,2006104,F,21.4,32.9,11.3,11.5,73.6,11.5,132.25,187.53,40.7,59.6,135,78,38,333,0.12
1272,2006,4,14,CQ,ECRI06,CQ ECRI06,775-27381,5/7/2006,127,5/7/2006,2006127,127,23,23,23,4/14/2006,104,2006104,F,21.1,31.7,12.8,13.1,73.6,10.6,138.86,205.2575,41.9,57.3,138,85,40,343,0.12
1302,2006,4,14,XU,MNDY06,XU MNDY06,775-27383,5/7/2006,127,5/7/2006,2006127,127,23,23,23,4/14/2006,104,2006104,F,20.8,34.1,12.2,12.2,71.9,13.3,162.26,208.01,37.8,58.2,135,80,46,375,0.12
1276,2006,4,14,AQ,HAPA06,AQ HAPA06,775-27386,5/8/2006,128,5/8/2006,2006128,128,24,25,25,4/14/2006,104,2006104,F,20.8,33.9,12.6,12.4,73.8,13.1,162.44,211.875,39.9,59.4,150,89,42,385,0.12
1278,2006,4,14,CO,HAPA06,CO HAPA06,775-27388,5/8/2006,128,5/8/2006,2006128,128,24,25.3,25,4/14/2006,104,2006104,F,21.2,34.4,11.8,13.1,73.7,13.2,172.92,214.14,39.3,59,151,94,47,387,0.12
1289,2006,4,15,HJ,LOCO06,HJ LOCO06,775-27390,5/10/2006,130,5/10/2006,2006130,130,25,25.2,25,4/15/2006,105,2006105,F,20.2,31.7,12.9,11.8,71.5,11.5,135.7,195.7475,39.8,56.2,144,92,47,327,0.12
1333,2006,4,15,SY,STAD06,SY STAD06,775-27399,5/10/2006,130,5/10/2006,2006130,130,25,24.8,25,4/15/2006,105,2006105,F,19.6,30.2,12.5,12.6,70.5,10.6,133.56,189.505,40.3,55.4,139,80,40,355,0.13
1261,2006,4,16,VV,CLAR06,VV CLAR06,1045-01402,5/12/2006,132,5/12/2006,2006132,132,26,26.1,26,4/16/2006,106,2006106,F,22.4,34.5,12.4,13.6,75.2,12.1,164.56,224.25,40.7,61.8,168,105,64,397,0.12
1259,2006,4,17,UW,CLAR06,UW CLAR06,1045-01401,5/12/2006,132,5/12/2006,2006132,132,25,25.8,26,4/17/2006,107,2006107,F,21.7,32.4,11.8,13,74.3,10.7,139.1,200.88,41.9,61.6,163,105,55,410,0.12
1255,2006,4,17,OB,CARD06,OB CARD06,1045-01417,5/16/2006,136,5/16/2006,2006136,136,29,27.4,27,4/17/2006,107,2006107,F,24.3,38.1,13.3,13.6,79.8,13.8,187.68,256.2225,41.7,61.1,185,126,80,350,0.12
1256,2006,4,17,doa,CARD06,doa CARD06,,5/16/2006,136,5/16/2006,2006136,136,29,27.7,28,4/17/2006,107,2006107,F,25.5,38.2,12.7,13.1,80.7,12.7,166.37,246.39,42.5,60.9,195,133,82,375,0.12
1250,2006,4,18,MD,BIRN06,MD BIRN06,1045-01416,5/16/2006,136,5/16/2006,2006136,136,28,27.2,27,4/18/2006,108,2006108,F,23.1,35.2,12.9,13.1,77.1,12.1,158.51,228.8,41.9,53.9,182,131,72,367,0.13
1254,2006,4,18,PA,CARD06,PA CARD06,1045-01418,5/16/2006,136,5/16/2006,2006136,136,28,26.8,27,4/18/2006,108,2006108,F,24,36.5,13.2,13.1,78.2,12.5,163.75,239.9875,41.7,60.9,177,118,72,370,0.12
1299,2006,4,18,FK,MAWA06,FK MAWA06,1045-01410,5/15/2006,135,5/15/2006,2006135,135,27,26.8,27,4/18/2006,108,2006108,F,24.2,35.7,12.6,12.1,79,11.5,139.15,220.4475,43.3,62.7,177,120,72,387,0.12
1301,2006,4,18,HI,MMUR06,HI MMUR06,1045-01412,5/16/2006,136,5/16/2006,2006136,136,28,27.4,27,4/18/2006,108,2006108,F,23.7,36.6,13,13.5,78.6,12.9,174.15,242.475,42,61.5,184,129,79,400,0.12
1249,2006,4,18,LE,BIRN06,LE BIRN06,1045-01415,5/16/2006,136,5/16/2006,2006136,136,28,27.5,28,4/18/2006,108,2006108,F,23.4,35.6,12.4,13.2,76.4,12.2,161.04,227.84,40.8,55.4,184,139,73,395,0.13
1251,2006,4,19,WU,BRBI06,WU BRBI06,1045-01403,5/12/2006,132,5/12/2006,2006132,132,23,23,23,4/19/2006,109,2006109,F,22.1,32.6,13.1,13.3,73.4,10.5,139.65,215.16,40.8,58.8,137,82,37,400,0.13
1252,2006,4,19,YS,BRBI06,YS BRBI06,1045-01404,5/12/2006,132,5/12/2006,2006132,132,23,23,23,4/19/2006,109,2006109,F,21.8,34,12,13.3,74.5,12.2,162.26,215.05,40.5,59.5,148,87,45,410,0.12
1253,2006,4,19,ZR,BRBI06,ZR BRBI06,1045-01405,5/12/2006,132,5/12/2006,2006132,132,23,23,23,4/19/2006,109,2006109,F,21.2,31.4,10.8,12.5,69.2,10.2,127.5,182.905,37.8,57.8,136,86,42,393,0.13
1300,2006,4,19,IH,MMUR06,IH MMUR06,1045-01413,5/16/2006,136,5/16/2006,2006136,136,27,25.4,25,4/19/2006,109,2006109,F,21.7,33.2,12.8,12,74.5,11.5,138,205.84,41.3,57.2,159,101,46,310,0.12
1248,2006,4,19,KF,BIRN06,KF BIRN06,1045-01414,5/16/2006,136,5/16/2006,2006136,136,27,26.5,27,4/19/2006,109,2006109,F,22.9,35.2,13,12.8,76.2,12.3,157.44,227.04,41,60.6,175,119,65,423,0.12
1319,2006,4,19,RY,PIHI06,RY PIHI06,1045-01419,5/17/2006,137,5/17/2006,2006137,137,28,26.8,27,4/19/2006,109,2006109,F,21.8,33.9,12.4,11.5,76.9,12.1,139.15,202.5525,43,57.9,177,122,70,352,0.12
1320,2006,4,19,SX,PIHI06,SX PIHI06,1045-01420,5/17/2006,137,5/17/2006,2006137,137,28,27.1,27,4/19/2006,109,2006109,F,21.2,32.9,12,13.1,74.2,11.7,153.27,206.4475,41.3,56.4,184,134,65,380,0.13
1321,2006,4,19,TW,PIHI06,TW PIHI06,1045-01421,5/17/2006,137,5/17/2006,2006137,137,28,27.4,27,4/19/2006,109,2006109,F,23,34.3,12.3,12.9,77.6,11.3,145.77,216.09,43.3,58.2,189,132,77,401,0.13
1326,2006,4,19,CM,SEPG06,CM SEPG06,1045-01430,5/18/2006,138,5/18/2006,2006138,138,29,27.9,28,4/19/2006,109,2006109,F,23.7,36.1,12.3,11.8,78.7,12.4,146.32,217.5025,42.6,60.2,195,138,83,365,0.12
1318,2006,4,20,UV,PIHI06,UV PIHI06,1045-01422,5/17/2006,137,5/17/2006,2006137,137,27,26.3,26,4/20/2006,110,2006110,F,20.6,32,13.2,12.7,72.9,11.4,144.78,207.2,40.9,56.5,178,118,60,345,0.12
1309,2006,4,22,VU,NEEL06,VU NEEL06,1045-01423,5/17/2006,137,5/17/2006,2006137,137,25,25,25,4/22/2006,112,2006112,F,20.4,30.4,12.1,12.2,72.4,10,122,184.68,42,57.2,140,83,45,310,0.12
1266,2006,4,22,JF,DBAR06,JF DBAR06,1045-01433,5/19/2006,139,5/19/2006,2006139,139,27,26.3,26,4/22/2006,112,2006112,F,22.3,35.5,12.6,12.3,75.7,13.2,162.36,220.9875,40.2,57,168,107,68,382,0.13
1267,2006,4,22,NB,DBAR06,NB DBAR06,1045-01436,5/19/2006,139,5/19/2006,2006139,139,27,26.8,27,4/22/2006,112,2006112,F,22.6,36,14.7,13.5,76.9,13.4,180.9,253.8,40.9,58.5,170,118,74,380,0.12
1337,2006,4,22,CL,TURF06,CL TURF06,1045-01450,5/22/2006,142,5/22/2006,2006142,142,30,28.1,28,4/22/2006,112,2006112,F,23.7,35.8,12.9,13.2,79.7,12.1,159.72,233.595,43.9,59.4,198,134,90,387,0.12
1341,2006,4,23,PZ,WILG06,PZ WILG06,1045-01437,5/19/2006,139,5/19/2006,2006139,139,26,26.4,26,4/23/2006,113,2006113,F,22.8,35.2,12.7,13.1,76.4,12.4,162.44,227.04,41.2,57.7,172,111,68,393,0.13
1342,2006,4,23,RX,WILG06,RX WILG06,1045-01438,5/19/2006,139,5/19/2006,2006139,139,26,25.7,26,4/23/2006,113,2006113,F,21.8,35.6,12,12.9,74.6,13.8,178.02,221.61,39,60,161,103,55,402,0.12
1344,2006,4,23,SW,WILG06,SW WILG06,1045-01440,5/19/2006,139,5/19/2006,2006139,139,26,26.1,26,4/23/2006,113,2006113,F,24.1,36.1,12.5,13.4,78.6,12,160.8,233.7475,42.5,61.4,173,112,58,410,0.12
1322,2006,4,23,UU,ROWA06,UU ROWA06,1045-01442,5/20/2006,140,5/20/2006,2006140,140,27,26.7,27,4/23/2006,113,2006113,F,23,35.9,11.5,13,75.4,12.9,167.7,219.8875,39.5,59.8,174,117,72,379,0.12
1323,2006,4,23,VT,ROWA06,VT ROWA06,1045-01443,5/20/2006,140,5/20/2006,2006140,140,27,26.6,27,4/23/2006,113,2006113,F,22.5,35.4,13.3,13.8,76.5,12.9,178.02,239.835,41.1,61.8,177,118,68,415,0.12
1340,2006,4,24,TV,WILG06,TV WILG06,1045-01441,5/19/2006,139,5/19/2006,2006139,139,25,24.7,25,4/24/2006,114,2006114,F,19.9,31.1,12.2,12.1,71.8,11.2,135.52,188.9325,40.7,58.9,142,80,35,360,0.12
1350,2006,4,24,HG,WWCK06,HG WWCK06,1045-01454,5/23/2006,143,5/23/2006,2006143,143,29,27.6,28,4/24/2006,114,2006114,F,22.3,35,13.2,13.5,78.4,12.7,171.45,233.625,43.4,60.8,191,133,81,424,0.12
1258,2006,4,25,AN,CCLI06,AN CCLI06,1045-01448,5/22/2006,142,5/22/2006,2006142,142,27,26.5,27,4/25/2006,115,2006115,F,21.4,35.4,12.2,13.4,75.7,14,187.6,226.56,40.3,56.1,171,116,67,354,0.13
1314,2006,4,25,NA,ORHA06,NA ORHA06,1045-01458,5/23/2006,143,5/23/2006,2006143,143,28,27,27,4/25/2006,115,2006115,F,23.1,34.4,14.1,13.6,78.7,11.3,153.68,238.22,44.3,60.7,185,124,72,425,0.12
1331,2006,4,25,BL,SPRU06,BL SPRU06,0965-66112,5/25/2006,145,5/25/2006,2006145,145,30,27.9,28,4/25/2006,115,2006115,F,22.3,33.9,12.4,12.6,75.4,11.6,146.16,211.875,41.5,54.3,193,135,85,362,0.13
1245,2006,4,26,PY,ARRO06,PY ARRO06,1045-01460,5/23/2006,143,5/23/2006,2006143,143,27,26.2,26,4/26/2006,116,2006116,F,21.4,32.1,13.2,12.8,73.3,10.7,136.96,208.65,41.2,54.5,158,116,56,318,0.13
1246,2006,4,26,QX,ARRO06,QX ARRO06,0965-66101,5/23/2006,143,5/23/2006,2006143,143,27,26.4,26,4/26/2006,116,2006116,F,21.6,33,12.6,12,73.1,11.4,136.8,202.95,40.1,54.3,169,115,65,327,0.13
1244,2006,4,27,SV,ARRO06,SV ARRO06,0965-66103,5/23/2006,143,5/23/2006,2006143,143,26,25.4,25,4/27/2006,117,2006117,F,20.6,31,12.3,11.6,72.8,10.4,120.64,185.225,41.8,55.8,154,101,45,317,0.12
1329,2006,4,30,DJ,SLIM06,DJ SLIM06,0965-66114,5/26/2006,146,5/26/2006,2006146,146,26,25.8,26,4/30/2006,120,2006120,F,21.7,32.6,13.8,12,74,10.9,130.8,210.27,41.4,58.4,158,101,58,420,0.13
1345,2006,4,30,WR,WKAY06,WR WKAY06,0965-66107,5/25/2006,145,5/25/2006,2006145,145,25,25.6,26,4/30/2006,120,2006120,F,20.6,32.2,12.2,12.7,72.5,11.6,147.32,200.445,40.3,52.8,156,104,50,308,0.13
1308,2006,5,2,GG,NBU206,GG NBU206,0965-66117,5/30/2006,150,5/30/2006,2006150,150,28,27.3,27,5/2/2006,122,2006122,F,22.8,35.2,12.7,13.6,76.4,12.4,168.64,231.44,41.2,58.8,187,129,77,345,0.12
1305,2006,5,3,HF,NBU206,HF NBU206,0965-66118,5/30/2006,150,5/30/2006,2006150,150,27,25.5,25,5/3/2006,123,2006123,F,20.7,31.8,11.6,11.8,71.5,11.1,130.98,186.03,39.7,55.1,156,102,47,293,0.12
1281,2006,5,3,JD,HAW206,JD HAW206,0965-66120,5/31/2006,151,5/31/2006,2006151,151,28,26.3,26,5/3/2006,123,2006123,F,22.4,34.5,12.8,12.9,74.4,12.1,156.09,221.6625,39.9,56.2,169,113,65,317,0.12
1283,2006,5,3,LB,HAW206,LB HAW206,0965-66122,5/31/2006,151,5/31/2006,2006151,151,28,27.6,28,5/3/2006,123,2006123,F,23.6,35.6,14.5,13.7,77.7,12,164.4,250.98,42.1,60.9,195,134,80,389,0.12
1268,2006,5,7,MA,DOG206,MA DOG206,0965-66123,6/5/2006,156,6/5/2006,2006156,156,29,28.3,28,5/7/2006,127,2006127,F,25,31.8,13.4,13.7,79.7,6.8,93.16,215.445,47.9,59.1,199,140,90,377,0.12
1285,2006,5,18,doa,JUDD06,doa JUDD06,,6/12/2006,163,6/12/2006,2006163,163,25,26.2,26,5/18/2006,138,2006138,F,21.4,35.4,13.8,13,73.6,14,182,237.18,38.2,54.6,164,118,54,315,0.12
1284,2006,5,19,SU,JUDD06,SU JUDD06,0965-66127,6/12/2006,163,6/12/2006,2006163,163,24,24.3,24,5/19/2006,139,2006139,F,18.4,28.6,11.6,11.4,67.9,10.2,116.28,164.45,39.3,50.8,124,69,25,270,0.13
1330,2006,5,21,CJ,SLO206,CJ SLO206,0965-66128,6/17/2006,168,6/17/2006,2006168,168,27,26.3,26,5/21/2006,141,2006141,F,21.3,32.4,10.7,12.4,72.6,11.1,137.64,187.11,40.2,57.6,173,114,63,342,0.12
1352,2007,4,12,BI,LOCO07,BI LOCO07,0965-66136,5/6/2007,126,5/6/2007,2007126,126,24,25.2,25,4/12/2007,102,2007102,F,21.7,33.6,13,12.7,75.1,11.9,151.13,215.88,41.5,59.2,148,91,48,385,0.12
1361,2007,4,15,KZ,SPRU07,KZ SPRU07,0965-66145,5/12/2007,132,5/12/2007,2007132,132,27,26.4,26,4/15/2007,105,2007105,F,23.2,34.5,11.7,12.7,76.1,11.3,143.51,210.45,41.6,57.4,174,112,67,393,0.13
1364,2007,4,15,OV,SPRU07,OV SPRU07,0965-66148,5/12/2007,132,5/12/2007,2007132,132,27,26.4,26,4/15/2007,105,2007105,F,23.2,35.4,13,12.8,76.9,12.2,156.16,228.33,41.5,60.5,171,112,68,390,0.12
1356,2007,4,16,FE,STAD07,FE STAD07,0965-66140,5/12/2007,132,5/12/2007,2007132,132,26,26.4,26,4/16/2007,106,2007106,F,21.9,34.9,12.7,12.4,74.8,13,161.2,218.9975,39.9,57.6,172,118,62,364,0.12
1358,2007,4,16,HC,STAD07,HC STAD07,0965-66142,5/12/2007,132,5/12/2007,2007132,132,26,26.4,26,4/16/2007,106,2007106,F,22.1,33.4,12.4,12.3,74,11.3,138.99,206.245,40.6,57.7,172,115,66,355,0.12
1362,2007,4,16,LY,SPRU07,LY SPRU07,0965-66146,5/12/2007,132,5/12/2007,2007132,132,26,26.1,26,4/16/2007,106,2007106,F,22.5,35,11.4,11.6,76.3,12.5,145,201.25,41.3,57.6,167,108,61,365,0.12
1366,2007,4,16,SR,NBUR07,SR NBUR07,0965-66150,5/12/2007,132,5/12/2007,2007132,132,26,25.6,26,4/16/2007,106,2007106,F,21.6,31.8,11.7,12,72.6,10.2,122.4,188.415,40.8,58.3,160,102,53,360,0.12
1369,2007,4,16,VO,NBUR07,VO NBUR07,0965-66153,5/12/2007,132,5/12/2007,2007132,132,26,26.2,26,4/16/2007,106,2007106,F,20.6,32.5,11.3,11.7,74.5,11.9,139.23,186.875,42,58.1,172,113,60,357,0.12
1385,2007,4,16,QS,CLAR07,QS CLAR07,0965-66173,5/14/2007,134,5/14/2007,2007134,134,28,26.9,27,4/16/2007,106,2007106,F,23.4,34.4,10.5,12.2,77,11,134.2,195.22,42.6,59.2,168,123,72,405,0.12
1357,2007,4,17,GD,STAD07,GD STAD07,0965-66141,5/12/2007,132,5/12/2007,2007132,132,25,26.3,26,4/17/2007,107,2007107,F,22.1,33.4,11.8,12.4,72.7,11.3,140.12,202.07,39.3,59.2,171,113,65,375,0.12
1394,2007,4,17,BG,MNDY07,BG MNDY07,0965-66185,5/15/2007,135,5/15/2007,2007135,135,28,25.8,26,4/17/2007,107,2007107,F,20.7,34,13.2,12.6,73.1,13.3,167.58,219.3,39.1,57.5,157,104,55,360,0.12
1395,2007,4,17,CF,MNDY07,CF MNDY07,0965-66186,5/15/2007,135,5/15/2007,2007135,135,28,26.5,26,4/17/2007,107,2007107,F,21.6,35.8,12.1,12.8,74.1,14.2,181.76,222.855,38.3,57.5,176,112,69,420,0.13
1393,2007,4,17,AH,MNDY07,AH MNDY07,0965-66184,5/15/2007,135,5/15/2007,2007135,135,28,27,27,4/17/2007,107,2007107,F,22.6,34.9,11.7,12.1,77.7,12.3,148.83,207.655,42.8,56.2,177,123,75,390,0.13
1374,2007,4,18,AI,FOWA07,AI FOWA07,0965-66158,5/13/2007,133,5/13/2007,2007133,133,25,25,25,4/18/2007,108,2007108,F,21.3,34.4,12.9,11.9,74.6,13.1,155.89,213.28,40.2,57.5,146,88,42,343,0.12
1378,2007,4,18,EE,FOWA07,EE FOWA07,0965-66162,5/13/2007,133,5/13/2007,2007133,133,25,25.9,26,4/18/2007,108,2007108,F,21.8,35.1,11.5,11.9,74.5,13.3,158.27,205.335,39.4,58.1,163,100,62,363,0.12
1406,2007,4,18,NU,BIRC07,NU BIRC07,0965-66198,5/16/2007,136,5/16/2007,2007136,136,28,26.5,26,4/18/2007,108,2007108,F,22.9,35,11.5,11.7,75,12.1,141.57,203,40,56.5,175,118,64,377,0.13
1405,2007,4,18,MV,BIRC07,MV BIRC07,0965-66197,5/16/2007,136,5/16/2007,2007136,136,28,27.2,27,4/18/2007,108,2007108,F,24.1,35,11.2,12,76.2,10.9,130.8,203,41.2,56.2,180,123,78,376,0.13
1408,2007,4,18,PS,BIRC07,PS BIRC07,0965-66200,5/16/2007,136,5/16/2007,2007136,136,28,27,27,4/18/2007,108,2007108,F,22.8,35.3,11.8,12.5,76.3,12.5,156.25,214.4475,41,57.6,175,125,73,395,0.13
1375,2007,4,19,BH,FOWA07,BH FOWA07,0965-66159,5/13/2007,133,5/13/2007,2007133,133,24,24.4,24,4/19/2007,109,2007109,F,19.6,33,11.6,9.6,66.9,13.4,128.64,174.9,33.9,57.6,125,69,30,325,0.12
1379,2007,4,19,JZ,HAPA07,JZ HAPA07,0965-66163,5/13/2007,133,5/13/2007,2007133,133,24,25.1,25,4/19/2007,109,2007109,F,20.5,32.8,11.8,12.6,72.2,12.3,154.98,200.08,39.4,57.7,148,93,43,390,0.13
1381,2007,4,19,FD,HAPA07,FD HAPA07,0965-66165,5/13/2007,133,5/13/2007,2007133,133,24,25.6,26,4/19/2007,109,2007109,F,19.7,33.6,9.9,12.1,74.5,13.9,168.19,184.8,40.9,58.8,155,98,55,395,0.12
1407,2007,4,19,OT,BIRC07,OT BIRC07,0965-66199,5/16/2007,136,5/16/2007,2007136,136,27,25.7,26,4/19/2007,109,2007109,F,21,31.8,18.4,12.2,71.4,10.8,131.76,243.27,39.6,56.3,159,103,53,330,0.12
1372,2007,4,20,YL,MICE07,YL MICE07,0965-66156,5/13/2007,133,5/13/2007,2007133,133,23,23,23,4/20/2007,110,2007110,F,21.2,32.4,12.8,11.3,70.9,11.2,126.56,195.21,38.5,58.3,134,78,39,334,0.12
1389,2007,4,20,UO,NEEL07,UO NEEL07,0965-66180,5/15/2007,135,5/15/2007,2007135,135,25,25.4,25,4/20/2007,110,2007110,F,21.3,33.6,12.9,11.6,73.3,12.3,142.68,205.8,39.7,54.5,153,100,47,340,0.13
1388,2007,4,20,TP,NEEL07,TP NEEL07,0965-66179,5/15/2007,135,5/15/2007,2007135,135,25,25.9,26,4/20/2007,110,2007110,F,22.4,35.5,10.6,12.4,76.4,13.1,162.44,204.125,40.9,59.3,148,110,54,360,0.12
1390,2007,4,20,VN,NEEL07,VN NEEL07,0965-66181,5/15/2007,135,5/15/2007,2007135,135,25,25.5,26,4/20/2007,110,2007110,F,20.6,33.1,12.4,12.8,71.4,12.5,160,208.53,38.3,54.8,162,99,52,340,0.13
1391,2007,4,20,YK,NEEL07,YK NEEL07,0965-66182,5/15/2007,135,5/15/2007,2007135,135,25,25.7,26,4/20/2007,110,2007110,F,19.9,31.5,11.6,11.6,72.6,11.6,134.56,182.7,41.1,57.2,161,106,52,345,0.12
1392,2007,4,20,ZJ,NEEL07,ZJ NEEL07,0965-66183,5/15/2007,135,5/15/2007,2007135,135,25,25.6,26,4/20/2007,110,2007110,F,21.7,32.7,13,12.5,71.8,11,137.5,208.4625,39.1,57.2,155,102,50,350,0.12
1399,2007,4,20,FC,CCLI07,FC CCLI07,0965-66190,5/15/2007,135,5/15/2007,2007135,135,25,25.6,26,4/20/2007,110,2007110,F,19.9,31.4,11.9,12,71.8,11.5,138,187.615,40.4,58.4,156,96,57,387,0.12
1412,2007,4,20,TO,KAYS07,TO KAYS07,0965-66204,5/17/2007,137,5/17/2007,2007137,137,27,26.3,26,4/20/2007,110,2007110,F,22.9,35.9,13.4,12.3,77.6,13,159.9,230.6575,41.7,60,171,118,59,365,0.12
1411,2007,4,20,SP,KAYS07,SP KAYS07,0965-66203,5/17/2007,137,5/17/2007,2007137,137,27,26.7,27,4/20/2007,110,2007110,F,22.3,35.9,13,13.3,74,13.6,180.88,236.0425,38.1,58.7,181,119,70,385,0.12
1413,2007,4,21,UN,KAYS07,UN KAYS07,0965-66205,5/17/2007,137,5/17/2007,2007137,137,26,24.2,24,4/21/2007,111,2007111,F,18.2,31.1,13.1,11,68.7,12.9,141.9,187.3775,37.6,54.3,117,67,20,268,0.12
1403,2007,4,21,JY,LRIS07,JY LRIS07,0965-66195,5/16/2007,136,5/16/2007,2007136,136,25,25.8,26,4/21/2007,111,2007111,F,22.5,34,12.6,12.8,76.9,11.5,147.2,215.9,42.9,59.8,172,104,55,375,0.12
1433,2007,4,21,OS,DBAR07,OS DBAR07,0965-66222,5/19/2007,139,5/19/2007,2007139,139,28,27.3,27,4/21/2007,111,2007111,F,23.9,35.8,12,13.1,79,11.9,155.89,224.645,43.2,57.2,188,129,75,411,0.13
1401,2007,4,22,HA,SEPG07,HA SEPG07,0965-66192,5/15/2007,135,5/15/2007,2007135,135,23,23,23,4/22/2007,112,2007112,F,20.7,29.6,10.9,11.4,71.5,8.9,101.46,165.02,41.9,57.7,137,80,43,358,0.12
1402,2007,4,22,IZ,SEPG07,IZ SEPG07,0965-66193,5/15/2007,135,5/15/2007,2007135,135,23,23,23,4/22/2007,112,2007112,F,20.9,31.2,11.6,11.8,70.9,10.3,121.54,182.52,39.7,58.2,131,77,31,330,0.12
1415,2007,4,22,doa2,BROT07,doa2 BROT07,,5/17/2007,137,5/17/2007,2007137,137,25,25,25,4/22/2007,112,2007112,F,22.7,34.8,10.9,11.9,76.3,12.1,143.99,198.36,41.5,59.2,157,106,NA,NA,0
1423,2007,4,22,IY,WWCK07,IY WWCK07,0965-66217,5/18/2007,138,5/18/2007,2007138,138,26,26.3,26,4/22/2007,112,2007112,F,22,33.9,11,13,77.1,11.9,154.7,203.4,43.2,57.4,166,110,66,382,0.13
1424,2007,4,22,JX,WWCK07,JX WWCK07,0965-66218,5/18/2007,138,5/18/2007,2007138,138,26,26.1,26,4/22/2007,112,2007112,F,21.2,32.5,12.3,12.9,75.9,11.3,145.77,204.75,43.4,56.9,160,110,60,360,0.13
1425,2007,4,22,KW,WWCK07,KW WWCK07,0965-66219,5/18/2007,138,5/18/2007,2007138,138,26,26.2,26,4/22/2007,112,2007112,F,21.4,33.6,12,13.5,76.5,12.2,164.7,214.2,42.9,58.2,166,110,63,400,0.13
1434,2007,4,22,PR,DBAR07,PR DBAR07,0965-66223,5/19/2007,139,5/19/2007,2007139,139,27,25.6,26,4/22/2007,112,2007112,F,21.3,33.4,13.3,12.3,72.6,12.1,148.83,213.76,39.2,58.1,162,103,51,365,0.12
1426,2007,4,22,MU,WWCK07,MU WWCK07,0965-66220,5/18/2007,138,5/18/2007,2007138,138,26,26.6,27,4/22/2007,112,2007112,F,21.9,36.2,12.4,12.8,76.9,14.3,183.04,228.06,40.7,59.1,174,115,70,423,0.13
1421,2007,4,23,GA,WWCK07,GA WWCK07,0965-66215,5/18/2007,138,5/18/2007,2007138,138,25,25.4,25,4/23/2007,113,2007113,F,19.8,33.1,10,12.2,72.2,13.3,162.26,183.705,39.1,56.2,153,93,52,340,0.12
1422,2007,4,23,HZ,WWCK07,HZ WWCK07,0965-66216,5/18/2007,138,5/18/2007,2007138,138,25,24.8,25,4/23/2007,113,2007113,F,18.6,31.1,10.8,12.9,68.5,12.5,161.25,184.2675,37.4,55.5,134,86,34,338,0.13
1417,2007,4,23,WL,SLOP07,WL SLOP07,0965-66207,5/17/2007,137,5/17/2007,2007137,137,24,25.5,26,4/23/2007,113,2007113,F,22,31.6,10.6,12.4,73.7,9.6,119.04,181.7,42.1,56.1,153,100,50,328,0.12
1437,2007,4,24,SO,CRIS07,SO CRIS07,0965-66226,5/19/2007,139,5/19/2007,2007139,139,25,25.4,25,4/24/2007,114,2007114,F,20.6,34.8,11.5,12.3,69.7,14.2,174.66,207.06,34.9,55.1,151,97,49,350,0.13
1446,2007,4,27,CD,SWEG07,CD SWEG07,0965-66232,5/21/2007,141,5/21/2007,2007141,141,24,25.3,25,4/27/2007,117,2007117,F,21.5,33.8,13.4,13.3,73.8,12.3,163.59,225.615,40,56.5,152,94,50,380,0.13
