Date,Year,Name,NestName,ID,FieldAge,HatchDateJul,HatchDateJulYear,AllSex,CalcAge,BNT,BW,BD,TEC,Head,UB,UBS,TBS,Skull,Tarsus,Weight,MaxC1_11,MaxC12_22,MaxCIncubation,MinC1_11,MinC12_22,MinCIncubation,GDD10CSum1_11,GDD10CSum12_22,GDD10CSumIncubation,PrecipSum1_11,PrecipSum12_22,PrecipSumIncubation,MaxC6_19,MinC6_19,GDD10CSum6_19,PrecipSum6_19,MaxC8_22,MinC8_22,GDD10CSum8_22,PrecipSum8_22,UBSWeightRatio
4/22/1991,1991,XA,OVRL91,XA OVRL91,28,112,1991112,,26.5,21.6,16.1,13,34.8,73.2,13.2,171.6,253.17,38.4,55.5,295,18.03030303,17.07070707,15.05847953,5.202020202,5.050505051,3.947368421,17.77777778,11.66666667,-9.444444444,4.953,1.3716,7.874,18.05555556,5.833333333,27.22222222,2.5654,18.59259259,6.037037037,34.72222222,2.5654,0.581694915
4/27/1993,1993,BO,PARP93,BO PARP93,24,117,1993117,,24.1,17.6,12.7,11.1,27.3,67.4,9.7,107.67,162.435,40.1,52.3,295,19.74747475,21.91919192,12.98245614,6.111111111,4.949494949,2.280701754,32.22222222,37.77777778,-45,1.8796,0.3302,19.4056,22.6984127,6.626984127,65.27777778,1.8288,22,6.592592593,64.44444444,2.0574,0.364983051
4/21/1999,1999,X7,MMUR99,X7 MMUR99,28,111,1999111,F,25.5,21.2,12.3,13,34,73.1,12.8,166.4,215.05,39.1,53.1,295,13.58585859,21.06060606,12.13450292,-1.212121212,7.525252525,0.116959064,-41.94444444,47.22222222,-73.61111111,1.8796,0.8382,3.683,19.84126984,4.404761905,29.72222222,0.7874,19.77777778,5.185185185,37.22222222,0.8382,0.564067797
5/4/2002,2002,3Q,VETS02,3Q VETS02,26,124,2002124,M,25.6,19.8,12.6,11.8,31.6,72.8,11.8,139.24,192.76,41.2,56.6,295,16.71717172,14.6969697,15.40935673,4.545454545,2.02020202,3.099415205,6.944444444,-18.05555556,-14.16666667,8.5852,2.5908,3.9624,13.17460317,2.738095238,-28.61111111,10.3632,14.77777778,2.62962963,-19.44444444,9.8806,0.472
4/23/2005,2005,NI,IEQR05,NI IEQR05,24,113,2005113,F,25.2,21.6,12.4,12.4,33.3,74.3,11.7,145.08,206.46,41,60,295,13.08080808,17.17171717,16.43274854,2.272727273,2.727272727,-0.321637427,-25.55555556,-0.555555556,-36.94444444,3.8354,0.3556,1.905,15.07936508,2.738095238,-15.27777778,0.8128,15.7037037,2.518518519,-13.33333333,0.8636,0.49179661
4/23/2013,2013,doa,CWAR13,doa CWAR13,28,113,2013113,,27.4,21.5,11.1,12.2,34.2,74.8,12.7,154.9,199.2,40.6,56.5,295,17.52525253,19.5959596,12.69005848,4.343434343,6.464646465,1.578947368,10.27777778,33.33333333,-54.44444444,0.889,1.3462,5.6388,21.19047619,7.698412698,62.22222222,1.524,19.62962963,6.777777778,48.05555556,1.3462,0.525084746
4/19/2005,2005,ES,HAWA05,ES HAWA05,24,109,2005109,F,25.2,21.2,11.3,12,31.8,72.6,10.6,127.2,185.235,40.8,58.1,296,16.21212121,13.98989899,14.41520468,2.222222222,1.868686869,0.116959064,-8.611111111,-22.77777778,-51.94444444,3.81,0.6858,7.7724,12.65873016,1.825396825,-38.61111111,2.9972,14.11111111,2.259259259,-27.22222222,0.889,0.42972973
4/20/1992,1992,IL,SSET92,IL SSET92,28,111,1992111,,28,21.3,11.7,10.8,32.8,72.3,11.5,124.2,184.5,39.5,49.7,297,15.65656566,16.41414141,8.859649123,4.646464646,4.343434343,-1.374269006,1.666666667,4.166666667,-118.8888889,4.064,2.7432,5.08,14.64285714,2.420634921,-20.55555556,4.3688,15.66666667,3.037037037,-9.722222222,2.7432,0.418181818
4/26/2003,2003,0,TRUP03,00 TRUP03,27,116,2003116,F,26.4,21.1,11.5,12,32.9,74.6,11.8,141.6,193.2875,41.7,56.2,297,17.72727273,17.32323232,12.42690058,4.04040404,6.262626263,1.198830409,9.722222222,19.72222222,-60.55555556,1.1684,3.7338,1.9558,17.57936508,5.714285714,23.05555556,4.6228,16.55555556,5.259259259,13.61111111,4.1656,0.476767677
4/26/2003,2003,1,TRUP03,01 TRUP03,27,116,2003116,M,26.1,21.6,12.5,12.2,32.9,76.4,11.3,137.86,203.1575,43.5,56.9,297,17.72727273,17.32323232,12.42690058,4.04040404,6.262626263,1.198830409,9.722222222,19.72222222,-60.55555556,1.1684,3.7338,1.9558,17.57936508,5.714285714,23.05555556,4.6228,16.55555556,5.259259259,13.61111111,4.1656,0.464175084
4/26/2004,2004,10,CAFO04,10 CAFO04,24,117,2004117,F,24.5,21.8,13,11.8,32.3,71.9,10.5,123.9,200.26,39.6,55.3,297,17.47474747,23.13131313,13.50877193,5.404040404,10.55555556,2.076023392,15.83333333,75.27777778,-41.94444444,4.2164,3.3528,8.7884,21.46825397,8.73015873,71.38888889,4.9022,21.22222222,8.37037037,71.94444444,6.7056,0.417171717
4/26/2004,2004,21,CAFO04,21 CAFO04,24,117,2004117,F,24.3,21,12.2,11.7,32.4,72.7,11.4,133.38,193.59,40.3,53.1,297,17.47474747,23.13131313,13.50877193,5.404040404,10.55555556,2.076023392,15.83333333,75.27777778,-41.94444444,4.2164,3.3528,8.7884,21.46825397,8.73015873,71.38888889,4.9022,21.22222222,8.37037037,71.94444444,6.7056,0.449090909
4/19/1998,1998,YH,ROTA98,YH ROTA98,25,109,1998109,,25.3,21.8,11.8,12.1,33.5,72.4,11.7,141.57,200.1625,38.9,55.4,298,13.23232323,20.25252525,14.09356725,1.161616162,10.85858586,2.777777778,-30.83333333,61.11111111,-29.72222222,4.9022,2.9718,5.7912,16.82539683,5.833333333,18.61111111,2.7686,17.37037037,7.62962963,37.5,3.7592,0.475067114
4/23/1998,1998,O5,STAT98,O5 STAT98,25,113,1998113,,25,20.8,12.4,11.6,33.7,71.8,12.9,149.64,202.2,38.1,50.7,298,15.90909091,19.6969697,13.42105263,3.737373737,10.4040404,1.754385965,-1.944444444,55.55555556,-45.83333333,1.1684,6.7818,8.4582,18.49206349,9.126984127,53.33333333,6.6548,19.96296296,10.07407407,75.27777778,7.0612,0.502147651
4/29/1999,1999,C8,HOMT99,C8 HOMT99,27,119,1999119,F,27,22,12.8,12.6,32.9,73.1,10.9,137.34,208.915,40.2,55.3,298,21.21212121,20.1010101,11.05263158,6.616161616,5.707070707,-1.111111111,43.05555556,31.94444444,-95.55555556,0.7874,0.2794,3.7338,20.47619048,7.301587302,54.44444444,0.8382,20.74074074,7.851851852,64.44444444,1.0668,0.460872483
4/19/2002,2002,3R,JEWL02,3R JEWL02,27,109,2002109,F,25.3,20.7,11.8,10.7,32.8,72.5,12.1,129.47,184.5,39.7,58.6,298,13.43434343,15.80808081,15.40935673,1.464646465,3.434343434,3.625730994,-28.05555556,-4.166666667,-9.166666667,3.302,1.9558,4.191,13.57142857,0.952380952,-38.33333333,4.1148,14.51851852,2.259259259,-24.16666667,4.9022,0.434463087
