"Date","Decades","Year","Name","NestName","ID","FieldAge","HatchDateJul","HatchDateJulYear","AllSex","CalcAge","BNT","BW","BD","TEC","Head","UB","UBS","TBS","Skull","Tarsus","Weight","MaxC1_11","MaxC12_22","MaxCIncubation","MinC1_11","MinC12_22","MinCIncubation","GDD10CSum1_11","GDD10CSum12_22","GDD10CSumIncubation","PrecipSum1_11","PrecipSum12_22","PrecipSumIncubation","MaxCMinus10C1_11","MaxCMinus10C12_22","MaxCMinus10CIncubation","OneCMinusMinC1_11","OneCMinusMinC12_22","OneCMinusMinCIncubation","MaxC.win","MinC.win","GDD10CSum.win","PrecipSum.win","MaxCMinus10C.win","OneCMinusMinC.win"
"4/18/1990","89-99",1990,"IR","ALEX90","IR ALEX90",26,108,1990108,"",24.7,22.4,13.8,13.5,34.6,73.8,12.2,164.7,236.145,39.2,57.1,353,19.24242424,18.88888889,8.391812865,5.252525253,7.070707071,0.233918129,24.72222222,32.77777778,-108.0555556,2.0066,2.7432,7.8994,9.242424242,8.888888889,-1.608187135,-4.252525253,-6.070707071,0.766081871,21.9047619,7.777777778,4.841269841,2.9464,11.9047619,-6.777777778
"4/18/1990","89-99",1990,"JQ","ALEX90","JQ ALEX90",26,108,1990108,"",25.4,21.2,13.3,13.1,32.5,74.3,11.3,148.03,214.5,41.8,55.8,315,19.24242424,18.88888889,8.391812865,5.252525253,7.070707071,0.233918129,24.72222222,32.77777778,-108.0555556,2.0066,2.7432,7.8994,9.242424242,8.888888889,-1.608187135,-4.252525253,-6.070707071,0.766081871,21.9047619,7.777777778,4.841269841,2.9464,11.9047619,-6.777777778
"5/5/1990","89-99",1990,"OK","CEME90","OK CEME90",24,125,1990125,"",24,20.3,12.4,12.2,31.6,69.9,11.3,137.86,194.34,38.3,52.2,215,17.07070707,17.27272727,19.35672515,6.161616162,7.97979798,6.081871345,17.77777778,28.88888889,51.66666667,5.5372,4.9022,4.2418,7.070707071,7.272727273,9.356725146,-5.161616162,-6.97979798,-5.081871345,17.02380952,7.698412698,2.361111111,7.6962,7.023809524,-6.698412698
"5/5/1990","89-99",1990,"PJ","CEME90","PJ CEME90",24,125,1990125,"",24,20.4,12,11,30.7,69.3,10.3,113.3,176.525,38.6,53.5,237,17.07070707,17.27272727,19.35672515,6.161616162,7.97979798,6.081871345,17.77777778,28.88888889,51.66666667,5.5372,4.9022,4.2418,7.070707071,7.272727273,9.356725146,-5.161616162,-6.97979798,-5.081871345,17.02380952,7.698412698,2.361111111,7.6962,7.023809524,-6.698412698
"4/17/1990","89-99",1990,"OL","HART90","OL HART90",28,107,1990107,"M",28,23.5,12.1,14.4,37.8,79.6,14.3,205.92,250.425,41.8,58.9,423,17.82828283,19.24242424,8.391812865,4.595959596,7.171717172,0.233918129,13.33333333,35.27777778,-108.0555556,2.0066,2.7432,7.7724,7.828282828,9.242424242,-1.608187135,-3.595959596,-6.171717172,0.766081871,21.66666667,7.698412698,4.682539683,2.9718,11.66666667,-6.698412698
"4/17/1990","89-99",1990,"PK","HART90","PK HART90",28,107,1990107,"M",28,23.3,13.7,13.3,36.2,79.4,12.9,171.57,244.35,43.2,62.8,430,17.82828283,19.24242424,8.391812865,4.595959596,7.171717172,0.233918129,13.33333333,35.27777778,-108.0555556,2.0066,2.7432,7.7724,7.828282828,9.242424242,-1.608187135,-3.595959596,-6.171717172,0.766081871,21.66666667,7.698412698,4.682539683,2.9718,11.66666667,-6.698412698
"4/17/1990","89-99",1990,"QJ","HART90","QJ HART90",28,107,1990107,"",28,24.4,13.1,13.3,37.4,79.1,13,172.9,246.84,41.7,59.6,400,17.82828283,19.24242424,8.391812865,4.595959596,7.171717172,0.233918129,13.33333333,35.27777778,-108.0555556,2.0066,2.7432,7.7724,7.828282828,9.242424242,-1.608187135,-3.595959596,-6.171717172,0.766081871,21.66666667,7.698412698,4.682539683,2.9718,11.66666667,-6.698412698
"4/17/1990","89-99",1990,"RI","HART90","RI HART90",28,107,1990107,"M",28,22.1,13,12.7,35.1,76.8,13,165.1,225.5175,41.7,58.6,388,17.82828283,19.24242424,8.391812865,4.595959596,7.171717172,0.233918129,13.33333333,35.27777778,-108.0555556,2.0066,2.7432,7.7724,7.828282828,9.242424242,-1.608187135,-3.595959596,-6.171717172,0.766081871,21.66666667,7.698412698,4.682539683,2.9718,11.66666667,-6.698412698
"4/30/1990","89-99",1990,"HR","HOGS90","HR HOGS90",24,120,1990120,"M",24,22,13.4,13,34.6,74.8,12.6,163.8,228.36,40.2,59.1,415,18.38383838,17.07070707,17.01754386,6.919191919,7.373737374,4.561403509,29.16666667,24.44444444,15,2.7432,7.5438,2.1082,8.383838384,7.070707071,7.01754386,-5.919191919,-6.373737374,-3.561403509,18.17460317,7.579365079,2.876984127,7.7216,8.174603175,-6.579365079
"4/21/1990","89-99",1990,"SH","KNOL90","SH KNOL90",26,111,1990111,"M",26,23.9,13.4,13.9,36.1,78.5,12.2,169.58,246.3825,42.4,61.5,390,22.97979798,16.86868687,9.356725146,8.98989899,5.202020202,-0.087719298,65.83333333,11.38888889,-101.9444444,1.6764,3.7846,8.4836,12.97979798,6.868686869,-0.643274854,-7.98989899,-4.202020202,1.087719298,21.07142857,8.015873016,4.543650794,2.9972,11.07142857,-7.015873016
