"Date","HatchDateJulYear","MeanMax1_11","MeanMax12_22","MeanMaxIncubation","MeanMin1_11","MeanMin12_22","MeanMinIncubation","PrecipSum1_11","PrecipSum12_22","PrecipSumIncubation","C5Sum1_11","C5Sum12_22","C5SumIncubation","C10Sum1_11","C10Sum12_22","C10SumIncubation","C15Sum1_11","C15Sum12_22","C15SumIncubation"
"1989-01-01",1989001,-0.909090909090905,2.77777777777778,0.555555555555556,-9.7979797979798,-7.27272727272727,-6.66666666666667,0.889,0.2032,0,-113.888888888889,-79.7222222222222,-8.05555555555556,-168.888888888889,-134.722222222222,-13.0555555555556,-223.888888888889,-189.722222222222,-18.0555555555556
"1989-01-02",1989002,-0.909090909090905,3.38383838383838,0.833333333333333,-10,-7.07070707070707,-5.83333333333333,0.889,0.2032,0,-115,-75.2777777777778,-15,-170,-130.277777777778,-25,-225,-185.277777777778,-35
"1989-01-03",1989003,-0.555555555555551,4.09090909090909,1.85185185185185,-9.8989898989899,-7.17171717171717,-5.74074074074074,0.9398,0.1524,0,-112.5,-71.9444444444444,-20.8333333333333,-167.5,-126.944444444444,-35.8333333333333,-222.5,-181.944444444444,-50.8333333333333
"1989-01-04",1989004,-1.06060606060606,5.1010101010101,0.555555555555557,-10.3535353535354,-6.81818181818181,-8.75000000000001,0.9398,0.1524,0.254,-117.777777777778,-64.4444444444444,-36.3888888888889,-172.777777777778,-119.444444444444,-56.3888888888889,-227.777777777778,-174.444444444444,-76.3888888888889
"1989-01-05",1989005,-0.454545454545451,5.05050505050505,-2.22222222222221,-9.49494949494949,-6.61616161616161,-10.6666666666667,0.6858,0.2794,0.4064,-109.722222222222,-63.6111111111111,-57.2222222222222,-164.722222222222,-118.611111111111,-82.2222222222222,-219.722222222222,-173.611111111111,-107.222222222222
"1989-01-06",1989006,1.26262626262626,5.1010101010101,-3.05555555555555,-8.08080808080808,-6.41414141414141,-11.5740740740741,0.5334,0.6604,0.508,-92.5,-62.2222222222222,-73.8888888888889,-147.5,-117.222222222222,-103.888888888889,-202.5,-172.222222222222,-133.888888888889
"1989-01-07",1989007,2.17171717171717,5.05050505050505,-3.09523809523809,-7.07070707070708,-6.41414141414141,-11.1111111111111,0.4318,0.7112,0.5842,-81.9444444444444,-62.5,-84.7222222222222,-136.944444444444,-117.5,-119.722222222222,-191.944444444444,-172.5,-154.722222222222
"1989-01-08",1989008,2.97979797979798,5.50505050505051,-2.15277777777777,-6.81818181818182,-6.16161616161616,-10.1388888888889,0.3556,0.7112,0.762,-76.1111111111111,-58.6111111111111,-89.1666666666667,-131.111111111111,-113.611111111111,-129.166666666667,-186.111111111111,-168.611111111111,-169.166666666667
"1989-01-09",1989009,3.18181818181818,5.60606060606061,-0.925925925925922,-6.66666666666667,-6.16161616161616,-9.44444444444444,0.1778,0.7874,0.762,-74.1666666666666,-58.0555555555556,-91.6666666666667,-129.166666666667,-113.055555555556,-136.666666666667,-184.166666666667,-168.055555555555,-181.666666666667
"1989-01-10",1989010,2.77777777777778,5.85858585858586,-1.16666666666666,-6.56565656565657,-5.95959595959596,-9.88888888888889,0.1778,0.8128,0.889,-75.8333333333333,-55.5555555555556,-105.277777777778,-130.833333333333,-110.555555555556,-155.277777777778,-185.833333333333,-165.555555555555,-205.277777777778
"1989-01-11",1989011,3.53535353535354,6.46464646464647,-0.909090909090905,-6.61616161616162,-4.5959595959596,-9.7979797979798,0.2032,0.6604,0.889,-71.9444444444444,-44.7222222222222,-113.888888888889,-126.944444444444,-99.7222222222223,-168.888888888889,-181.944444444444,-154.722222222222,-223.888888888889
"1989-01-12",1989012,2.77777777777778,8.4848484848485,-0.787037037037033,-7.27272727272727,-3.58585858585859,-9.72222222222222,0.2032,0.6604,0.889,-79.7222222222222,-28.0555555555556,-123.055555555556,-134.722222222222,-83.0555555555556,-183.055555555556,-189.722222222222,-138.055555555556,-243.055555555555
"1989-01-13",1989013,3.38383838383838,7.42424242424244,-0.341880341880338,-7.07070707070707,-3.68686868686869,-9.27350427350427,0.2032,1.8034,0.9398,-75.2777777777778,-34.4444444444444,-127.5,-130.277777777778,-89.4444444444445,-192.5,-185.277777777778,-144.444444444444,-257.5
"1989-01-14",1989014,4.09090909090909,5.55555555555557,-0.436507936507933,-7.17171717171717,-4.4949494949495,-9.36507936507937,0.1524,2.1336,0.9398,-71.9444444444444,-49.1666666666666,-138.611111111111,-126.944444444444,-104.166666666667,-208.611111111111,-181.944444444444,-159.166666666667,-278.611111111111
"1989-01-15",1989015,5.1010101010101,3.6868686868687,-0.185185185185183,-6.81818181818181,-5.1010101010101,-9.2962962962963,0.1524,2.54,0.9398,-64.4444444444444,-62.7777777777777,-146.111111111111,-119.444444444444,-117.777777777778,-221.111111111111,-174.444444444444,-172.777777777778,-296.111111111111
"1989-01-16",1989016,5.05050505050505,3.03030303030304,0.173611111111114,-6.61616161616161,-5.55555555555555,-8.88888888888889,0.2794,2.4892,0.9398,-63.6111111111111,-68.8888888888888,-149.722222222222,-118.611111111111,-123.888888888889,-229.722222222222,-173.611111111111,-178.888888888889,-309.722222222222
"1989-01-17",1989017,5.1010101010101,2.27272727272729,0.326797385620918,-6.41414141414141,-6.26262626262626,-8.66013071895425,0.6604,2.3876,0.9398,-62.2222222222222,-76.9444444444444,-155.833333333333,-117.222222222222,-131.944444444444,-240.833333333333,-172.222222222222,-186.944444444444,-325.833333333333
