name,id,nestName,sex,Field Sex
WL,WL PALM19,PALM19,M,
XK,XK ICCL19,ICCL19,F,
YJ,YJ ICCL19,ICCL19,M,
ZI,ZI STE219,STE219,Fail,
CE,CE STE219,STE219,M,
DD,DD STE219,STE219,M,
VL,VL ABBO20,ABBO20,,
BFS-P,BFS-P ABBO20,ABBO20,,
YFS-P,YFS-P ABBO20,ABBO20,,
WK,WK SPR220,SPR220,,
XJ,XJ SPR220,SPR220,,
PPS-F,PPS-F SPR220,SPR220,,
YI,YI BUR320,BUR320,,
ZH,ZH BUR320,BUR320,,
AF,AF BUR320,BUR320,,
BE,BE STE220,STE220,,
CD,CD STE220,STE220,,
PBS-P,PBS-P STE220,STE220,,
TM,TM SAL220,SAL220,,
UL,UL SAL220,SAL220,,
VK,VK SAL220,SAL220,,
XI,XI SAL220,SAL220,,
AE,AE MUND21,MUND21,,
BD,BD MUND21,MUND21,,
CC,CC MUND21,MUND21,,
S-GPF,S-GPF MUND21,MUND21,,
DB,DB BRAN21,BRAN21,,
EA,EA BRAN21,BRAN21,,
FZ,FZ BRAN21,BRAN21,,
GY,GY BRAN21,BRAN21,,
HX,HX SALE21,SALE21,,
IW,IW SALE21,SALE21,,
JV,JV SALE21,SALE21,,
KU,KU SALE21,SALE21,,M?
LT,LT STEX21,STEX21,,
MS,MS STEX21,STEX21,,M?
NR,NR STEX21,STEX21,,
OQ,OQ STEX21,STEX21,,
S-AHH,S-AHH MEEK21,MEEK21,,
S-FHH,S-FHH MEEK21,MEEK21,,
S-HHH,S-HHH MEEK21,MEEK21,,
S-WHH,S-WHH MEEK21,MEEK21,,
S-BHH,S-BHH MEEK21,MEEK21,,
PP,PP ROTA21,ROTA21,,M?
RN,RN ROTA21,ROTA21,,M?
SM,SM ROTA21,ROTA21,,
TL,TL ROTA21,ROTA21,,
QO,QO ROTA21,ROTA21,,F?
UK,UK THOR21,THOR21,,
VJ,VJ THOR21,THOR21,,
WI,WI THOR21,THOR21,,M?
XH,XH THOR21,THOR21,,
YG,YG SWIM21,SWIM21,,
ZF,ZF SWIM21,SWIM21,,
AD,AD SWIM21,SWIM21,,
S-OHP,S-OHP JASP21,JASP21,,
S-PHP,S-PHP JASP21,JASP21,,
S-RHP,S-RHP JASP21,JASP21,,
S-APH,S-APH JASP21,JASP21,,
BC,BC MANR21,MANR21,,
CB,CB MANR21,MANR21,,
DA,DA MANR21,MANR21,,M?
EZ,EZ MANR21,MANR21,,M?
S-YHP,S-YHP MANR21,MANR21,,
FY,FY WILG21,WILG21,,
GX,GX WILG21,WILG21,,
HW,HW WILG21,WILG21,,
Dead,Dead WILG21,WILG21,,
IV,IV EDAN21,EDAN21,,M?
JU,JU EDAN21,EDAN21,,
KT,KT EDAN21,EDAN21,,
LS,LS THOM21,THOM21,,
MR,MR THOM21,THOM21,,
S-BRP,S-BRP THOM21,THOM21,,
S-YRP,S-YRP THOM21,THOM21,,
S-GRP,S-GRP THOM21,THOM21,,
NQ,NQ NORM21,NORM21,,
OP,OP NORM21,NORM21,,
PO,PO NORM21,NORM21,,
QN,QN WINS21,WINS21,,
RM,RM WINS21,WINS21,,
SL,SL WINS21,WINS21,,
AC,AC SWIM22,SWIM22,,
BB,BB SWIM22,SWIM22,,
CA,CA SWIM22,SWIM22,,
DZ,DZ SWIM22,SWIM22,,
EY,EY ABBO22,ABBO22,,
FX,FX ABBO22,ABBO22,,
R-FSP,R-FSP ABBO22,ABBO22,,
A-FSP,A-FSP ABBO22,ABBO22,,
F-FSP,F-FSP ABBO22,ABBO22,,
GW,GW NSAL22,NSAL22,,
HV,HV NSAL22,NSAL22,,
Y-OSP,Y-OSP NSAL22,NSAL22,,
F0,F0 BIRN10,BIRN10,M,
G1,G1 BIRN10,BIRN10,F,
E9,E9 BIRN10,BIRN10,M,
K3,K3 CARD10,CARD10,M,
J2,J2 CARD10,CARD10,F,
L4,L4 CARD10,CARD10,M,
1,1 DEWIT10,DEWI10,M,
2,2 DEWIT10,DEWI10,M,
3,3 DEWIT10,DEWI10,F,
4,4 DEWIT10,DEWI10,F,
B6,B6 ECLO10,ECLO10,F,
A4,A4 ECLO10,ECLO10,M,
D7,D7 ECLO10,ECLO10,M,
H0,H0 ECRI10,ECRI10,M,
I1,I1 ECRI10,ECRI10,M,
X2,X2 EQUI10,EQUI10,F,
Y3,Y3 EQUI10,EQUI10,F,
Z4,Z4 EQUI10,EQUI10,F,
M5,M5 FOWA10,FOWA10,M,
N6,N6 FOWA10,FOWA10,F,
O7,O7 FOWA10,FOWA10,M,
G9,G9 HAMU10,HAMU10,F,
E8,E8 HICK10,HICK10,M,
S1,S1 HORC10,HORC10,M,
B-OSW,B-OSW HORC10,HORC10,F,
X7,X7 LOCO10,LOCO10,M,
Y2,Y2 LOCO10,LOCO10,F,
P0,P0 LUCE10,LUCE10,F,
O9,O9 LUCE10,LUCE10,F,
B-PSB,B-PSB MCUN10,MCUN10,M,
O-PSB,O-PSB MCUN10,MCUN10,F,
P-PSB,P-PSB MCUN10,MCUN10,F,
Y-PSM,Y-PSM MCUN10,MCUN10,F,
R0,R0 MMUR10,MMUR10,F,
P8,P8 MMUR10,MMUR10,M,
C5,C5 NBUR10,NBUR10,M,
Y-BSY,Y-BSY NBUR10,NBUR10,F,
A3,A3 NBUR10,NBUR10,M,
T3,T3 ROTA10,ROTA10,F,
Q0,Q0 ROTA10,ROTA10,M,
R1,R1 ROTA10,ROTA10,M,
U4,U4 ROTA10,ROTA10,M,
Y7,Y7 SANC10,SANC10,M,
Z2,Z2 SANC10,SANC10,F,
A5,A5 SANC10,SANC10,M,
X6,X6 SANC10,SANC10,M,
N8,N8 SILI10,SILI10,F,
J4,J4 SILI10,SILI10,M,
M7,M7 SILI10,SILI10,F,
K5,K5 SILI10,SILI10,M,
L6,L6 SILI10,SILI10,F,
W-YSO,W-YSO SPTR10,SPTR10,M,
I3,I3 STEX10,STEX10,F,
E7,E7 SWAH10,SWAH10,M,
F8,F8 SWAH10,SWAH10,M,
D6,D6 SWAH10,SWAH10,F,F
B6,B6 TARY10,TARY10,F,
Q1,Q1 THOM10,THOM10,F,
R2,R2 THOM10,THOM10,M,
S3,S3 THOM10,THOM10,F,
T4,T4 THOM10,THOM10,M,M
C7,C7 TRCO10,TRCO10,F,
D8,D8 TRCO10,TRCO10,M,
U3,U3 WKEN10,WKEN10,F,
V4,V4 WKEN10,WKEN10,F,
W5,W5 WKEN10,WKEN10,M,
T2,T2 WKEN10,WKEN10,F,
U5,U5 YBAR10,YBAR10,F,
V6,V6 YBAR10,YBAR10,M,
W7,W7 YBAR10,YBAR10,M,
O8,O8 YETH10,YETH10,F,
M6,M6 YETH10,YETH10,M,
N7,N7 YETH10,YETH10,M,
F-FRS,F-FRS YETH10,YETH10,F,
P9,P9 YETH10,YETH10,F,
1-g,1-g ARRO10,ARRO10,M,
2-p,2-p ARRO10,ARRO10,F,
3-w,3-w ARRO10,ARRO10,M,
4-y,4-y ARRO10,ARRO10,M,
Z3,Z3 YFER10,YFER10,M,
F9,F9 YFER10,YFER10,F,
G0,G0 HAWA10,HAWA10,M,
H1,H1 SVPK10,SVPK10,M,
I2,I2 SVPK10,SVPK10,M,
J3,J3 SVPK10,SVPK10,F,
A-SWO,A-SWO WELM10,WELM10,M,
B7,B7 BUR210,BUR210,F,
L5,L5 BUR210,BUR210,F,
A6,A6 BUR210,BUR210,M,
K4,K4 DAWA10,DAWA10,M,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
