name,id,nestName,sex,Field Sex
4U,4U WAWD12,WAWD12,,
5A,5A WAWD12,WAWD12,,
6B,6B WAWD12,WAWD12,,
7C,7C BIHA12,BIHA12,,
8D,8D BIHA12,BIHA12,,
1G,1G BREN12,BREN12,,
2H,2H BREN12,BREN12,,
3I,3I BREN12,BREN12,,
4J,4J DOGS12,DOGS12,,
5K,5K DOGS12,DOGS12,,
6L,6L DOGS12,DOGS12,,
7M,7M DOGS12,DOGS12,,
8N,8N DOGS12,DOGS12,,
9O,9O ECLO12,ECLO12,,
0P,0P ECLO12,ECLO12,,
1Q,1Q ECLO12,ECLO12,,
2R,2R ECLO12,ECLO12,,
3S,3S SANC12,SANC12,,
4T,4T SANC12,SANC12,,
5U,5U SANC12,SANC12,,
6V,6V DBAR12,DBAR12,,
9Y,9Y DBAR12,DBAR12,,
0Z,0Z DBAR12,DBAR12,,
6A,6A DBAR12,DBAR12,,
7B,7B ROTA12,ROTA12,,
8C,8C ROTA12,ROTA12,,
9D,9D ROTA12,ROTA12,,
2G,2G ROTA12,ROTA12,,
3H,3H SALE12,SALE12,,
4I,4I TRAN12,TRAN12,,
5J,5J TRAN12,TRAN12,,
AY-SR,AY-SR TRAN12,TRAN12,,
doa,doa TRAN12,TRAN12,,
6K,6K PAHA12,PAHA12,,
2Q,2Q SPRK12,SPRK12,,
1P,1P SPRK12,SPRK12,,
9N,9N SPRK12,SPRK12,,
8M,8M SPRK12,SPRK12,,
7L,7L SPRK12,SPRK12,,
3R,3R SMU212,SMU212,,
4S,4S SMU212,SMU212,,
5T,5T SMU212,SMU212,,
6U,6U SMU212,SMU212,,
7V,7V SMU212,SMU212,,
8W,8W SSAP12,SSAP12,,
9X,9X SSAP12,SSAP12,,
1Z,1Z BRA212,BRA212,,
7A,7A BRA212,BRA212,,
8B,8B BRA212,BRA212,,
9C,9C BRA212,BRA212,,
0D,0D BRA212,BRA212,,
doa,doa BINO12,BINO12,,
1E,1E BINO12,BINO12,,
doa,doa WEL212,WEL212,,
2F,2F DWIT12,DWIT12,,
3G,3G DWIT12,DWIT12,,
4H,4H SVP212,SVP212,,
5I,5I SVP212,SVP212,,
6J,6J SVP212,SVP212,,
7K,7K NRO212,NRO212,,
8L,8L VER212,VER212,,
0N,0N VER212,VER212,,
1O,1O WER212,WER212,,
2P,2P JUD212,JUD212,,
3Q,3Q JUD212,JUD212,,
4R,4R JUD212,JUD212,,
7Y,7Y NET113,NET113,,
5S,5S NET113,NET113,F,
6X,6X NET113,NET113,M,
7U,7U NET113,NET113,M,
4V,4V NET113,NET113,M,
2T,2T NET113,NET113,F,
6T,6T NET113,NET113,F,
8V,8V YEFE13,YEFE13,M,
9W,9W YEFE13,YEFE13,F,
1Y,1Y SWAH13,SWAH13,F,
2Z,2Z SWAH13,SWAH13,F,
8A,8A SWAH13,SWAH13,M,
9B,9B MMUR13,MMUR13,M,
0C,0C MMUR13,MMUR13,M,
1D,1D MMUR13,MMUR13,F,
4F,4F BYWY13,BYWY13,,
5G,5G BYWY13,BYWY13,M,M
6H,6H BYWY13,BYWY13,M,
7I,7I BYWY13,BYWY13,M,
2E,2E FAIR13,FAIR13,M,M
8T,8T SSAP13,SSAP13,F,
9U,9U SSAP13,SSAP13,F,F
0V,0V SSAP13,SSAP13,F,
1W,1W SSAP13,SSAP13,,
1055-18079,1055-18079 SSAP13,SSAP13,F,
3F,3F ECRI13,ECRI13,M,
4G,4G ECRI13,ECRI13,,
5H,5H ECRI13,ECRI13,M,
6I,6I SMUR13,SMUR13,M,
7J,7J SMUR13,SMUR13,F/M,
8K,8K SMUR13,SMUR13,M,
9L,9L SMUR13,SMUR13,M,
0M,0M SMUR13,SMUR13,,
1N,1N SMUR13,SMUR13,M,
2O,2O PIHI13,PIHI13,M,
4Q,4Q PEAC13,PEAC13,F,
5R,5R PEAC13,PEAC13,M,
6S,6S PEAC13,PEAC13,F,
7T,7T PEAC13,PEAC13,M,
8U,8U OAKS13,OAKS13,F,
9V,9V OAKS13,OAKS13,Failed,
1X,1X OAKS13,OAKS13,Failed,
2Y,2Y OAKS13,OAKS13,F,
9A,9A DBAR13,DBAR13,M,
0B,0B DBAR13,DBAR13,Failed,
1C,1C DBAR13,DBAR13,Failed,
2D,2D DBAR13,DBAR13,Failed,
3E,3E DBAR13,DBAR13,F,
8J,8J SALE13,SALE13,M,
9K,9K SALE13,SALE13,F,
HPH-S,HPH-S SALE13,SALE13,Failed,
0L,0L TARY13,TARY13,F,
2N,2N TARY13,TARY13,,
3O,3O TARY13,TARY13,,
4P,4P TARY13,TARY13,,
5Q,5Q CWAR13,CWAR13,M,
6R,6R CWAR13,CWAR13,M,
7S,7S CWAR13,CWAR13,M,
doa,doa CWAR13,CWAR13,,
2X,2X FOPA13,FOPA13,F/M,
3Y,3Y FOPA13,FOPA13,M,
4Z,4Z DWEL13,DWEL13,F,
0A,0A DWEL13,DWEL13,M,
1B,1B DWEL13,DWEL13,M,
2C,2C DWEL13,DWEL13,M,
3D,3D DWEL13,DWEL13,?,
4E,4E JSUP13,JSUP13,F,
5F,5F BIRN13,BIRN13,F,
6G,6G BIRN13,BIRN13,F,
7H,7H BIRN13,BIRN13,M,
0K,0K BIRN13,BIRN13,F,
1L,1L ROTA13,ROTA13,F,
2M,2M ROTA13,ROTA13,?,
3N,3N NMUR13,NMUR13,M,
4O,4O NMUR13,NMUR13,F,
5P,5P NMUR13,NMUR13,F,
6Q,6Q NMUR13,NMUR13,M,
7R,7R TUCH13,TUCH13,M,
8S,8S TUCH13,TUCH13,F,
9T,9T TUCH13,TUCH13,F,
0U,0U CARE13,CARE13,F,
1V,1V YBAR13,YBAR13,,
2W,2W YFER13,YFER13,M,
3X,3X WAWD13,WAWD13,F?,
4Y,4Y WAWD13,WAWD13,M,
5Z,5Z WCRI13,WCRI13,M,
1,1 SIHA13,SIHA13,M,
12,12 MNDY13,MNDY13,F,
23,23 MNDY13,MNDY13,M,
34,34 BIH213,BIH213,M,
45,45 SEP213,SEP213,F,
56,56 SEP213,SEP213,M,
46,46 NET114,NET114,,
35,35 NET114,NET114,,
57,57 NET114,NET114,,
68,68 NBUR14,NBUR14,M,
79,79 NBUR14,NBUR14,F,
80,80 NBUR14,NBUR14,M,
91,91 NBUR14,NBUR14,F,F
03,03 SICH14,SICH14,,
14,14 SICH14,SICH14,,
25,25 SICH14,SICH14,,
36,36 SICH14,SICH14,,
47,47 SICH14,SICH14,F,
1125-01539=63,1125-01539=63 ROTA14,ROTA14,,
1125-01540=74,1125-01540=74 ROTA14,ROTA14,,
1125-01541=85,1125-01541=85 ROTA14,ROTA14,M,M
1125-01542=96,1125-01542=96 ROTA14,ROTA14,,
58,58 FAIR14,FAIR14,,
69,69 FAIR14,FAIR14,,
70,70 FAIR14,FAIR14,,
81,81 FAIR14,FAIR14,,
92,92 FAIR14,FAIR14,,
04,04 STEX14,STEX14,M,
15,15 STEX14,STEX14,,
26,26 STEX14,STEX14,F,F
37,37 YEFE14,YEFE14,,
48,48 YEFE14,YEFE14,,
59,59 YEFE14,YEFE14,,
60,60 YEFE14,YEFE14,,
71,71 YEFE14,YEFE14,,
82,82 SMUR14,SMUR14,,
93,93 SMUR14,SMUR14,,
05,05 SMUR14,SMUR14,,
16,16 SMUR14,SMUR14,,
27,27 SMUR14,SMUR14,,
38,38 SSAP14,SSAP14,M,M
49,49 SSAP14,SSAP14,,
50,50 SSAP14,SSAP14,,
61,61 SSAP14,SSAP14,,
72,72 BYWY14,BYWY14,,
83,83 BYWY14,BYWY14,,
94,94 BYWY14,BYWY14,,
SFR-B,SFR-B BYWY14,BYWY14,,
17,17 BYWY14,BYWY14,,
*06,*06 MTPW14,MTPW14,,
28,28 MTPW14,MTPW14,,
39,39 MTPW14,MTPW14,,
40,40 MTPW14,MTPW14,,
51,51 MTPW14,MTPW14,,
62,62 BIRN14,BIRN14,,
73,73 BIRN14,BIRN14,,
95,95 BIRN14,BIRN14,,
7,7 BIRN14,BIRN14,,
18,18 UPLA14,UPLA14,,
29,29 UPLA14,UPLA14,,
30,30 UPLA14,UPLA14,,
41,41 UPLA14,UPLA14,,
52,52 UPLA14,UPLA14,,
63,63 ROTA14,ROTA14,,
74,74 ROTA14,ROTA14,,
85,85 ROTA14,ROTA14,M,M
96,96 ROTA14,ROTA14,,
