"1018","Ithaca","Corvus brachyrhynchos","1989","GSYB MITC89","MITC89","GSYB","nestling","","",,"33","","33","347","?","","695-20418","","","?","12.1","11.1","36.7","23.6","145","78.9","42.2","56.6","","0","84","200","middle toe - 33.6; explosive fledge; fledgling flew a long, long way and tumbled to the earth below  "
"1027","Ithaca","Corvus brachyrhynchos","1989","WSBW WYCA89","WYCA89","WSBW","nestling","","",,"32","","32","363","5/20/1989","6/21/1989","695-20415","6/21/1989","172","140","13.7","11.7","40.1","23.4","128","79.3","39.2","61.9","","0","70","187","MIDDLE TOE - 36.2;EXPLOSIVE FLEDGE AND RETURNED"
"1021","Ithaca","Corvus brachyrhynchos","1989","BSBW UTIC89","UTIC89","BSBW","nestling","","",,"25","","25.216354","330","?","","695-20419","","","?","13.8","14.3","34.7","22.6","98","77.8","43.1","60.8","","0","40","154","MIDDLE TOE IS - 41.7."
"1014","Ithaca","Corvus brachyrhynchos","1989","WSYY BROW89","BROW89","WSYY","nestling","","",,"33","","33","458","5/27/1989","6/29/1989","695-20420","6/29/1989","180","147","14.4","13.9","41.1","26.2","158","83.8","42.7","60.5","","0","93","222","MIDDLE TOE - 37.5;FLEDGLING.  "
"1093","Ithaca","Corvus brachyrhynchos","1990","1 STAT90","STAT90","1","nestling","","",,"7","","7","","?","","","","","?","","","","","","43","43","32","","","",""," "
"1094","Ithaca","Corvus brachyrhynchos","1990","2 STAT90","STAT90","2","nestling","","",,"7","","7","","?","","","","","?","","","","","","47.5","47.5","36","","","",""," "
"1095","Ithaca","Corvus brachyrhynchos","1990","3 STAT90","STAT90","3","nestling","","",,"7","","7","","?","","","","","?","","","","","","45","45","35","","","",""," "
"1096","Ithaca","Corvus brachyrhynchos","1990","4 STAT90","STAT90","4","nestling","","",,"7","","7","","?","","","","","?","","","","","","41.5","41.5","31","","","",""," "
"1040","Ithaca","Corvus brachyrhynchos","1990","1 HART90","HART90","1","nestling","","",,"7","","7","","?","","","","","?","","","","","","41.6","41.6","25.5","","","","","Total length - 117.9  "
"1041","Ithaca","Corvus brachyrhynchos","1990","2 HART90","HART90","2","nestling","","",,"7","","7","","?","","","","","?","","","","","","44.1","44.1","35.5","","","","","Total length - 133  "
"1042","Ithaca","Corvus brachyrhynchos","1990","3 HART90","HART90","3","nestling","","",,"7","","7","","?","","","","","?","","","","","","48.1","48.1","36.5","","","","","Total length - 136+  "
"1043","Ithaca","Corvus brachyrhynchos","1990","4 HART90","HART90","4","nestling","","",,"7","","7","","?","","","","","?","","","","","","46.1","46.1","33","","","","","Total length - approximately 135"
"1055","Ithaca","Corvus brachyrhynchos","1990"," KELS90","KELS90","","nestling","","",,"3","","3","0","?","","","","","?","0","0","0","0","0","32.2","32.2","20","","?","0","0","Total length - 92  "
"1056","Ithaca","Corvus brachyrhynchos","1990","1 KNOL90","KNOL90","1","nestling","","",,"3","","3","0","4/21/1990","4/24/1990","","","","111","0","0","0","0","0","26.7","26.7","15.5","","?","0","0","Total length - 78.5  "
"1057","Ithaca","Corvus brachyrhynchos","1990","2 KNOL90","KNOL90","2","nestling","","",,"3","","3","0","4/21/1990","4/24/1990","","","","111","0","0","0","0","0","25.5","25.5","13","","?","0","0","Total length - 75.5  "
"1058","Ithaca","Corvus brachyrhynchos","1990","3 KNOL90","KNOL90","3","nestling","","",,"3","","3","0","4/21/1990","4/24/1990","","","","111","0","0","0","0","0","30","30","16","","?","0","0","Total length - 87  "
"1059","Ithaca","Corvus brachyrhynchos","1990","4 KNOL90","KNOL90","4","nestling","","",,"3","","3","0","4/21/1990","4/24/1990","","","","111","0","0","0","0","0","28","28","16","","?","0","0","Total length - 85  "
"1084","Ithaca","Corvus brachyrhynchos","1990","1 SSAP90","SSAP90","1","nestling","","",,"13","","13","0","4/13/1990","4/26/1990","","","","103","0","0","0","0","0","56.5","56.5","43.5","","?","0","0"," "
"1085","Ithaca","Corvus brachyrhynchos","1990","2 SSAP90","SSAP90","2","nestling","","",,"13","","13","0","4/13/1990","4/26/1990","","","","103","0","0","0","0","0","63.5","63.5","43","","?","0","0"," "
"1086","Ithaca","Corvus brachyrhynchos","1990","3 SSAP90","SSAP90","3","nestling","","",,"13","","13","0","4/13/1990","4/26/1990","","","","103","0","0","0","0","0","44.5","44.5","24","","?","0","0"," "
"1087","Ithaca","Corvus brachyrhynchos","1990","4 SSAP90","SSAP90","4","nestling","","",,"13","","13","0","4/13/1990","4/26/1990","","","","103","0","0","0","0","0","57.5","57.5","44","","?","0","0"," "
"1088","Ithaca","Corvus brachyrhynchos","1990","5 SSAP90","SSAP90","5","nestling","","",,"13","","13","0","4/13/1990","4/26/1990","","","","103","0","0","0","0","0","55.5","55.5","37","","?","0","0"," "
"1105","Ithaca","Corvus brachyrhynchos","1990","1 WAIT90","WAIT90","1","nestling","","",,"9","","9","0","4/17/1990","4/26/1990","","","","107","0","0","0","0","0","49","49","36.5","","?","0","0"," "
"1106","Ithaca","Corvus brachyrhynchos","1990","2 WAIT90","WAIT90","2","nestling","","",,"9","","9","0","4/17/1990","4/26/1990","","","","107","0","0","0","0","0","53","53","44","","?","0","0"," "
"1107","Ithaca","Corvus brachyrhynchos","1990","3 WAIT90","WAIT90","3","nestling","","",,"9","","9","0","4/17/1990","4/26/1990","","","","107","0","0","0","0","0","54","54","42","","?","0","0"," "
"1108","Ithaca","Corvus brachyrhynchos","1990","4 WAIT90","WAIT90","4","nestling","","",,"9","","9","0","4/17/1990","4/26/1990","","","","107","0","0","0","0","0","40","40","28","","?","0","0"," "
"1112","Ithaca","Corvus brachyrhynchos","1990","1 WEGO90","WEGO90","1","nestling","","",,"4","","4","0","4/27/1990","5/1/1990","","","","117","0","0","0","0","0","23","23","10.5","","?","0","0"," "
"1113","Ithaca","Corvus brachyrhynchos","1990","2 WEGO90","WEGO90","2","nestling","","",,"4","","4","0","4/27/1990","5/1/1990","","","","117","0","0","0","0","0","27.5","27.5","14","","?","0","0"," "
"1114","Ithaca","Corvus brachyrhynchos","1990","3 WEGO90","WEGO90","3","nestling","","",,"4","","4","0","4/27/1990","5/1/1990","","","","117","0","0","0","0","0","28","28","14","","?","0","0"," "
