"","Year","Name","NestName","ID","FieldAge","CalcAge","HatchDateJul","HatchDateJulYear","AllSex","BNT","BW","BD","TEC","Head","UB","UBS","TBS","Skull","Tarsus","Weight","Date","MaxTempMean1_11","MaxTempMean12_22","MeanMaxTempIncubation","MinTempMean1_11","MinTempMean12_22","MeanMinTempIncubation","PrecipSum1_11","PrecipSum12_22","PrecipSumIncubation","GDDSum1_11","GDDSum12_22","GDDSumIncubation","CDDSum1_11","CDDSum12_22","CDDSumIncubation","HDDSum1_11","HDDSum12_22","HDDSumIncubation"
"18",1990,"LO","STAT90","LO STAT90",28,28,107,1990107,"",25.1,14.2,14.4,37.3,81.2,12.2,175.68,266.695,43.9,59,415,"4/17/1990",17.8282828282828,19.2424242424242,8.39181286549708,4.5959595959596,7.17171717171717,0.233918128654971,2.0066,2.7432,7.7724,59,79,0,7,16,0,146,115,472
"19",1990,"MN","STAT90","MN STAT90",28,28,107,1990107,"",23.9,13.8,13.5,36.4,78.1,12.5,168.75,248.43,41.7,58.9,385,"4/17/1990",17.8282828282828,19.2424242424242,8.39181286549708,4.5959595959596,7.17171717171717,0.233918128654971,2.0066,2.7432,7.7724,59,79,0,7,16,0,146,115,472
"20",1990,"NM","STAT90","NM STAT90",28,28,107,1990107,"",23.7,16.7,13.9,37.6,79,13.9,193.21,287.64,41.4,59.4,430,"4/17/1990",17.8282828282828,19.2424242424242,8.39181286549708,4.5959595959596,7.17171717171717,0.233918128654971,2.0066,2.7432,7.7724,59,79,0,7,16,0,146,115,472
"21",1990,"OL","HART90","OL HART90",28,28,107,1990107,"M",23.5,12.1,14.4,37.8,79.6,14.3,205.92,250.425,41.8,58.9,423,"4/17/1990",17.8282828282828,19.2424242424242,8.39181286549708,4.5959595959596,7.17171717171717,0.233918128654971,2.0066,2.7432,7.7724,59,79,0,7,16,0,146,115,472
"22",1990,"PK","HART90","PK HART90",28,28,107,1990107,"M",23.3,13.7,13.3,36.2,79.4,12.9,171.57,244.35,43.2,62.8,430,"4/17/1990",17.8282828282828,19.2424242424242,8.39181286549708,4.5959595959596,7.17171717171717,0.233918128654971,2.0066,2.7432,7.7724,59,79,0,7,16,0,146,115,472
"23",1990,"QJ","HART90","QJ HART90",28,28,107,1990107,"",24.4,13.1,13.3,37.4,79.1,13,172.9,246.84,41.7,59.6,400,"4/17/1990",17.8282828282828,19.2424242424242,8.39181286549708,4.5959595959596,7.17171717171717,0.233918128654971,2.0066,2.7432,7.7724,59,79,0,7,16,0,146,115,472
"24",1990,"RI","HART90","RI HART90",28,28,107,1990107,"M",22.1,13,12.7,35.1,76.8,13,165.1,225.5175,41.7,58.6,388,"4/17/1990",17.8282828282828,19.2424242424242,8.39181286549708,4.5959595959596,7.17171717171717,0.233918128654971,2.0066,2.7432,7.7724,59,79,0,7,16,0,146,115,472
"25",1990,"HS","ALEX90","HS ALEX90",26,25.2,108,1990108,"",21.4,13.7,13.2,32.5,72.1,11.1,146.52,218.5625,39.6,58.6,300,"4/18/1990",19.2424242424242,18.8888888888889,8.39181286549708,5.25252525252525,7.07070707070707,0.233918128654971,2.0066,2.7432,7.8994,79,74,0,12,11,0,130,115,472
"26",1990,"IR","ALEX90","IR ALEX90",26,24.7,108,1990108,"",22.4,13.8,13.5,34.6,73.8,12.2,164.7,236.145,39.2,57.1,353,"4/18/1990",19.2424242424242,18.8888888888889,8.39181286549708,5.25252525252525,7.07070707070707,0.233918128654971,2.0066,2.7432,7.8994,79,74,0,12,11,0,130,115,472
"27",1990,"JQ","ALEX90","JQ ALEX90",26,25.4,108,1990108,"",21.2,13.3,13.1,32.5,74.3,11.3,148.03,214.5,41.8,55.8,315,"4/18/1990",19.2424242424242,18.8888888888889,8.39181286549708,5.25252525252525,7.07070707070707,0.233918128654971,2.0066,2.7432,7.8994,79,74,0,12,11,0,130,115,472
