Year,Name,NestName,ID,MeasurementDate,MeasurementDateJulYear,FieldAge,CalcAge,CalcAgeInteger,HatchDateJulYear,Sex,BNT,TEC,BW,BD,Head,UB,UBS,TBS,Skull,Tarsus,WingChord,Primary7,TailLength,Weight,Condition
1990,CX,SSAP90,CX SSAP90,5/8/1990,1990128,25,25,25,1990103,,19.5,30.8,13.1,12.7,71.2,11.3,143.51,198.66,40.4,57.7,0,88,0,300,0.12
1990,DW,SSAP90,DW SSAP90,5/8/1990,1990128,25,25,25,1990103,,20.5,32.4,14.7,12.7,72.3,11.9,151.13,221.94,39.9,58.7,0,79,0,340,0.12
1990,KP,STAT90,KP STAT90,5/15/1990,1990135,28,27.1,27,1990108,,25.2,38.1,14.5,14.7,82.4,12.9,189.63,278.13,44.3,61.7,NA,125,75,460,0.13
1990,LO,STAT90,LO STAT90,5/15/1990,1990135,28,27.8,28,1990107,,25.1,37.3,14.2,14.4,81.2,12.2,175.68,266.695,43.9,59,NA,135,82,415,0.13
1990,MN,STAT90,MN STAT90,5/15/1990,1990135,28,27.3,27,1990108,,23.9,36.4,13.8,13.5,78.1,12.5,168.75,248.43,41.7,58.9,NA,129,77,385,0.12
1990,NM,STAT90,NM STAT90,5/15/1990,1990135,28,26.5,27,1990108,,23.7,37.6,16.7,13.9,79,13.9,193.21,287.64,41.4,59.4,NA,118,64,430,0.13
1990,EV,WAIT90,EV WAIT90,5/11/1990,1990131,24,24.7,25,1990106,,20.6,34.2,11.9,13.5,70.1,13.6,183.6,217.17,35.9,53.7,0,94,0,348,0.13
1990,GT,WAIT90,GT WAIT90,5/11/1990,1990131,24,24.5,25,1990106,,21.5,33,13.1,13.3,73.6,11.5,152.95,217.8,40.6,51.4,0,88,0,328,0.13
1990,AY,WEGO90,AY WEGO90,5/22/1990,1990142,25,25.2,25,1990117,,23,35.2,14.9,14,77.7,12.2,170.8,254.32,42.5,61,160,90,49,447,0.13
1990,BX,WEGO90,BX WEGO90,5/22/1990,1990142,25,25.8,26,1990116,,21.8,33.4,13.5,13.2,75.8,11.6,153.12,222.945,42.4,58.2,160,105,54,380,0.12
1990,YB,WEGO90,YB WEGO90,5/22/1990,1990142,25,25.4,25,1990117,,23.3,36,14.3,13.8,78.6,12.7,175.26,252.9,42.6,60.8,153,95,50,440,0.13
1990,ZA,WEGO90,ZA WEGO90,5/22/1990,1990142,25,24.9,25,1990117,F,21.9,33.1,14,13.4,73,11.2,150.08,226.735,39.9,54.8,139,84,41,380,0.13
1990,IQ,WPAR90,IQ WPAR90,5/25/1990,1990145,27,27.7,28,1990117,,23.9,36.7,12.2,12.5,78.3,12.8,160,226.6225,41.6,57,189,132,82,365,0.13
1990,JP,WPAR90,JP WPAR90,5/25/1990,1990145,27,25.5,26,1990119,,23.3,36.2,13.7,13.6,76.9,12.9,175.44,247.065,40.7,59.1,166,105,42,325,0.12
1991,AW,BROT91,AW BROT91,5/20/1991,1991140,28,27.3,27,1991113,,22.7,35.4,14.1,13.1,77.4,12.7,166.37,240.72,42,60.1,187,129,76,365,0.12
1991,BV,BROT91,BV BROT91,5/20/1991,1991140,28,27.4,27,1991113,,24,37,15,12.9,79.2,13,167.7,258.075,42.2,60.4,182,130,78,360,0.12
1991,CU,BROT91,CU BROT91,5/20/1991,1991140,28,26.8,27,1991113,,23.3,36.5,15.6,14.2,79.7,13.2,187.44,271.925,43.2,62.4,182,123,69,395,0.12
1991,doa,BURL91,doa BURL91,5/23/1991,1991143,28,27.3,27,1991116,,24.9,40,15.2,14.7,82.7,15.1,221.97,299,42.7,63.5,185,129,77,415,0.12
1991,YY,BURL91,YY BURL91,5/23/1991,1991143,28,27.2,27,1991116,M,25.8,38.1,14.6,14.9,80.8,12.3,183.27,280.9875,42.7,58.5,186,125,76,355,0.12
1991,ZX,BURL91,ZX BURL91,5/23/1991,1991143,28,27.3,27,1991116,,22.8,35.3,14.6,14.4,76.9,12.5,180,255.925,41.6,59.7,185,126,78,385,0.12
1991,DS,CEME91,DS CEME91,5/24/1991,1991144,26,26.9,27,1991117,,24.4,38.4,15.2,13.9,79.6,14,194.6,279.36,41.2,60.9,180,122,73,390,0.12
1991,ER,CEME91,ER CEME91,5/24/1991,1991144,26,26.8,27,1991117,,24.9,36.8,13.9,12.1,77.2,11.9,143.99,239.2,40.4,56,177,126,65,345,0.13
1991,FQ,CLOV91,FQ CLOV91,5/24/1991,1991144,24,26.1,26,1991118,,23.1,35.2,13.4,13.1,76.2,12.1,158.51,233.2,41,56.6,171,111,58,323,0.12
1991,GP,CLOV91,GP CLOV91,5/24/1991,1991144,24,25.6,26,1991118,,21.1,31.9,14.5,12.3,72.2,10.8,132.84,213.73,40.3,57.5,160,102,53,282,0.11
1991,HO,CLOV91,HO CLOV91,5/24/1991,1991144,24,26.5,27,1991117,M,24.2,37.6,14.6,15.3,80.5,13.4,205.02,281.06,42.9,61,180,118,65,347,0.12
1991,QG,CUPL91,QG CUPL91,5/22/1991,1991142,27,26,26,1991116,,20.8,31.7,14.5,13,72.5,10.9,141.7,217.9375,40.8,59.7,168,107,60,345,0.12
1991,RF,CUPL91,RF CUPL91,5/22/1991,1991142,27,26.3,26,1991116,,22.2,33.5,13.3,12.8,76.2,11.3,144.64,218.5875,42.7,61.6,171,117,60,360,0.12
1991,SE,CUPL91,SE CUPL91,5/22/1991,1991142,27,25.3,25,1991117,,21.3,30.4,14.5,12.4,73.9,9.1,112.84,204.44,43.5,58,154,96,45,335,0.12
1991,doa,ELWO91,doa ELWO91,5/16/1991,1991136,28,26.4,26,1991110,,23.8,36.7,11.7,12.7,78.5,12.9,163.83,223.87,41.8,56.4,178,116,63,365,0.13
1991,OJ,ELWO91,OJ ELWO91,5/16/1991,1991136,28,27.4,27,1991109,,22,35.5,14,13.7,76.9,13.5,184.95,245.8375,41.4,60.3,190,124,82,367,0.12
1991,QH,ELWO91,QH ELWO91,5/16/1991,1991136,28,26.7,27,1991109,,22.2,35,13.2,13.8,76.4,12.8,176.64,236.25,41.4,58.6,178,117,71,330,0.12
1991,AV,FALC91,AV FALC91,5/9/1991,1991129,28,26,26,1991103,,19.7,31.4,13.9,12.1,73,11.7,141.57,204.1,41.6,59.2,158,106,60,371,0.12
1991,BU,FALC91,BU FALC91,5/9/1991,1991129,28,26.2,26,1991103,,21.9,33.6,15.7,13.4,76,11.7,156.78,244.44,42.4,59.5,165,110,64,378,0.12
1991,doa,FOOT91,doa FOOT91,5/21/1991,1991141,28,26.9,27,1991114,,23.1,35.1,14.8,13.7,76.7,12,164.4,250.0875,41.6,51.3,175,128,66,335,0.14
1991,HP,FOOT91,HP FOOT91,5/21/1991,1991141,28,25.4,25,1991116,,21.5,33.9,13.1,12.8,74.9,12.4,158.72,219.5025,41,52.7,153,105,41,305,0.13
1991,GR,FRNO91,GR FRNO91,5/13/1991,1991133,28,26.5,27,1991106,,20.8,33.2,13.9,13.4,73.4,12.4,166.16,226.59,40.2,57.9,169,121,62,343,0.12
1991,IP,FRNO91,IP FRNO91,5/13/1991,1991133,28,26.6,27,1991106,,23.3,36,14.3,14.4,77.5,12.7,182.88,258.3,41.5,59.4,175,120,67,390,0.12
1991,JO,FRNO91,JO FRNO91,5/13/1991,1991133,28,25.4,25,1991108,,21.6,33.5,14.7,12.8,71.1,11.9,152.32,230.3125,37.6,57.4,154,98,48,390,0.13
1991,KN,FRNO91,KN FRNO91,5/13/1991,1991133,28,25.2,25,1991108,,21.1,31.8,13.2,12.1,70.9,10.7,129.47,201.135,39.1,52.4,144,92,47,295,0.13
1991,GO,GENR91,GO GENR91,6/13/1991,1991164,29,26.4,26,1991138,M,24.7,38,17,14.7,80.9,13.3,195.51,301.15,42.9,61.3,184,120,59,435,0.12
