Obs,Year,Month,Day,Name,NestName,ID,BandNumber,BandDate,BandDateJul,MeasurementDate,MeasurementDateJulYear,MeasurementDateJul,AgeField,CalcAge,CalcAgeInteger,HatchDate,HatchDateJul,HatchDateJulYear,AllSex,BillNT,TEC,BillWidth,BillDepth,Head,UpperBill,UBillSurface,TotBillSurface,Skull,Tarsus,WingChord,Primary7,TailLength,Weight,Condition,MaxTempMean1_11,MaxTempMean12_22,MaxTempMeanIncubation,PrecipSum1_11,PrecipSum12_22,PrecipSumIncubation,GDDSum1_11,GDDSum12_22,GDDSumIncubation,CDDSum1_11,CDDSum12_22,CDDSumIncubation
347,1994,4,20,AL,SPRU94,AL SPRU94,685-80462,5/19/1994,139,5/19/1994,1994139,139,29,25.9,26,4/20/1994,110,1994110,,22.5,35.6,12.6,13,77.8,13.1,170.3,227.84,42.2,60.8,170,109,56,393,0.12,64.09090909,58.81818182,55.15789474,0.59,1.61,2.7,60,8,16,7,0,0
348,1994,4,20,BK,SPRU94,BK SPRU94,685-80463,5/19/1994,139,5/19/1994,1994139,139,29,24.9,25,4/20/1994,110,1994110,F,20.3,31.6,11.7,12.2,70.6,11.3,137.86,188.81,39,59.2,148,89,37,330,0.12,64.09090909,58.81818182,55.15789474,0.59,1.61,2.7,60,8,16,7,0,0
349,1994,4,20,CJ,SPRU94,CJ SPRU94,685-80464,5/19/1994,139,5/19/1994,1994139,139,29,25.8,26,4/20/1994,110,1994110,,22,34.1,13.2,13.4,76.8,12.1,162.14,226.765,42.7,63.6,171,108,54,380,0.11,64.09090909,58.81818182,55.15789474,0.59,1.61,2.7,60,8,16,7,0,0
350,1994,4,20,DI,SPRU94,DI SPRU94,685-80465,5/19/1994,139,5/19/1994,1994139,139,29,26.5,27,4/20/1994,110,1994110,,22.1,35.9,13.3,13.3,79.6,13.8,183.54,238.735,43.7,64.4,178,116,67,425,0.12,64.09090909,58.81818182,55.15789474,0.59,1.61,2.7,60,8,16,7,0,0
351,1994,4,20,EH,SPRU94,EH SPRU94,685-80466,5/19/1994,139,5/19/1994,1994139,139,29,26.2,26,4/20/1994,110,1994110,,22.7,34.7,12.6,12.8,76.5,12,153.6,220.345,41.8,60,171,112,61,365,0.12,64.09090909,58.81818182,55.15789474,0.59,1.61,2.7,60,8,16,7,0,0
352,1994,4,20,FG,PAHA94,FG PAHA94,685-80467,5/19/1994,139,5/19/1994,1994139,139,29,25.9,26,4/20/1994,110,1994110,,21.6,35.2,12,11.6,76.5,13.6,157.76,207.68,41.3,62,171,109,56,385,0.12,64.09090909,58.81818182,55.15789474,0.59,1.61,2.7,60,8,16,7,0,0
353,1994,4,20,GF,PAHA94,GF PAHA94,685-80468,5/19/1994,139,5/19/1994,1994139,139,29,26.2,26,4/20/1994,110,1994110,,25.6,38.6,13.9,12.7,82.8,13,165.1,256.69,44.2,63.4,178,114,61,482,0.12,64.09090909,58.81818182,55.15789474,0.59,1.61,2.7,60,8,16,7,0,0
354,1994,4,20,HE,PAHA94,HE PAHA94,685-80469,5/19/1994,139,5/19/1994,1994139,139,29,25.7,26,4/20/1994,110,1994110,,23.8,35.1,12.5,12.1,77.2,11.3,136.73,215.865,42.1,62.5,168,104,52,420,0.12,64.09090909,58.81818182,55.15789474,0.59,1.61,2.7,60,8,16,7,0,0
355,1994,4,20,ID,PAHA94,ID PAHA94,685-80470,5/19/1994,139,5/19/1994,1994139,139,29,25.8,26,4/20/1994,110,1994110,,21.7,34.9,12.1,12.2,75.8,13.2,161.04,212.0175,40.9,60.8,169,107,55,383,0.12,64.09090909,58.81818182,55.15789474,0.59,1.61,2.7,60,8,16,7,0,0
356,1994,4,20,JC,PAHA94,JC PAHA94,685-80471,5/19/1994,139,5/19/1994,1994139,139,29,26.1,26,4/20/1994,110,1994110,,22.5,34.1,10.8,11.5,76,11.6,133.4,190.1075,41.9,60.2,173,112,57,367,0.12,64.09090909,58.81818182,55.15789474,0.59,1.61,2.7,60,8,16,7,0,0
357,1994,4,21,LA,WILG94,LA WILG94,685-80473,5/19/1994,139,5/19/1994,1994139,139,28,26.5,27,4/21/1994,111,1994111,,23.8,36.4,14.3,13.1,81.4,12.6,165.06,249.34,45,64.8,177,117,67,455,0.12,63.09090909,59.63636364,54.94736842,1.28,0.96,2.7,60,9,16,7,0,0
358,1994,4,21,MZ,WILG94,MZ WILG94,685-80474,5/19/1994,139,5/19/1994,1994139,139,28,26,26,4/21/1994,111,1994111,,22.9,34.2,13.4,12.9,76.2,11.3,145.77,224.865,42,58.5,162,109,58,375,0.12,63.09090909,59.63636364,54.94736842,1.28,0.96,2.7,60,9,16,7,0,0
359,1994,4,21,NY,WILG94,NY WILG94,685-80475,5/19/1994,139,5/19/1994,1994139,139,28,25.4,25,4/21/1994,111,1994111,,23.1,34.6,13.6,12.6,77,11.5,144.9,226.63,42.4,61.4,156,96,51,400,0.12,63.09090909,59.63636364,54.94736842,1.28,0.96,2.7,60,9,16,7,0,0
360,1994,4,21,OX,WILG94,OX WILG94,685-80476,5/19/1994,139,5/19/1994,1994139,139,28,25.2,25,4/21/1994,111,1994111,,21.8,32.2,13.7,12.8,73.9,10.4,133.12,213.325,41.7,60.4,146,92,47,360,0.12,63.09090909,59.63636364,54.94736842,1.28,0.96,2.7,60,9,16,7,0,0
361,1994,4,22,PW,HART94,PW HART94,685-80477,5/20/1994,140,5/20/1994,1994140,140,28,28,28,4/22/1994,112,1994112,,22.8,34.9,11.6,12,75.8,12.1,145.2,205.91,40.9,56.6,179,125,70,387,0.13,64.09090909,59.27272727,54.15789474,1.33,0.93,2.7,60,9,15,7,0,0
362,1994,4,22,QV,HART94,QV HART94,685-80478,5/20/1994,140,5/20/1994,1994140,140,28,28,28,4/22/1994,112,1994112,F,22.7,32.2,11.4,11,76.4,9.5,104.5,180.32,44.2,60.2,190,127,78,372,0.12,64.09090909,59.27272727,54.15789474,1.33,0.93,2.7,60,9,15,7,0,0
363,1994,4,22,RU,HART94,RU HART94,685-80479,5/20/1994,140,5/20/1994,1994140,140,28,28,28,4/22/1994,112,1994112,,20,32.2,11.4,11.9,72.1,12.2,145.18,187.565,39.9,54.5,166,113,63,325,0.13,64.09090909,59.27272727,54.15789474,1.33,0.93,2.7,60,9,15,7,0,0
364,1994,4,22,ST,HART94,ST HART94,685-80480,5/20/1994,140,5/20/1994,1994140,140,28,28,28,4/22/1994,112,1994112,F,22.6,33.6,11.9,12.1,77.5,11,133.1,201.6,43.9,60.7,194,131,76,380,0.12,64.09090909,59.27272727,54.15789474,1.33,0.93,2.7,60,9,15,7,0,0
365,1994,4,22,TS,HART94,TS HART94,685-80481,5/20/1994,140,5/20/1994,1994140,140,28,28,28,4/22/1994,112,1994112,,23.9,37.2,12.2,12.5,79,13.3,166.25,229.71,41.8,59.6,185,130,79,400,0.12,64.09090909,59.27272727,54.15789474,1.33,0.93,2.7,60,9,15,7,0,0
366,1994,4,22,UR,NOGO94,UR NOGO94,685-80482,5/20/1994,140,5/20/1994,1994140,140,28,27.2,27,4/22/1994,112,1994112,,22.6,33.7,12.6,11.9,77.4,11.1,132.09,206.4125,43.7,60.6,185,125,78,375,0.12,64.09090909,59.27272727,54.15789474,1.33,0.93,2.7,60,9,15,7,0,0
367,1994,4,23,VQ,ALEX94,VQ ALEX94,685-80483,5/20/1994,140,5/20/1994,1994140,140,27,27,27,4/23/1994,113,1994113,,23.3,34.6,13.4,13.3,78.5,11.3,150.29,230.955,43.9,61.8,190,131,80,400,0.12,64.54545455,59.72727273,54,1.33,0.93,2.47,60,9,15,7,0,0
368,1994,4,23,WP,ALEX94,WP ALEX94,685-80484,5/20/1994,140,5/20/1994,1994140,140,27,27,27,4/23/1994,113,1994113,,23.3,35.4,12.4,12.3,77.5,12.1,148.83,218.595,42.1,58.5,167,110,60,340,0.12,64.54545455,59.72727273,54,1.33,0.93,2.47,60,9,15,7,0,0
369,1994,4,23,XO,ALEX94,XO ALEX94,685-80485,5/20/1994,140,5/20/1994,1994140,140,27,27,27,4/23/1994,113,1994113,,22.3,32.4,12.6,12.6,78.4,10.1,127.26,204.12,46,61.9,185,122,70,422,0.12,64.54545455,59.72727273,54,1.33,0.93,2.47,60,9,15,7,0,0
370,1994,4,24,YN,MART94,YN MART94,685-80486,5/20/1994,140,5/20/1994,1994140,140,26,25.8,26,4/24/1994,114,1994114,M,21.1,34.3,12.3,12.2,76.8,13.2,161.04,210.0875,42.5,60.7,170,109,52,375,0.12,65.54545455,60.36363636,54.47368421,1.33,0.93,2.47,60,12,15,7,0,0
371,1994,4,24,ZM,MART94,ZM MART94,685-80487,5/20/1994,140,5/20/1994,1994140,140,26,25.8,26,4/24/1994,114,1994114,F,22.8,35,12.8,13.1,76.3,12.2,159.82,226.625,41.3,60.6,162,105,54,367,0.12,65.54545455,60.36363636,54.47368421,1.33,0.93,2.47,60,12,15,7,0,0
372,1994,4,24,EG,GENR94,EG GENR94,685-80492,5/23/1994,143,5/23/1994,1994143,143,29,29,29,4/24/1994,114,1994114,,24.5,36.5,13.1,13.8,79.5,12,165.6,245.4625,43,61.5,200,150,88,407,0.12,65.54545455,60.36363636,54.47368421,1.33,0.93,2.47,60,12,15,7,0,0
373,1994,4,24,FF,GENR94,FF GENR94,685-80493,5/23/1994,143,5/23/1994,1994143,143,29,29,29,4/24/1994,114,1994114,,24.4,37.2,12.9,13.4,78.6,12.8,171.52,244.59,41.4,60.8,196,137,84,387,0.12,65.54545455,60.36363636,54.47368421,1.33,0.93,2.47,60,12,15,7,0,0
374,1994,4,26,GE,GENR94,GE GENR94,685-80494,5/23/1994,143,5/23/1994,1994143,143,27,27,27,4/26/1994,116,1994116,,22.9,36.6,13.4,13.2,77,13.7,180.84,243.39,40.4,60.5,171,114,51,380,0.12,64.90909091,59.54545455,57,1.17,1.25,2.07,50,18,39,7,0,0
375,1994,4,24,HD,GENR94,HD GENR94,685-80495,5/23/1994,143,5/23/1994,1994143,143,29,29,29,4/24/1994,114,1994114,,26.4,40,14.3,14.2,84.6,13.6,193.12,285,44.6,64.6,206,144,86,440,0.12,65.54545455,60.36363636,54.47368421,1.33,0.93,2.47,60,12,15,7,0,0
376,1994,4,24,IC,GENR94,IC GENR94,685-80496,5/23/1994,143,5/23/1994,1994143,143,29,29,29,4/24/1994,114,1994114,,25.2,36.4,13.4,13.9,81,11.2,155.68,248.43,44.6,59.4,201,136,89,395,0.12,65.54545455,60.36363636,54.47368421,1.33,0.93,2.47,60,12,15,7,0,0
377,1994,4,25,JB,GENR94,JB GENR94,685-80497,5/23/1994,143,5/23/1994,1994143,143,28,28,28,4/25/1994,115,1994115,,24.1,34.8,12.7,12.7,77.2,10.7,135.89,220.98,42.4,57.6,186,129,68,360,0.12,65.90909091,60.18181818,55.47368421,1.33,1.26,2.62,60,21,28,7,0,0
378,1994,4,25,LZ,ALOT94,LZ ALOT94,685-80499,5/23/1994,143,5/23/1994,1994143,143,28,28,28,4/25/1994,115,1994115,,24.1,36.4,12.7,13.4,80.7,12.3,164.82,237.51,44.3,61.8,206,143,88,390,0.12,65.90909091,60.18181818,55.47368421,1.33,1.26,2.62,60,21,28,7,0,0
379,1994,4,25,OW,PARP94,OW PARP94,925-45602,5/23/1994,143,5/23/1994,1994143,143,28,27.5,28,4/25/1994,115,1994115,,21.3,33.4,13.5,11.7,76.1,12.1,141.57,210.42,42.7,55,191,133,78,325,0.13,65.90909091,60.18181818,55.47368421,1.33,1.26,2.62,60,21,28,7,0,0
380,1994,4,25,PV,PARP94,PV PARP94,925-45603,5/23/1994,143,5/23/1994,1994143,143,28,27.4,27,4/25/1994,115,1994115,,21,32.2,12.8,11.4,72.8,11.2,127.68,194.81,40.6,52.8,184,132,75,305,0.13,65.90909091,60.18181818,55.47368421,1.33,1.26,2.62,60,21,28,7,0,0
381,1994,4,25,QU,PARP94,QU PARP94,925-45604,5/23/1994,143,5/23/1994,1994143,143,28,27.3,27,4/25/1994,115,1994115,,22.9,35.8,13.5,12.6,78.7,12.9,162.54,233.595,42.9,58.4,184,130,75,375,0.12,65.90909091,60.18181818,55.47368421,1.33,1.26,2.62,60,21,28,7,0,0
382,1994,4,25,doa,PARP94,doa PARP94,,5/23/1994,143,5/23/1994,1994143,143,28,27.5,27,4/25/1994,115,1994115,,21.6,34.3,13.3,13.5,77.1,12.7,171.45,229.81,42.8,58.3,194,131,79,330,0.12,65.90909091,60.18181818,55.47368421,1.33,1.26,2.62,60,21,28,7,0,0
383,1994,4,26,UQ,HIPA94,UQ HIPA94,925-45608,5/24/1994,144,5/24/1994,1994144,144,28,27.5,27,4/26/1994,116,1994116,,21.7,34.3,12.2,12.2,74,12.6,153.72,209.23,39.7,53.6,185,129,80,340,0.13,64.90909091,59.54545455,57,1.17,1.25,2.07,50,18,39,7,0,0
384,1994,4,26,VP,HIPA94,VP HIPA94,925-45609,5/24/1994,144,5/24/1994,1994144,144,28,27.5,28,4/26/1994,116,1994116,,21.7,35,12.5,13.3,75.6,13.3,176.89,225.75,40.6,55.8,186,134,77,332,0.12,64.90909091,59.54545455,57,1.17,1.25,2.07,50,18,39,7,0,0
385,1994,4,26,WO,WEGO94,WO WEGO94,925-45610,5/24/1994,144,5/24/1994,1994144,144,28,28.7,29,4/26/1994,116,1994116,F,24,34.9,12.6,12.9,78.6,10.9,140.61,222.4875,43.7,61,201,141,96,350,0.12,64.90909091,59.54545455,57,1.17,1.25,2.07,50,18,39,7,0,0
386,1994,4,26,XN,WEGO94,XN WEGO94,925-45611,5/24/1994,144,5/24/1994,1994144,144,28,28.6,29,4/26/1994,116,1994116,M,24.7,36.7,13.1,12.8,80,12,153.6,237.6325,43.3,61.3,197,140,95,390,0.12,64.90909091,59.54545455,57,1.17,1.25,2.07,50,18,39,7,0,0
387,1994,4,26,YM,WEGO94,YM WEGO94,925-45612,5/24/1994,144,5/24/1994,1994144,144,28,27,27,4/26/1994,116,1994116,,23.6,35.6,12.1,11.8,76.5,12,141.6,212.71,40.9,59.6,179,125,72,347,0.12,64.90909091,59.54545455,57,1.17,1.25,2.07,50,18,39,7,0,0
388,1994,4,26,ZL,WEGO94,ZL WEGO94,925-45613,5/24/1994,144,5/24/1994,1994144,144,28,26.4,26,4/26/1994,116,1994116,M,23.8,36.2,14.2,12.7,78.3,12.4,157.48,243.445,42.1,60,178,117,63,410,0.12,64.90909091,59.54545455,57,1.17,1.25,2.07,50,18,39,7,0,0
389,1994,4,26,AJ,DYCE94,AJ DYCE94,925-45614,5/24/1994,144,5/24/1994,1994144,144,28,27.1,27,4/26/1994,116,1994116,,22.9,36.7,14.1,13.5,79.7,13.8,186.3,253.23,43,59.2,184,128,71,393,0.12,64.90909091,59.54545455,57,1.17,1.25,2.07,50,18,39,7,0,0
390,1994,4,26,BI,DYCE94,BI DYCE94,925-45615,5/24/1994,144,5/24/1994,1994144,144,28,28.7,29,4/26/1994,116,1994116,,24,36.7,13.8,12.5,79.1,12.7,158.75,241.3025,42.4,58.2,198,146,92,355,0.12,64.90909091,59.54545455,57,1.17,1.25,2.07,50,18,39,7,0,0
391,1994,4,26,CH,DYCE94,CH DYCE94,925-45616,5/24/1994,144,5/24/1994,1994144,144,28,28.3,28,4/26/1994,116,1994116,,25,37.1,12.9,13.5,79.2,12.1,163.35,244.86,42.1,56.8,197,143,87,360,0.13,64.90909091,59.54545455,57,1.17,1.25,2.07,50,18,39,7,0,0
392,1994,4,26,DG,DYCE94,DG DYCE94,925-45617,5/24/1994,144,5/24/1994,1994144,144,28,25.4,25,4/26/1994,116,1994116,,21.4,33.9,12.9,13,74.5,12.5,162.5,219.5025,40.6,58.6,157,104,40,330,0.12,64.90909091,59.54545455,57,1.17,1.25,2.07,50,18,39,7,0,0
393,1994,4,27,FE,PWOD94,FE PWOD94,925-45619,5/25/1994,145,5/25/1994,1994145,145,28,28,28,4/27/1994,117,1994117,,26.5,40.2,14.1,13.6,83.1,13.7,186.32,278.385,42.9,61.8,199,136,88,437,0.12,63.45454545,59.27272727,59.47368421,1.04,1.42,2.19,39,18,61,7,0,7
394,1994,4,27,GD,PWOD94,GD PWOD94,925-45620,5/25/1994,145,5/25/1994,1994145,145,28,28,28,4/27/1994,117,1994117,,23,36.1,13,13.2,77.3,13.1,172.92,236.455,41.2,58.5,194,135,72,420,0.13,63.45454545,59.27272727,59.47368421,1.04,1.42,2.19,39,18,61,7,0,7
395,1994,4,27,HC,PWOD94,HC PWOD94,925-45621,5/25/1994,145,5/25/1994,1994145,145,28,28,28,4/27/1994,117,1994117,,23.5,35.6,14.2,13.6,77,12.1,164.56,247.42,41.4,58.5,172,116,60,390,0.12,63.45454545,59.27272727,59.47368421,1.04,1.42,2.19,39,18,61,7,0,7
396,1994,4,29,IB,POND94,IB POND94,925-45622,5/25/1994,145,5/25/1994,1994145,145,26,26,26,4/29/1994,119,1994119,,25.7,39.1,14.2,12.9,80.4,13.4,172.86,264.9025,41.3,64,176,115,63,377,0.11,58.90909091,57.90909091,60.94736842,1.39,0.92,2.18,12,14,70,0,0,7
397,1994,4,29,JA,POND94,JA POND94,925-45623,5/25/1994,145,5/25/1994,1994145,145,26,26,26,4/29/1994,119,1994119,,22.9,34.6,13,12.2,75.8,11.7,142.74,217.98,41.2,61.1,155,99,52,330,0.11,58.90909091,57.90909091,60.94736842,1.39,0.92,2.18,12,14,70,0,0,7
398,1994,5,7,KZ,HOME94,KZ HOME94,925-45624,6/3/1994,154,6/3/1994,1994154,154,27,27.5,27,5/7/1994,127,1994127,,24.4,36.7,14.7,12.7,78.5,12.3,156.21,251.395,41.8,61.3,192,131,79,410,0.12,59.54545455,65.36363636,61.94736842,1.25,0.77,1.37,18,70,63,0,1,7
399,1994,5,7,LY,HOME94,LY HOME94,925-45625,6/3/1994,154,6/3/1994,1994154,154,27,27,27,5/7/1994,127,1994127,,23.8,36.7,13.5,12.6,78.8,12.9,162.54,239.4675,42.1,61.5,182,124,74,427,0.12,59.54545455,65.36363636,61.94736842,1.25,0.77,1.37,18,70,63,0,1,7
400,1994,5,7,MX,HOME94,MX HOME94,925-45626,6/3/1994,154,6/3/1994,1994154,154,27,27.7,28,5/7/1994,127,1994127,,23.6,36.6,12.6,12.4,78.5,13,161.2,228.75,41.9,60.7,193,135,80,390,0.12,59.54545455,65.36363636,61.94736842,1.25,0.77,1.37,18,70,63,0,1,7
401,1994,5,7,NW,HOME94,NW HOME94,925-45627,6/3/1994,154,6/3/1994,1994154,154,27,27.3,27,5/7/1994,127,1994127,M,23.6,35.5,13.4,12.8,79.2,11.9,152.32,232.525,43.7,61.2,192,125,79,440,0.12,59.54545455,65.36363636,61.94736842,1.25,0.77,1.37,18,70,63,0,1,7
402,1994,5,8,OV,BURL94,OV BURL94,925-45628,6/3/1994,154,6/3/1994,1994154,154,26,26.2,26,5/8/1994,128,1994128,M,24.1,37.4,13.5,13.1,78.8,13.3,174.23,248.71,41.4,61.5,169,113,60,410,0.12,59.27272727,66.90909091,62,1.42,0.63,1.87,18,75,67,0,1,7
403,1994,5,8,PU,BURL94,PU BURL94,925-45629,6/3/1994,154,6/3/1994,1994154,154,26,27,27,5/8/1994,128,1994128,,23.5,35.7,12.4,13.2,78.2,12.2,161.04,228.48,42.5,62.7,181,124,73,415,0.12,59.27272727,66.90909091,62,1.42,0.63,1.87,18,75,67,0,1,7
404,1994,5,8,QT,BURL94,QT BURL94,925-45630,6/3/1994,154,6/3/1994,1994154,154,26,26.2,26,5/8/1994,128,1994128,,24.6,37.8,13.3,13.2,78.7,13.2,174.24,250.425,40.9,61.1,174,115,60,407,0.12,59.27272727,66.90909091,62,1.42,0.63,1.87,18,75,67,0,1,7
405,1994,5,8,RS,BURL94,RS BURL94,925-45631,6/3/1994,154,6/3/1994,1994154,154,26,25.3,25,5/8/1994,128,1994128,F,21.7,32.2,11.1,12.2,73.2,10.5,128.1,187.565,41,56.3,147,95,47,353,0.13,59.27272727,66.90909091,62,1.42,0.63,1.87,18,75,67,0,1,7
406,1995,4,12,AI,KRUD95,AI KRUD95,925-45634,5/8/1995,128,5/8/1995,1995128,128,26,26.1,26,4/12/1995,102,1995102,,23.8,34.4,14.2,13,79.5,10.6,137.8,233.92,45.1,62.3,172,115,54,432,0.12,55.27272727,57,44.42105263,0.82,0.44,1.07,10,11,0,0,0,0
407,1995,4,12,BH,KRUD95,BH KRUD95,925-45635,5/8/1995,128,5/8/1995,1995128,128,26,25.8,26,4/12/1995,102,1995102,,22.7,35.7,14.3,13.6,77.8,13,176.8,249.0075,42.1,62.4,167,105,54,410,0.12,55.27272727,57,44.42105263,0.82,0.44,1.07,10,11,0,0,0,0
408,1995,4,12,CG,KRUD95,CG KRUD95,295-45636,5/8/1995,128,5/8/1995,1995128,128,26,26.1,26,4/12/1995,102,1995102,,23.8,36.2,13.5,12.7,78.8,12.4,157.48,237.11,42.6,62.7,170,111,58,435,0.12,55.27272727,57,44.42105263,0.82,0.44,1.07,10,11,0,0,0,0
409,1995,4,12,DF,KRUD95,DF KRUD95,925-45637,5/8/1995,128,5/8/1995,1995128,128,26,25.6,26,4/12/1995,102,1995102,,22.5,34.1,12.2,13,76.4,11.6,150.8,214.83,42.3,59.7,164,103,52,395,0.12,55.27272727,57,44.42105263,0.82,0.44,1.07,10,11,0,0,0,0
410,1995,4,12,EE,KRUD95,EE KRUD95,295-45638,5/8/1995,128,5/8/1995,1995128,128,26,24.6,25,4/12/1995,102,1995102,,22.8,37.4,13.6,13.6,80.7,14.6,198.56,254.32,43.3,63,141,82,25,415,0.12,55.27272727,57,44.42105263,0.82,0.44,1.07,10,11,0,0,0,0
411,1995,4,14,IA,GENR95,IA GENR95,925-45646,5/9/1995,129,5/9/1995,1995129,129,25,25.2,25,4/14/1995,104,1995104,,21.7,33.4,12.7,12.5,75,11.7,146.25,210.42,41.6,58.1,151,96,41,350,0.12,53.63636364,59.81818182,45.78947368,0.47,0.44,1.62,9,17,1,0,0,0
412,1995,4,14,JZ,GENR95,JZ GENR95,925-45642,5/9/1995,129,5/9/1995,1995129,129,25,25.6,26,4/14/1995,104,1995104,,23.1,36,13.8,14.1,78.1,12.9,181.89,251.1,42.1,62.2,161,100,52,430,0.12,53.63636364,59.81818182,45.78947368,0.47,0.44,1.62,9,17,1,0,0,0
413,1995,4,14,KY,GENR95,KY GENR95,925-45643,5/9/1995,129,5/9/1995,1995129,129,25,24.7,25,4/14/1995,104,1995104,,20.3,32.9,12.9,12.7,73.1,12.6,160.02,210.56,40.2,57.4,135,82,32,350,0.12,53.63636364,59.81818182,45.78947368,0.47,0.44,1.62,9,17,1,0,0,0
414,1995,4,14,LX,GENR95,LX GENR95,925-45644,5/9/1995,129,5/9/1995,1995129,129,25,25.4,25,4/14/1995,104,1995104,,21.4,32.9,13.8,13.2,75.1,11.5,151.8,222.075,42.2,59.4,155,99,46,380,0.12,53.63636364,59.81818182,45.78947368,0.47,0.44,1.62,9,17,1,0,0,0
415,1995,4,14,MW,GENR95,MW GENR95,925-45645,5/9/1995,129,5/9/1995,1995129,129,25,24.8,25,4/14/1995,104,1995104,,22,33,13.2,12.2,72.8,11,134.2,209.55,39.8,59.6,154,85,38,362,0.12,53.63636364,59.81818182,45.78947368,0.47,0.44,1.62,9,17,1,0,0,0
416,1995,4,15,NV,WINK95,NV WINK95,925-45647,5/9/1995,129,5/9/1995,1995129,129,24,25,25,4/15/1995,105,1995105,,21.4,31.7,11.6,11.3,71.3,10.3,116.39,181.4825,39.6,59.2,140,87,42,347,0.12,53.72727273,61,45.36842105,0.27,0.44,1.71,9,18,1,0,0,0
417,1995,4,15,OU,WINK95,OU WINK95,925-45648,5/9/1995,129,5/9/1995,1995129,129,24,25.5,25,4/15/1995,105,1995105,,21.9,35.9,13.4,12.9,76.3,14,180.6,236.0425,40.4,62.6,161,101,48,420,0.12,53.72727273,61,45.36842105,0.27,0.44,1.71,9,18,1,0,0,0
418,1995,4,15,PT,WINK95,PT WINK95,925-45649,5/9/1995,129,5/9/1995,1995129,129,24,24.8,25,4/15/1995,105,1995105,,20.7,32.7,12.4,12.8,71.5,12,153.6,206.01,38.8,60.4,137,83,36,372,0.12,53.72727273,61,45.36842105,0.27,0.44,1.71,9,18,1,0,0,0
419,1995,4,15,QS,WINK95,QS WINK95,925-45650,5/9/1995,129,5/9/1995,1995129,129,24,24.6,25,4/15/1995,105,1995105,,22,33.6,14.1,12.8,74.7,11.6,148.48,225.96,41.1,62.4,138,79,33,407,0.12,53.72727273,61,45.36842105,0.27,0.44,1.71,9,18,1,0,0,0
420,1995,4,23,TP,WHIT95,TP WHIT95,925-45653,5/16/1995,136,5/16/1995,1995136,136,23,23,23,4/23/1995,113,1995113,,16.4,27.5,11.6,11.1,62.9,11.1,123.21,156.0625,35.4,52,115,62,27,290,0.13,57,62.54545455,48.89473684,0.44,1.05,1.43,11,42,10,0,0,0
421,1995,4,23,UO,WHIT95,UO WHIT95,925-45654,5/16/1995,136,5/16/1995,1995136,136,23,23,23,4/23/1995,113,1995113,,17.5,28.3,11.3,11.7,67.3,10.8,126.36,162.725,39,55.4,143,88,43,342,0.13,57,62.54545455,48.89473684,0.44,1.05,1.43,11,42,10,0,0,0
422,1995,4,16,VN,KNOL95,VN KNOL95,925-45655,5/16/1995,136,5/16/1995,1995136,136,30,27.7,28,4/16/1995,106,1995106,M,23.8,35.5,12.8,13,78.8,11.7,152.1,228.975,43.3,62.1,188,129,85,355,0.11,55.45454545,60.54545455,45.21052632,0.19,0.43,1.71,10,17,1,0,0,0
423,1995,4,16,WM,KNOL95,WM KNOL95,925-45656,5/16/1995,136,5/16/1995,1995136,136,30,26.8,27,4/16/1995,106,1995106,M,23.7,37.4,12.7,13.7,78,13.7,187.69,246.84,40.6,62.9,181,123,69,360,0.11,55.45454545,60.54545455,45.21052632,0.19,0.43,1.71,10,17,1,0,0,0
424,1995,4,16,XL,KNOL95,XL KNOL95,925-45657,5/16/1995,136,5/16/1995,1995136,136,30,27.8,28,4/16/1995,106,1995106,M,24.2,37.4,13.2,13.5,79.9,13.2,178.2,249.645,42.5,62.1,191,130,86,398,0.12,55.45454545,60.54545455,45.21052632,0.19,0.43,1.71,10,17,1,0,0,0
425,1995,4,16,YK,KNOL95,YK KNOL95,925-45658,5/16/1995,136,5/16/1995,1995136,136,30,27.5,27,4/16/1995,106,1995106,,23,35.3,13.6,12.8,76.8,12.3,157.44,232.98,41.5,61.2,187,126,83,365,0.12,55.45454545,60.54545455,45.21052632,0.19,0.43,1.71,10,17,1,0,0,0
426,1995,4,18,ZJ,LIBE95,ZJ LIBE95,925-45659,5/16/1995,136,5/16/1995,1995136,136,28,28,28,4/18/1995,108,1995108,,20.4,31.2,12.5,11.6,70.7,10.8,125.28,187.98,39.5,54.3,160,119,54,260,0.12,58.72727273,58.63636364,45.15789474,0.62,0,1.63,20,7,1,0,0,0
427,1995,4,19,AH,LIBE95,AH LIBE95,925-45660,5/16/1995,136,5/16/1995,1995136,136,27,27,27,4/19/1995,109,1995109,,20,33.2,12.5,11.8,74.4,13.2,155.76,201.69,41.2,58.8,156,98,43,345,0.12,58.81818182,59.27272727,46.21052632,0.62,0.05,1.68,20,12,2,0,0,0
428,1995,4,19,BG,LIBE95,BG LIBE95,925-45661,5/16/1995,136,5/16/1995,1995136,136,27,27,27,4/19/1995,109,1995109,,18.8,27.4,11.5,10.9,70.1,8.6,93.74,153.44,42.7,53.7,143,86,32,302,0.12,58.81818182,59.27272727,46.21052632,0.62,0.05,1.68,20,12,2,0,0,0
429,1995,4,18,CF,JSUP95,CF JSUP95,925-45662,5/17/1995,137,5/17/1995,1995137,137,29,27,27,4/18/1995,108,1995108,,22.2,34.4,12.6,12.8,77.7,12.2,156.16,218.44,43.3,61.1,190,123,74,352,0.12,58.72727273,58.63636364,45.15789474,0.62,0,1.63,20,7,1,0,0,0
