row,id,family,year,age,sex,tongY1,palY1,meanY1,tongM1,palM1,meanM1,sat1 ,hue1,tongY2,palY2,meanY2,tongM2,palM2,meanM2,sat2,hue2,bodTemp1,bodTemp2,diffBodTemp,ambTemp1,ambTemp2,ambFinal,broodSize,bandTime1,bandTime2,handleTime,bandOrder,time1,time2,obtainTime,date,julDate,mass,tailLength,tarsus,wingChord,sevenPrim,expSevenPrim,billNT,billWidth,billDepth,TEC,head,skull,timeOut1,timeOut2,obt1Max,obt1Min,obt1Max,obt1Min,t1MaxMinusHour,t1MinMinusHour,t1MeanMinusHour,t1MaxAtBand,t1MinAtBand,t1MeanAtBand,futureBreeder,broodSize,familyProducedBreeder,comments
108,52 LOCO04,52 LOCO04,2004,23,F,60,60,60,80,80,80,140,0.571,70,60,65,90,90,90,155,0.581,41,40.9,0.1,28.3,28.3,28.3,4,,,,,16:25:00,17:10:00,16:07:00,5/17/2004,138,305,32,55.6,125,73,30,19.4,12.6,11.7,30.8,68.2,37.4,18,63,,,,,,,,,,25.94,2,4,2,
111,96 MINE04,96 MINE04,2004,27,F,60,40,50,70,60,65,115,0.565,60,40,50,70,70,70,120,0.583,41,41.4,-0.4,19.3,26.6,19.3,4,,,,,11:15:00,12:17:00,10:47:00,5/19/2004,140,363,73,56.5,175,113,66,22.7,13.7,13.3,35.9,75.5,39.6,28,90,,,,,,,,,,13.89,2,4,2,
112,85 MINE04,85 MINE04,2004,27,F,60,40,50,60,60,60,110,0.545,60,50,55,60,70,65,120,0.542,39.4,40.3,-0.8,19.7,24.1,19.7,4,,,,,11:20:00,12:02:00,10:47:00,5/19/2004,140,390,70,57.9,175,122,70,23.4,14.8,12.8,34.3,77.1,42.8,33,75,,,,,,,,,,13.89,2,4,2,
118,42 ROWA04,42 ROWA04,2004,24,F,60,50,55,80,80,80,135,0.593,70,50,60,80,70,75,135,0.556,40.6,40.6,0.1,21.7,25.1,21.7,4,,,,,10:07:00,10:30:00,9:48:00,5/20/2004,141,358,44,58.5,152,92,43,23.2,13.5,12.5,34.1,74.2,40.1,19,42,,,,,,,,,,17.39,2,4,1,
119,53 ROWA04,53 ROWA04,2004,24,F,60,50,55,70,70,70,125,0.56,60,50,55,60,70,65,120,0.542,41.3,40,1.3,21.7,21.9,21.7,4,,,,,10:10:00,10:42:00,9:48:00,5/20/2004,141,357,53,59.4,159,101,38,23.3,13.4,13.6,34.1,74.5,40.4,22,54,,,,,,,,,,17.39,1,4,1,
121,75 ROWA04,75 ROWA04,2004,24,F,60,40,50,70,70,70,120,0.583,70,40,55,70,70,70,125,0.56,41.2,39.2,2.1,21.7,21.9,21.7,4,,,,,10:19:00,11:05:00,9:48:00,5/20/2004,141,317,35,57.2,137,80,33,21.2,12.6,12.5,33,72.4,39.4,31,77,,,,,,,,,,17.39,2,4,1,
127,21 CAFO04,21 CAFO04,2004,24,F,60,40,50,80,80,80,130,0.615,60,40,50,80,80,80,130,0.615,40.4,39.6,0.8,22.6,21.3,22.6,4,,,,,16:26:00,17:04:00,16:08:00,5/20/2004,141,297,27,53.1,123,69,26,21,12.2,11.7,32.4,72.7,40.3,18,56,,,,,,,,,,20.28,1,4,1,
128,32 CAFO04,32 CAFO04,2004,24,M,60,40,50,80,80,80,130,0.615,50,40,45,90,80,85,130,0.654,39.7,39.3,0.3,22.5,21.3,22.5,4,,,,,16:29:00,17:16:00,16:08:00,5/20/2004,141,333,42,55.8,144,85,32,22,12.7,12.2,35.4,75.5,40.1,21,68,,,,,,,,,,20.28,2,4,1,
137,42 ROWA04,42 ROWA04,2004,24,F,60,50,55,70,70,70,125,0.56,,,,,,,,,41.8,,,27.7,,27.7,4,,,,,13:19:00,,13:13:00,5/24/2004,145,358,44,58.5,152,92,43,23.2,13.5,12.5,34.1,74.2,40.1,6,,,,,,,,,,,26.67,2,4,1,re-measure
139,64 ROWA04,64 ROWA04,2004,24,F,60,40,50,60,60,60,110,0.545,,,,,,,,,42.2,,,28.3,,28.3,4,,,,,13:28:00,,13:13:00,5/24/2004,145,342,53,60.1,152,95,45,22.4,13.3,13,32.3,73.5,41.2,15,,,,,,,,,,,26.67,2,4,1,re-measure
142,DW SLIM04,DW SLIM05,2004,26,F,60,60,60,60,80,70,130,0.538,70,50,60,80,70,75,135,0.556,41.9,41.1,0.8,24.3,22.6,24.3,4,,,,,16:20:00,16:43:00,15:20:00,5/25/2004,146,320,54,54.4,155,99,48,23.4,13.2,12.4,34.3,74,39.7,60,83,,,,,,,,,,21.56,2,4,2,
144,HS SLIM04,HS SLIM05,2004,26,M,60,70,65,70,80,75,140,0.536,70,60,65,70,80,75,140,0.536,40.3,40.6,-0.2,23.9,21.6,23.9,4,,,,,16:38:00,17:06:00,15:20:00,5/25/2004,146,442,66,60.8,171,116,70,23.8,13.4,13.2,35.8,76.9,41.1,78,106,,,,,,,,,,21.56,2,4,2,
31,6R BRTN03,BRTN03,2003,24,F,50,50,50,70,70,70,120,0.583,40,40,40,50,60,55,95,0.579,39.8,39.2,0.6,,,14.4,4,11:34:00,11:45:00,11,3,11:13:00,12:06:00,10:34:00,5/17/2003,137,354,51,55.9,154,95,51,21.6,12.7,13.7,34.5,71.8,37.3,39,92,54,49.6,56.1,53.8,56.1,53.8,55.1,60.3,55.6,14.39,2,4,2, 
32,5Q BRTN03,BRTN03,2003,24,F,50,50,50,70,70,70,120,0.583,30,30,30,40,50,45,75,0.6,39.6,39.8,-0.2,,,14.4,4,11:23:00,11:34:00,11,2,11:22:00,11:58:00,10:34:00,5/17/2003,137,387,53,59.5,152,97,50,21.4,13.6,14.2,33.5,72.6,39.1,48,84,54,49.6,56.1,53.8,56.1,53.8,55.1,60.3,55.6,14.39,2,4,2, 
35,9U MNDY03,MNDY03,2003,29,M,50,50,50,60,60,60,110,0.545,,,,,,,,,41.2,,,20,,20,4,14:23:00,14:32:00,9,2,14:21:00,,13:48:00,5/17/2003,137,450,87,63.8,197,135,85,23.1,13.6,13.5,36.1,80.1,44,33,,62.7,59.3,62.7,60.9,62.7,60.9,61.8,64.3,61.3,62.5,2,4,2, 
40,3D MIPI03,MIPI03,2003,28,M,50,40,45,80,70,75,120,0.625,40,40,40,70,60,65,105,0.619,42,41.3,0.7,22.2,,22.2,4,,,,2,15:36:00,15:58:00,15:15:00,5/19/2003,139,450,81,61.5,187,128,85,23.6,13.4,13.2,36.2,80.5,44.3,21,43,76,73.9,77.3,75.4,76,73.9,75.1,77.3,75.4,76.5,2,4,2,est ObTime
50,2M NEWC03,NEWC03,2003,28,F,50,50,50,60,70,65,115,0.565,,,,,,,,,42.1,,,21.1,,21.1,4,,,,4,12:32:00,,12:10:00,5/20/2003,140,318,64,52.5,179,136,75,21,12.3,11.7,33.9,,,22,,71.2,69,73.5,70.9,71.2,69,70.3,73.5,70.9,72.1,2,4,1, 
51,0K NEWC03,NEWC03,2003,28,F,50,50,50,70,60,65,115,0.565,,,,,,,,,41.1,,,21.1,,21.1,4,,,,2,12:36:00,,12:10:00,5/20/2003,140,252,49,52.3,156,112,70,21.5,11.8,11.6,33.6,71.4,37.8,26,,71.2,69,73.5,70.9,71.2,69,70.3,73.5,70.9,72.1,2,4,1, 
75,88 LENO03,LENO03,2003,30,F,50,50,50,80,80,80,130,0.615,50,50,50,80,80,80,130,0.615,40.6,41.2,-0.6,18.3,,18.3,4,9:19:00,9:37:00,18,1,9:17:00,9:39:00,9:00:00,6/4/2003,155,380,77,61.1,187,131,85,23.6,13.5,12.9,36,77.3,41.3,17,39,57.9,54.2,60.9,57.9,57.9,54.2,55.5,60.9,57.9,59.5,2,4,2, 
88,27 MNDY04,MNDY04,2004,28,F,50,30,40,80,80,80,120,0.667,50,40,45,60,70,65,110,0.591,40.5,40.6,-0.1,,,8.9,4,,,,,9:43:00,10:33:00,9:24:00,5/8/2004,129,400,73,59.3,178,118,74,24,13.3,13.1,38,77.9,39.9,19,69,,,,,,,,,,8.89,2,4,2,
89,16 MNDY04,MNDY05,2004,28,M,50,40,45,70,60,65,110,0.591,40,30,35,60,50,55,90,0.611,40.3,40.4,-0.2,,,8.9,4,,,,,9:48:00,10:08:00,9:24:00,5/8/2004,129,460,72,62.1,185,127,72,25.5,13.5,13.4,39.8,82,42.2,24,44,,,,,,,,,,8.89,2,4,2,
92,61 CCLI04,CCLI04,2004,24,M,50,30,40,50,70,60,100,0.6,60,50,55,80,80,80,135,0.593,40.4,39.8,0.6,,,11.6,4,,,,,12:33:00,13:02:00,12:20:00,5/8/2004,129,453,48,59.6,158,101,49,21.9,13.5,13.4,34.2,76.4,42.2,13,42,,,,,,,,,,11.61,2,4,2,
101,62 WARC04,62 WARC04,2004,26,F,50,50,50,60,70,65,115,0.565,60,40,50,60,60,60,110,0.545,40.8,39.4,1.4,,,14.2,4,,,,,13:48:00,14:34:00,13:21:00,5/16/2004,137,400,62,54.9,169,113,65,25.1,12.8,13.5,36.9,78.9,42,27,73,,,,,,,,,,14.17,2,4,2,
102,73 WARC04,73 WARC04,2004,26,M,50,50,50,60,70,65,115,0.565,50,50,50,60,70,65,115,0.565,41.1,39.5,1.6,,,14.2,4,,,,,13:56:00,14:45:00,13:21:00,5/16/2004,137,423,62,53.1,168,111,71,23,14,15.1,36,77.6,41.6,35,84,,,,,,,,,,14.17,2,4,2,
103,84 WARC04,84 WARC04,2004,26,M,50,50,50,70,70,70,120,0.583,40,50,45,60,70,65,110,0.591,40.7,40.2,0.5,,,14.2,4,,,,,14:02:00,15:21:00,13:21:00,5/16/2004,137,440,63,56.7,176,113,75,25,12.4,13.3,36.3,78.5,42.2,41,120,,,,,,,,,,14.17,2,4,2,
104,95 WARC04,95 WARC04,2004,26,F,50,40,45,80,70,75,120,0.625,50,50,50,80,70,75,125,0.6,39.7,40.1,-0.4,,,14.2,4,,,,,14:07:00,15:36:00,13:21:00,5/16/2004,137,350,55,52.3,159,108,58,24.2,13,13.8,33.1,76.6,43.5,46,135,,,,,,,,,,14.17,2,4,2,
109,63 MINE04,63 MINE04,2004,27,F,50,50,50,70,70,70,120,0.583,50,40,45,70,60,65,110,0.591,40.6,40.6,0.1,21.1,24.9,21.1,4,,,,,11:03:00,11:42:00,10:47:00,5/19/2004,140,385,67,59.2,172,115,64,23,13,12.3,35.1,78.7,43.6,16,55,,,,,,,,,,13.89,2,4,2,
125,09 CAFO04,09 CAFO04,2004,24,M,50,40,45,70,60,65,110,0.591,60,40,50,80,70,75,125,0.6,41,40.7,0.3,22.7,21.9,22.7,4,,,,,16:21:00,16:39:00,16:08:00,5/20/2004,141,407,50,59.4,152,94,39,23.7,13.2,12.4,36.4,78.7,42.3,13,31,,,,,,,,,,20.28,2,4,1,
126,10 CAFO04,10 CAFO04,2004,24,F,50,40,45,80,80,80,125,0.64,60,40,50,90,90,90,140,0.643,40,39.2,0.8,22.7,21.7,22.7,4,,,,,16:24:00,16:51:00,16:08:00,5/20/2004,141,297,32,55.3,130,74,29,21.8,13,11.8,32.3,71.9,39.6,16,43,,,,,,,,,,20.28,2,4,1,
138,53 ROWA04,53 ROWA04,2004,24,F,50,30,40,60,50,55,95,0.579,,,,,,,,,42.6,,,28.4,,28.4,4,,,,,13:25:00,,13:13:00,5/24/2004,145,357,53,59.4,159,101,38,23.3,13.4,13.6,34.1,74.5,40.4,12,,,,,,,,,,,26.67,1,4,1,re-measure
140,75 ROWA04,75 ROWA04,2004,24,F,50,50,50,50,60,55,105,0.524,,,,,,,,,42.2,,,28.3,,28.3,4,,,,,13:30:00,,13:13:00,5/24/2004,145,317,35,57.2,137,80,33,21.2,12.6,12.5,33,72.4,39.4,17,,,,,,,,,,,26.67,2,4,1,re-measure
182,AU CCLI05,CCLI05,2005,30,M,50,30,40,80,80,80,120,0.667,60,40,50,90,70,80,130,0.615,40.9,40.9,0,19.5,,19.5,4,,,,,,14:05:00,,5/18/2005,138,400,98,60.8,211,149,113,22.3,11.6,13.2,35.4,78.3,42.9,,,,,,,,,,,,,2,4,1,
184,BT CCLI05,CCLI05,2005,30,F,50,30,40,80,70,75,115,0.652,,,,,,,,,41.6,,,19.5,,19.5,4,,,,,13:28:00,,,5/18/2005,138,360,75,56,192,134,95,21.2,11.7,12.8,34.4,75.1,40.7,,,,,,,,,,,,,1,4,1,
186,RE CLAR05,CLAR05,2005,31,M,50,50,50,80,80,80,130,0.615,50,30,40,80,70,75,115,0.652,39.9,40.8,-0.9,21.9,,21.9,4,9:29:00,9:41:00,,,9:22:00,9:42:00,,5/18/2005,138,365,95,63.5,208,144,99,25.3,14.1,14.2,39.3,83.4,44.1,,,,,,,,,,,,,2,4,2,
187,UB CLAR05,CLAR05,2005,31,F,50,30,40,80,80,80,120,0.667,40,70,55,70,30,50,105,0.476,40.2,40.9,-0.7,21.9,,21.9,4,9:56:00,10:06:00,,,9:29:00,10:07:00,,5/18/2005,138,365,92,61.1,198,140,86,23.6,11.5,11.8,36.4,78.6,42.2,,,,,,,,,,,,,2,4,2,"FLEDGED, IN TREE"
201,VZ MCUN05,MCUN05,2005,29,F,50,40,45,80,70,75,120,0.625,40,40,40,70,90,80,120,0.667,40.6,40.8,-0.2,23.1,,23.1,4,12:12:00,12:23:00,,,11:20:00,12:23:00,11:07:00,5/20/2005,140,285,57,50.4,168,114,65,18,10.2,12.3,31.3,68.6,37.3,13,76,,,,,,,,,,,2,4,2,
202,UA MCUN05,MCUN05,2005,29,M,50,40,45,80,80,80,125,0.64,40,40,40,80,90,85,125,0.68,40.4,41.4,-1,23.1,,23.1,4,11:57:00,12:11:00,,,11:22:00,12:12:00,11:07:00,5/20/2005,140,285,56,50.3,168,118,65,19.2,11.1,11.2,32.5,71.2,38.7,15,65,,,,,,,,,,,2,4,2,
203,PF MCUN05,MCUN05,2005,30,M,50,30,40,70,70,70,110,0.636,50,40,45,80,80,80,125,0.64,40.7,40.9,-0.2,23.1,,23.1,4,11:38:00,11:48:00,,,11:24:00,11:50:00,11:07:00,5/20/2005,140,365,84,56,202,140,101,21.7,11.8,13,34.9,77.9,43,17,43,,,,,,,,,,,2,4,2,
12,2Y ALOT03,ALOT03,2003,28,F,40,40,40,70,70,70,110,0.636,,,,,,,,,40.7,,,12.8,,12.8,4,11:30:00,11:45:00,15,3,11:07:00,,10:19:00,5/14/2003,134,353,68,58.8,180,122,71,22.7,12.9,12.8,36.1,77,40.9,48,,48.1,46,52.4,47.8,52.4,47.8,49.9,54.9,50.5,52.7,2,4,1, 
13,1X ALOT03,ALOT03,2003,28,F,40,40,40,60,50,55,95,0.579,,,,,,,,,39.6,,,12.8,,12.8,4,11:16:00,11:30:00,14,2,11:11:00,,10:19:00,5/14/2003,134,383,68,58.9,176,118,73,22.4,12,12.3,35,76.3,41.3,52,,48.1,46,52.4,47.8,52.4,47.8,49.9,54.9,50.5,52.7,2,4,1, 
33,8T MNDY03,MNDY03,2003,29,F,40,40,40,60,70,65,105,0.619,,,,,,,,,41.6,,,20,,20,4,14:08:00,14:22:00,14,1,14:08:00,,13:48:00,5/17/2003,137,390,86,60.3,191,134,92,23.6,14,13,35.5,77.6,42.1,20,,62.7,59.3,62.7,60.9,62.7,60.9,61.8,64.3,61.3,62.5,2,4,2, 
34,0V MNDY03,MNDY03,2003,29,F,40,40,40,70,70,70,110,0.636,,,,,,,,,40.8,,,20,,20,4,14:33:00,14:44:00,11,3,14:12:00,,13:48:00,5/17/2003,137,356,74,57.7,175,120,79,21.1,12.1,12,33.7,73.8,40.1,24,,62.7,59.3,62.7,60.9,62.7,60.9,61.8,64.3,61.3,62.5,2,4,2, 
36,1W MNDY03,MNDY03,2003,29,F,40,40,40,70,80,75,115,0.652,,,,,,,,,40.3,,,20,,20,4,14:44:00,14:55:00,11,4,14:27:00,,13:48:00,5/17/2003,137,327,46,55.1,149,94,56,21.1,12.7,11.7,33.2,73.1,39.9,39,,62.7,59.3,62.7,60.9,62.7,60.9,61.8,64.3,61.3,62.5,2,4,2, 
37,2C MIPI03,MIPI03,2003,28,M,40,40,40,60,60,60,100,0.6,40,40,40,70,60,65,105,0.619,41.3,42.3,-1.1,22.2,,22.2,4,15:24:00,,,1,15:24:00,15:55:00,15:15:00,5/19/2003,139,448,83,61.4,190,130,87,23,12.6,12.2,35.6,79.5,43.9,9,40,76,73.9,77.3,75.4,76,73.9,75.1,77.3,75.4,76.5,2,4,2,est ObTime
38,4E MIPI03,MIPI03,2003,28,M,40,40,40,70,80,75,115,0.652,30,30,30,70,80,75,105,0.714,42.2,41.7,0.6,22.2,,22.2,4,15:50:00,,,3,15:28:00,16:11:00,15:15:00,5/19/2003,139,421,69,60.3,172,114,71,21.6,12.9,13.6,34,77.4,43.4,13,56,76,73.9,77.3,75.4,76,73.9,75.1,77.3,75.4,76.5,2,4,2,est ObTime
39,5F MIPI03,MIPI03,2003,28,M,40,30,35,80,80,80,115,0.696,40,40,40,80,80,80,120,0.667,42.2,41.1,1.1,22.2,,22.2,4,16:01:00,,,4,15:32:00,16:15:00,15:15:00,5/19/2003,139,426,75,60.1,184,125,79,23,12.8,13.7,35.6,79.3,43.7,17,60,76,73.9,77.3,75.4,76,73.9,75.1,77.3,75.4,76.5,2,4,2,est ObTime
76,99 LENO03,LENO03,2003,30,F,40,40,40,80,70,75,115,0.652,40,50,45,60,80,70,115,0.609,41.4,40.3,1.1,18.3,,18.3,4,9:38:00,9:51:00,13,2,9:20:00,9:56:00,9:00:00,6/4/2003,155,388,90,59.8,202,145,98,23.3,11.7,13.1,36,78.8,42.8,20,56,57.9,54.2,60.9,57.9,57.9,54.2,55.5,60.9,57.9,59.5,2,4,2, 
77,12 LENO03,LENO03,2003,30,F,40,40,40,60,80,70,110,0.636,40,50,45,70,80,75,120,0.625,40.3,41,-0.7,18.3,,18.3,4,9:50:00,10:06:00,16,3,9:25:00,10:06:00,9:00:00,6/4/2003,155,376,87,59.8,200,140,95,22.8,11.6,12.5,34.7,77.1,42.4,25,66,57.9,54.2,60.9,57.9,57.9,54.2,55.5,60.9,57.9,59.5,2,4,2, 
78,23 LENO03,LENO03,2003,30,F,40,40,40,70,70,70,110,0.636,40,40,40,70,60,65,105,0.619,39.4,40.7,-1.3,18.3,,18.3,4,10:06:00,10:18:00,12,4,9:31:00,10:31:00,9:00:00,6/4/2003,155,398,92,61.9,200,139,93,24.3,12.3,13,38.5,79.1,40.6,31,91,57.9,54.2,60.9,57.9,57.9,54.2,55.5,60.9,57.9,59.5,2,4,2, 
90,38 MNDY04,MNDY06,2004,28,F,40,40,40,60,70,65,105,0.619,50,50,50,80,80,80,130,0.615,38.9,40.3,-1.4,,,8.9,4,,,,,9:52:00,10:37:00,9:24:00,5/8/2004,129,420,67,60,170,114,62,22.8,13.7,12.9,35.1,75.3,40.2,28,73,,,,,,,,,,8.89,2,4,2,
178,UC SWEG05,SWEG05,2005,28,F,40,30,35,60,80,70,105,0.667,20,20,20,70,80,75,95,0.789,39.3,40,-0.7,14.5,,14.5,4,10:41:00,10:58:00,,,10:22:00,10:59:00,,5/17/2005,137,414,83,57.3,192,126,83,24.2,13.4,13.8,37.7,79.5,41.8,,,,,,,,,,,,,2,4,1,JUMPER 9:46
179,KL SWEG05,SWEG05,2005,28,M,40,30,35,80,80,80,115,0.696,40,30,35,60,80,70,105,0.667,40.9,40.1,0.8,14.5,,14.5,4,11:36:00,11:47:00,,,10:27:00,11:47:00,,5/17/2005,137,365,79,57.3,187,130,89,23.5,13,12.6,36.1,77.4,41.3,,,,,,,,,,,,,2,4,1,JUMPER 12.21
180,CT SWEG05,SWEG05,2005,28,F,40,30,35,90,90,90,125,0.72,40,30,35,60,80,70,105,0.667,39.8,39.7,0.1,14.5,,14.5,4,11:01:00,11:10:00,,,10:35:00,11:11:00,,5/17/2005,137,412,83,59.4,190,134,79,23.1,14.9,13.1,36.7,78.9,42.2,,,,,,,,,,,,,2,4,1,
183,CS CCLI05,CCLI05,2005,30,F,40,30,35,80,80,80,115,0.696,50,30,40,80,80,80,120,0.667,40.3,,,19.5,,19.5,4,,,,,13:26:00,,,5/18/2005,138,330,61,56.3,178,120,82,22.4,10.9,12,31.5,73.1,41.6,,,,,,,,,,,,,2,4,1,jumpers--2 died
191,IM DBAR05,DBAR05,2005,22,M,40,20,30,70,70,70,100,0.7,40,40,40,70,60,65,105,0.619,38.9,37.3,1.6,15.7,,15.7,4,10:38:00,10:48:00,,,9:52:00,10:49:00,9:39:00,5/19/2005,139,266,20,54.4,124,68,33,19.8,10.8,11.7,30.9,70.6,39.7,13,70,,,,,,,,,,,2,4,2,
193,EQ DBAR05,DBAR05,2005,23,M,40,30,35,80,70,75,110,0.682,40,30,35,80,70,75,110,0.682,39.4,38.2,1.3,15.7,,15.7,4,10:18:00,10:27:00,,,10:00:00,10:29:00,9:39:00,5/19/2005,139,327,33,56.6,144,87,44,21.7,13.3,12.6,34.8,74.4,39.6,21,50,,,,,,,,,,,2,4,2,
194,FP DBAR05,DBAR05,2005,23,M,40,30,35,70,70,70,105,0.667,40,30,35,70,70,70,105,0.667,37.9,38.7,-0.7,15.7,,15.7,4,10:28:00,10:37:00,,,10:06:00,10:39:00,9:39:00,5/19/2005,139,321,29,56.4,139,80,38,21.4,13.1,12.4,34.9,74,39.1,27,60,,,,,,,,,,,2,4,2,force fledge 12:23
204,SC MCUN05,MCUN05,2005,30,F,40,40,40,80,80,80,120,0.667,50,40,45,80,80,80,125,0.64,41.8,41.6,0.2,23.1,,23.1,4,11:49:00,11:57:00,,,11:29:00,11:57:00,11:07:00,5/20/2005,140,320,88,55.3,200,144,101,21.6,11,12.4,34.1,75.1,41,22,50,,,,,,,,,,,2,4,2,
219,MH NEEL05,NEEL05,2005,30,F,40,50,45,70,80,75,120,0.625,40,30,35,70,80,75,110,0.682,39.3,38.8,0.6,14.2,,14.2,4,9:42:00,9:52:00,,,8:52:00,9:53:00,8:42:00,5/22/2005,142,347,79,55.5,193,138,92,23.7,12.6,12.8,35.9,77.6,41.7,10,71,,,,,,,,,,,2,4,1,ALL EXPLOSIVE/FLUSHED AT LADDER
220,JK NEEL05,NEEL05,2005,30,M,40,50,45,70,80,75,120,0.625,40,30,35,70,80,75,110,0.682,39.9,40,-0.1,14.2,,14.2,4,9:12:00,9:23:00,,,8:55:00,9:24:00,8:42:00,5/22/2005,142,423,97,58.9,206,149,105,24.7,13.8,14.5,38.4,81.3,42.9,13,42,,,,,,,,,,,2,4,1,ALL EXPLOSIVE/FLUSHED AT LADDER
221,IL NEEL05,NEEL05,2005,30,M,40,40,40,60,80,70,110,0.636,40,30,35,80,80,80,115,0.696,38.4,39.3,-0.8,14.2,,14.2,4,9:03:00,9:29:00,,,8:58:00,9:30:00,8:42:00,5/22/2005,142,372,79,59.3,190,135,93,22.3,12,12.8,35.1,77.9,42.8,16,48,,,,,,,,,,,2,4,1,ALL EXPLOSIVE/FLUSHED AT LADDER
10,0W ALOT03,ALOT03,2003,28,M,30,20,25,60,30,45,70,0.643,,,,,,,,,40.2,,,12.8,,12.8,4,10:58:00,11:16:00,18,1,10:57:00,,10:19:00,5/14/2003,134,394,72,63.1,183,128,80,22.8,13,12.1,36.4,78.8,42.4,38,,48.1,46,52.4,47.8,48.1,46,47.1,52.4,47.8,49.9,1,4,1, 
11,3Z ALOT03,ALOT03,2003,28,M,30,30,30,70,70,70,100,0.7,,,,,,,,,40.3,,,12.8,,12.8,4,11:47:00,12:03:00,16,4,11:04:00,,10:19:00,5/14/2003,134,450,78,63.7,188,128,75,23.9,13.7,12.5,34.7,81.6,46.9,45,,48.1,46,52.4,47.8,52.4,47.8,49.9,54.9,50.5,52.7,1,4,1, 
181,IN SWEG05,SWEG05,2005,28,F,30,40,35,80,90,85,120,0.708,40,30,35,80,80,80,115,0.696,39.1,38.4,0.7,14.5,,14.5,4,11:12:00,11:35:00,,,10:40:00,11:38:00,,5/17/2005,137,362,69,59.7,182,122,77,21.5,13.3,12.7,33.9,75.5,41.6,,,,,,,,,,,,,1,4,1,
185,SD CLAR05,CLAR05,2005,31,F,30,40,35,80,80,80,115,0.696,50,40,45,70,90,80,125,0.64,41.6,41.2,0.4,21.9,,21.9,4,9:42:00,9:55:00,,,9:19:00,9:56:00,,5/18/2005,138,352,98,62.6,203,144,100,24.8,12.1,12.7,37.4,80,42.6,,,,,,,,,,,,,2,4,2,"FLEDGED, IN TREE"
192,DR DBAR05,DBAR05,2005,23,F,30,20,25,70,60,65,90,0.722,40,30,35,80,70,75,110,0.682,39.4,39.3,0.1,15.7,,15.7,4,10:09:00,10:17:00,,,9:57:00,10:19:00,9:39:00,5/19/2005,139,348,38,59.3,159,98,51,20.2,12.2,12.2,33.7,74.3,40.6,18,40,,,,,,,,,,,2,4,2,
222,KJ NEEL05,NEEL05,2005,30,M,30,20,25,70,70,70,95,0.737,30,20,25,80,80,80,105,0.762,38.1,38,0.1,14.2,,14.2,4,9:30:00,9:42:00,,,9:00:00,9:42:00,8:42:00,5/22/2005,142,365,68,55.2,183,130,82,24.6,12.7,13.3,37.1,79.6,42.5,18,60,,,,,,,,,,,1,4,1,ALL EXPLOSIVE/FLUSHED AT LADDER
123,97 MSAL04,97 MSAL04,2004,32,F,70,50,60,60,60,60,120,0.5,60,50,55,60,70,65,120,0.542,41.7,42.2,-0.5,23.9,27.6,23.9,3,,,,,13:58:00,14:36:00,13:34:00,5/20/2004,141,360,84,59.3,204,142,102,23.5,12.3,13.2,35.8,78,42.2,24,62,,,,,,,,,,22.28,2,3,2,
132,76 EPIN04,76 EPIN04,2004,27,F,70,40,55,70,70,70,125,0.56,60,50,55,80,80,80,135,0.593,41.7,41.8,-0.1,23.1,,23.1,3,,,,,12:49:00,13:21:00,12:26:00,5/23/2004,144,425,79,59.5,182,129,84,22.9,11.6,12.6,33.8,77,43.2,23,55,,,,,,,,,,21.22,2,3,2,
133,87 EPIN04,87 EPIN04,2004,27,F,70,70,70,70,80,75,145,0.517,60,60,60,70,70,70,130,0.538,42.2,40.9,1.2,22.9,,22.9,3,,,,,12:52:00,13:49:00,12:26:00,5/23/2004,144,412,57,57.2,171,112,71,21.5,10.2,11.8,33.4,74.6,41.2,26,83,,,,,,,,,,21.22,2,3,2,
7,1N JUDD03,JUDD03,2003,25,F,60,,60,70,,70,130,0.538,40,,40,60,,60,100,0.6,39.8,39.7,0.1,15.6,,15.6,3,12:39:00,12:57:00,18,1,12:38:00,13:36:00,12:10:00,5/12/2003,132,398,52,58.1,164,111,64,21.8,12.7,12.3,32.7,76.4,43.7,28,86,52.9,50.7,53.6,50.7,52.9,50.7,51.6,53.6,50.7,52,2,3,1, 
82,67 TURF03,TURF03,2003,20,M,60,60,60,80,80,80,140,0.571,60,60,60,80,80,80,140,0.571,39.1,38.4,0.7,13.9,,13.9,3,10:47:00,11:02:00,15,1,10:46:00,11:06:00,10:26:00,6/5/2003,156,363,26,57.8,118,62,29,20.8,12.3,10.6,31.6,70.4,38.8,20,40,61.6,59.1,64.3,61.1,61.6,59.1,60.2,64.3,61.1,62.9,2,3,2, 
83,78 TURF03,TURF03,2003,20,F,60,60,60,90,90,90,150,0.6,60,60,60,90,80,85,145,0.586,38.2,38.4,-0.2,13.9,,13.9,3,11:07:00,11:18:00,11,2,10:49:00,11:20:00,10:26:00,6/5/2003,156,357,32,58.4,127,70,31,19.7,12.6,11.3,31.5,70.7,39.2,23,54,61.6,59.1,64.3,61.1,61.6,59.1,60.2,64.3,61.1,62.9,2,3,2, 
84,89 TURF03,TURF03,2003,20,F,60,60,60,90,90,90,150,0.6,60,60,60,90,90,90,150,0.6,40.1,38.3,1.8,13.9,,13.9,3,11:20:00,11:36:00,16,3,10:54:00,11:37:00,10:26:00,6/5/2003,156,322,22,54.1,112,59,22,19.5,12.4,11.1,29.9,67.3,37.4,28,71,61.6,59.1,64.3,61.1,61.6,59.1,60.2,64.3,61.1,62.9,2,3,2, 
