row,id,family,year,age,sex,tongY1,palY1,meanY1,tongM1,palM1,meanM1,sat1 ,hue1,tongY2,palY2,meanY2,tongM2,palM2,meanM2,sat2,hue2,bodTemp1,bodTemp2,diffBodTemp,ambTemp1,ambTemp2,ambFinal,broodSize,bandTime1,bandTime2,handleTime,bandOrder,time1,time2,obtainTime,date,julDate,mass,tailLength,tarsus,wingChord,sevenPrim,expSevenPrim,billNT,billWidth,billDepth,TEC,head,skull,timeOut1,timeOut2,obt1Max,obt1Min,obt1Max,obt1Min,t1MaxMinusHour,t1MinMinusHour,t1MeanMinusHour,t1MaxAtBand,t1MinAtBand,t1MeanAtBand,futureBreeder,broodSize,familyProducedBreeder,comments
198,KK WILG05,WILG05,2005,27,F,60,60,60,90,90,90,150,0.6,60,60,60,90,80,85,145,0.586,41.5,40.3,1.2,22.3,,22.3,5,16:49:00,16:58:00,,,16:45:00,17:05:00,16:31:00,5/19/2005,139,370,56,59.3,168,112,64,22.5,13.5,12.7,36.9,77.1,40.2,14,34,,,,,,,,,,,2,5,2,
199,MI WILG05,WILG05,2005,27,F,60,60,60,80,90,85,145,0.586,60,70,65,80,90,85,150,0.567,41.2,40,1.2,22.3,,22.3,5,17:08:00,17:18:00,,,16:48:00,17:19:00,16:31:00,5/19/2005,139,372,52,59.8,166,105,59,22.3,12.6,12.7,33.6,74.6,41,17,48,,,,,,,,,,,2,5,2,
200,NH WILG05,WILG05,2005,27,F,60,60,60,80,90,85,145,0.586,60,60,60,80,90,85,145,0.586,41.2,39.4,1.7,22.3,,22.3,5,17:19:00,17:33:00,,,16:50:00,17:34:00,16:31:00,5/19/2005,139,397,67,59.5,174,112,65,23.3,12.8,12.7,35.4,76.7,41.3,19,63,,,,,,,,,,,2,5,2,
19,4F BROT03,BROT03,2003,24,F,50,50,50,90,80,85,135,0.63,,,,,,,,,40.6,,,,,13,5,,,,1,10:59:00,,,5/16/2003,136,447,55,60.5,155,100,55,21.7,13.4,12.7,32.7,72.8,40.1,,,,,,,56.2,53.7,54.7,56.2,55,13,2,5,2, 
20,5G BROT03,BROT03,2003,25,M,50,40,45,70,60,65,110,0.591,,,,,,,,,39.2,,,,,13.3,5,,,,2,11:06:00,,,5/16/2003,136,370,60,63.2,171,111,62,23.6,13.3,13.1,37,78,41,,,,,,,56.2,55,55.4,57.1,55.3,13.33,2,5,2, 
21,7I BROT03,BROT03,2003,25,F,50,50,50,70,60,65,115,0.565,,,,,,,,,38.7,,,,,13.3,5,11:44:00,11:59:00,15,4,11:11:00,,,5/16/2003,136,368,63,60.4,166,108,61,23.7,13.6,13,36.6,77.4,40.8,,,,,,,56.2,55,55.4,57.1,55.3,13.33,2,5,2, 
22,8J BROT03,BROT03,2003,25,M,50,50,50,70,70,70,120,0.583,,,,,,,,,38.9,,,,,13.3,5,12:00:00,12:15:00,15,5,11:23:00,,,5/16/2003,136,387,57,62.4,165,106,66,22.1,12.3,12.5,34,77.4,43.4,,,,,,,56.2,55,55.4,57.1,55.3,13.33,2,5,2, 
24,9K LRIS03,LRIS03,2003,25,F,50,40,45,70,70,70,115,0.609,30,30,30,70,60,65,95,0.684,39.7,40.1,-0.4,17.2,,17.2,5,,15:00:00,,1,14:46:00,15:10:00,14:30:00,5/16/2003,136,342,50,57.4,168,110,61,19.8,11.8,11.7,32,73.3,41.3,16,40,60.5,57.9,61.1,60.2,60.5,57.9,59.3,61.1,60.2,60.6,2,5,2, 
28,0L LRIS03,LRIS03,2003,25,F,50,40,45,70,70,70,115,0.609,30,30,30,70,60,65,95,0.684,40.4,38.9,1.6,17.2,,17.2,5,15:03:00,15:15:00,12,2,15:02:00,15:16:00,14:30:00,5/16/2003,136,355,49,59.8,160,102,58,21.5,13.4,12.9,34.3,76,41.7,32,46,60.5,57.9,61.1,60.2,61.1,60.2,60.6,61,60.3,60.7,2,5,2, 
41,2X SWEG03,SWEG03,2003,25,F,50,50,50,70,80,75,125,0.6,50,,50,70,,70,120,0.583,42.4,40.6,1.8,22.8,,22.8,5,10:57:00,,,1,10:57:00,12:07:00,10:28:00,5/19/2003,139,358,65,55.9,170,115,70,22.5,14,12.8,34.4,76.3,41.9,29,99,65.4,59.9,68,65.1,65.4,59.9,62.6,68,65.1,66.7,2,5,2, 
42,4Z SWEG03,SWEG03,2003,25,M,50,50,50,80,80,80,130,0.615,,,,,,,,,40.6,,,22.8,,22.8,5,,,,3,11:01:00,,10:28:00,5/19/2003,139,356,55,53.9,161,105,50,21.51,13.4,12.8,33.5,75.7,42.2,33,,65.4,59.9,68,65.1,68,65.1,66.7,70.5,68,69.4,2,5,2, 
43,3Y SWEG03,SWEG03,2003,25,M,50,50,50,80,80,80,130,0.615,,,,,,,,,40.9,,,22.8,,22.8,5,11:09:00,,,2,11:07:00,,10:28:00,5/19/2003,139,335,50,56.2,168,110,63,20.9,13,12.6,33.4,74.8,41.4,39,,65.4,59.9,68,65.1,68,65.1,66.7,70.5,68,69.4,2,5,2, 
164,SE FOWA05,FOWA05,2005,27,M,50,50,50,80,70,75,125,0.6,50,30,40,70,70,70,110,0.636,40.1,40.5,-0.4,17.9,,17.9,5,11:41:00,11:53:00,,,11:17:00,11:53:00,11:05:00,5/16/2005,136,422,72,61.6,183,126,73,22.8,14,14,36.7,79.5,42.8,12,48,,,,,,,,,,,2,5,2,bled before gape color
166,QG FOWA05,FOWA05,2005,27,F,50,30,40,70,80,75,115,0.652,40,30,35,70,80,75,110,0.682,40.3,39.3,0.9,17.9,,17.9,5,11:54:00,12:01:00,,,11:23:00,12:02:00,11:05:00,5/16/2005,136,380,68,58.8,172,118,68,22.7,12.1,12,35.2,77.5,42.3,18,57,,,,,,,,,,,2,5,2,bled before gape color
176,BU IEQR05,IEQR05,2005,24,F,50,30,40,80,80,80,120,0.667,40,40,40,70,70,70,110,0.636,39.4,39.7,-0.3,22.3,,22.3,5,14:27:00,14:35:00,,,14:25:00,14:43:00,13:56:00,5/17/2005,137,305,35,58.5,143,90,43,21,12.1,11.5,33.5,72.7,39.2,29,47,,,,,,,,,,,2,5,2,
207,WY NBUR05,NBUR05,2005,28,M,50,50,50,80,80,80,130,0.615,40,50,45,70,90,80,125,0.64,40.9,40.6,0.4,22,,22,5,15:00:00,15:17:00,,,14:56:00,15:18:00,,5/20/2005,140,287,45,49.4,152,103,62,19.9,10.7,9.9,33.7,73.3,39.6,,,,,,,,,,,,,2,5,2,
209,XX NBUR05,NBUR05,2005,28,M,50,40,45,70,90,80,125,0.64,50,40,45,80,80,80,125,0.64,41.4,41.2,0.3,22,,22,5,15:13:00,15:24:00,,,15:04:00,15:25:00,,5/20/2005,140,351,65,54.2,181,125,85,22.6,11.4,11.1,34,77.4,43.4,,,,,,,,,,,,,2,5,2,
23,6H BROT03,BROT03,2003,25,F,40,40,40,70,60,65,105,0.619,,,,,,,,,40.4,,,,,13.3,5,,,,3,11:27:00,,,5/16/2003,136,370,61,61.1,168,108,64,23.8,12.4,12.4,35.4,77.4,42,,,,,,,56.2,55,55.4,57.1,55.3,13.33,2,5,2, 
25,2N LRIS03,LRIS03,2003,25,F,40,20,30,70,70,70,100,0.7,40,30,35,60,70,65,100,0.65,40.7,39.6,1.2,17.2,,17.2,5,15:28:00,15:38:00,10,4,14:49:00,15:42:00,14:30:00,5/16/2003,136,370,55,60.7,163,107,61,21.2,13.6,12.5,32.7,74.2,41.5,19,72,60.5,57.9,61.1,60.2,60.5,57.9,59.3,61.1,60.2,60.6,2,5,2, 
26,3O LRIS03,LRIS03,2003,25,M,40,10,25,80,60,70,95,0.737,40,40,40,70,70,70,110,0.636,39.8,39.3,0.5,17.2,,17.2,5,15:39:00,15:54:00,15,5,14:53:00,15:56:00,14:30:00,5/16/2003,136,440,51,62.3,170,110,61,22,13.1,13.1,34.1,77.2,43.1,23,86,60.5,57.9,61.1,60.2,60.5,57.9,59.3,61.1,60.2,60.6,2,5,2, 
44,0A SWEG03,SWEG03,2003,25,F,40,40,40,70,70,70,110,0.636,,,,,,,,,40.7,,,22.8,,22.8,5,,,,4,11:11:00,,10:28:00,5/19/2003,139,289,47,53.3,158,102,56,20.1,11.7,11.6,32.6,71.2,38.6,43,,65.4,59.9,68,65.1,68,65.1,66.7,70.5,68,69.4,2,5,2, 
174,NI IEQR05,IEQR05,2005,24,F,40,30,35,70,80,75,110,0.682,40,30,35,70,70,70,105,0.667,38.9,39.4,-0.4,22.3,,22.3,5,14:36:00,14:56:00,,,14:17:00,14:57:00,13:56:00,5/17/2005,137,295,42,60,152,94,47,21.6,12.4,12.4,33.3,74.3,41,21,61,,,,,,,,,,,2,5,2,
