Year,Name,NestName,ID,Sex,MeasurementDate,MeasurementDateJulYear,HatchDate,HatchDateJulYear,FieldAge,CalcAgeInteger,CalcAge,BNT,TEC,BW,BD,Head,UB,UBS,TBS,Skull,Tarsus,WingChord,Primary7,TailLength,Weight,MaxC1_11,MaxC12_22,MaxCIncubation,MinC1_11,MinC12_22,MinCIncubation,GDD10CSum1_11,GDD10CSum12_22,GDD10CSumIncubation,PrecipSum1_11,PrecipSum12_22,PrecipSumIncubation,MaxC6_19,MinC6_19,GDD10CSum6_19,PrecipSum6_19,MaxC8_22,MinC8_22,GDD10CSum8_22,PrecipSum8_22
1990,OK,CEME90,OK CEME90,U,6/2/1990,1990153,5/8/1990,1990128,28,25,25.1,21.3,33.8,12,12.3,72,12.5,153.75,205.335,38.2,53.8,150,92,42,235,18.98989899,17.37373737,19.85380117,8.333333333,6.919191919,6.842105263,40.27777778,23.61111111,63.61111111,5.1054,3.2258,4.5212,17.22222222,7.53968254,33.33333333,6.6548,18.55555556,8.074074074,49.72222222,5.4102
1990,PJ,CEME90,PJ CEME90,U,6/2/1990,1990153,5/8/1990,1990128,28,25,25,21.9,33.7,12.1,11.6,72.5,11.8,136.88,199.6725,38.8,53,143,92,35,280,18.98989899,17.37373737,19.85380117,8.333333333,6.919191919,6.842105263,40.27777778,23.61111111,63.61111111,5.1054,3.2258,4.5212,17.22222222,7.53968254,33.33333333,6.6548,18.55555556,8.074074074,49.72222222,5.4102
1990,OL,HART90,OL HART90,M,5/15/1990,1990135,4/18/1990,1990108,28,27,26.9,23.5,37.8,12.1,14.4,79.6,14.3,205.92,250.425,41.8,58.9,NA,122,71,423,19.24242424,18.88888889,8.391812865,5.252525253,7.070707071,0.233918129,24.72222222,32.77777778,-108.0555556,2.0066,2.7432,7.8994,21.9047619,7.777777778,67.77777778,2.9464,21.37037037,8.259259259,72.22222222,3.4544
1990,PK,HART90,PK HART90,M,5/15/1990,1990135,4/18/1990,1990108,28,27,27.4,23.3,36.2,13.7,13.3,79.4,12.9,171.57,244.35,43.2,62.8,NA,129,79,430,19.24242424,18.88888889,8.391812865,5.252525253,7.070707071,0.233918129,24.72222222,32.77777778,-108.0555556,2.0066,2.7432,7.8994,21.9047619,7.777777778,67.77777778,2.9464,21.37037037,8.259259259,72.22222222,3.4544
1990,QJ,HART90,QJ HART90,U,5/15/1990,1990135,4/18/1990,1990108,28,27,26.5,24.4,37.4,13.1,13.3,79.1,13,172.9,246.84,41.7,59.6,NA,119,65,400,19.24242424,18.88888889,8.391812865,5.252525253,7.070707071,0.233918129,24.72222222,32.77777778,-108.0555556,2.0066,2.7432,7.8994,21.9047619,7.777777778,67.77777778,2.9464,21.37037037,8.259259259,72.22222222,3.4544
1990,RI,HART90,RI HART90,M,5/15/1990,1990135,4/19/1990,1990109,28,26,25.7,22.1,35.1,13,12.7,76.8,13,165.1,225.5175,41.7,58.6,NA,105,52,388,21.26262626,18.38383838,8.567251462,6.868686869,6.919191919,-0.058479532,44.72222222,29.16666667,-109.1666667,1.778,2.7432,7.8994,21.54761905,7.698412698,64.72222222,3.3274,21.40740741,8.481481481,74.16666667,2.9972
1990,HR,HOGS90,HR HOGS90,M,5/24/1990,1990144,4/29/1990,1990119,24,25,24.9,22,34.6,13.4,13,74.8,12.6,163.8,228.36,40.2,59.1,156,87,40,415,18.88888889,17.92929293,16.40350877,7.070707071,8.03030303,3.947368421,32.77777778,32.77777778,3.333333333,2.7432,5.3848,4.3434,17.46031746,7.301587302,33.33333333,7.0866,17.55555556,7.518518519,38.05555556,5.8928
1990,SH,KNOL90,SH KNOL90,M,5/17/1990,1990137,4/21/1990,1990111,26,26,26.1,23.9,36.1,13.4,13.9,78.5,12.2,169.58,246.3825,42.4,61.5,172,109,62,390,22.97979798,16.86868687,9.356725146,8.98989899,5.202020202,-0.087719298,65.83333333,11.38888889,-101.9444444,1.6764,3.7846,8.4836,21.07142857,8.015873016,63.61111111,2.9972,19.33333333,7.111111111,48.33333333,3.7846
1990,TG,KNOL90,TG KNOL90,U,5/17/1990,1990137,4/21/1990,1990111,26,26,26.1,23.1,34,13.1,13.1,75.2,10.9,142.79,222.7,41.2,60.8,166,106,64,360,22.97979798,16.86868687,9.356725146,8.98989899,5.202020202,-0.087719298,65.83333333,11.38888889,-101.9444444,1.6764,3.7846,8.4836,21.07142857,8.015873016,63.61111111,2.9972,19.33333333,7.111111111,48.33333333,3.7846
1990,UF,KNOL90,UF KNOL90,U,5/17/1990,1990137,4/21/1990,1990111,26,26,26.1,24.2,36.6,14.7,13.5,79,12.4,167.4,258.03,42.4,60.7,175,108,62,420,22.97979798,16.86868687,9.356725146,8.98989899,5.202020202,-0.087719298,65.83333333,11.38888889,-101.9444444,1.6764,3.7846,8.4836,21.07142857,8.015873016,63.61111111,2.9972,19.33333333,7.111111111,48.33333333,3.7846
