Obs,Year,Name,NestName,ID,BandNumber,BandDate,BandDateJul,MeasurementDate,MeasurementDateJulYear,MeasurementDateJul,AgeField,CalcAge,CalcAgeInteger,HatchDate,HatchDateJul1,HatchDateJul,AllSex,BillNT,TEC,BillWidth,BillDepth,Head,UpperBill,UBillSurface,TotBillSurface,Skull,Tarsus,WingChord,Primary7,TailLength,Weight,Condition,,,
612,1998,NS,WHIT98,NS WHIT98,925-62357,05/12/1998,132,05/12/1998,1998132,132,25,25.0,25,04/17/1998,107,1998107,,20.2,33.5,13,11.9,71.4,13.3,158.27,208.5375,37.9,51.8,153,100,46,325,0.13 ,,,
613,1998,P-4,WHIT98,P-4 WHIT98,,05/12/1998,132,05/12/1998,1998132,132,24,24.0,24,04/18/1998,108,1998108,,15.2,26.5,9.7,10,58.3,11.3,113,130.5125,31.8,36.2,71,30,4,115,0.13 ,,,
614,1998,OR,ROBT98,OR ROBT98,925-62355,05/12/1998,132,05/12/1998,1998132,132,26,25.3,25,04/16/1998,106,1998106,,19.7,32.6,12.9,12,73.2,12.9,154.8,202.935,40.6,57.4,147,93,49,363,0.12 ,,,
615,1998,PQ,WILG98,PQ WILG98,925-62359,05/13/1998,133,05/13/1998,1998133,133,25,25.0,25,04/18/1998,108,1998108,,23.3,34.1,14.6,13.5,76.3,10.8,145.8,239.5525,42.2,60.5,162,109,54,410,0.12 ,,,
616,1998,QP,WILG98,QP WILG98,925-62360,05/13/1998,133,05/13/1998,1998133,133,25,25.0,25,04/18/1998,108,1998108,,22.2,33.6,12.5,12.4,75.8,11.4,141.36,209.16,42.2,61,153,99,46,380,0.12 ,,,
617,1998,RO,ROOR98,RO ROOR98,925-62361,05/13/1998,133,05/13/1998,1998133,133,25,24.6,25,04/18/1998,108,1998108,,20.8,31.2,13.5,13.3,72.9,10.4,138.32,209.04,41.7,59.4,131,78,34,345,0.12 ,,,
618,1998,SN,ROOR98,SN ROOR98,925-62362,05/13/1998,133,05/13/1998,1998133,133,25,24.8,25,04/18/1998,108,1998108,,20.7,33,13.2,12.2,73.4,12.3,150.06,209.55,40.4,57,139,85,38,325,0.12 ,,,
619,1998,TM,ROOR98,TM ROOR98,925-62363,05/13/1998,133,05/13/1998,1998133,133,25,24.1,24,04/18/1998,108,1998108,,20,31.8,12.7,11.9,70.6,11.8,140.42,195.57,38.8,55.4,120,61,24,315,0.12 ,,,
620,1998,UL,ROOR98,UL ROOR98,925-62364,05/13/1998,133,05/13/1998,1998133,133,25,25.3,25,04/18/1998,108,1998108,,22.8,36.5,13.6,12.9,77.7,13.7,176.73,241.8125,41.2,61.2,151,93,48,380,0.12 ,,,
621,1998,VK,ROTA98,VK ROTA98,925-62366,05/14/1998,134,05/14/1998,1998134,134,25,24.9,25,04/19/1998,109,1998109,,20.3,32.8,12.1,11.8,71.9,12.5,147.5,195.98,39.1,56.7,143,86,39,290,0.12 ,,,
622,1998,WJ,ROTA98,WJ ROTA98,925-62367,05/14/1998,134,05/14/1998,1998134,134,25,25.1,25,04/19/1998,109,1998109,,21.9,33.7,12.4,12.1,73.1,11.8,142.78,206.4125,39.4,57.9,148,95,38,360,0.12 ,,,
623,1998,XI,ROTA98,XI ROTA98,925-62368,05/14/1998,134,05/14/1998,1998134,134,25,25.3,25,04/19/1998,109,1998109,,21.2,33.6,12.4,12.1,73,12.4,150.04,205.8,39.4,57.2,153,100,42,325,0.12 ,,,
624,1998,YH,ROTA98,YH ROTA98,925-62369,05/14/1998,134,05/14/1998,1998134,134,25,25.3,25,04/19/1998,109,1998109,,21.8,33.5,11.8,12.1,72.4,11.7,141.57,200.1625,38.9,55.4,150,99,44,298,0.12 ,,,
625,1998,S-AFW,ROTA98,S-AFW ROTA98,925-62370,05/14/1998,134,05/14/1998,1998134,134,24,23.9,24,04/20/1998,110,1998110,,18.4,28.5,11.1,11,65.2,10.1,111.1,157.4625,36.7,46,100,52,14,180,0.12 ,,,
626,1998,ZG,WAFO98,ZG WAFO98,925-62365,05/14/1998,134,05/14/1998,1998134,134,28,24.9,25,04/16/1998,106,1998106,,21,32.6,12.7,12.6,73.6,11.6,146.16,206.195,41,57.9,141,86,40,360,0.12 ,,,
627,1998,ZD,WAFO98,ZD WAFO98,925-62371,05/14/1998,134,05/14/1998,1998134,134,28,26.5,26,04/16/1998,106,1998106,,23.3,35.4,11.8,12.2,78.8,12.1,147.62,212.4,43.4,59.6,174,117,65,382,0.12 ,,,
628,1998,A1,WAFO98,A1 WAFO98,,05/14/1998,134,05/14/1998,1998134,134,28,26.2,26,04/16/1998,106,1998106,,24.5,37.7,13.8,13.4,79,13.2,176.88,256.36,41.3,62.1,174,114,61,422,0.12 ,,,
629,1998,B2,STAD98,B2 STAD98,925-62373,05/14/1998,134,05/14/1998,1998134,134,28,28.0,28,04/16/1998,106,1998106,,24.2,37,13.1,13.7,79.4,12.8,175.36,247.9,42.4,59.7,184,126,76,410,0.12 ,,,
630,1998,C3,STAD98,C3 STAD98,925-62374,05/14/1998,134,05/14/1998,1998134,134,27,27.0,27,04/17/1998,107,1998107,,21.6,34.7,12.1,12.4,74.4,13.1,162.44,212.5375,39.7,58.1,186,124,72,400,0.13 ,,,
631,1998,G-2,STAD98,G-2 STAD98,,05/14/1998,134,05/14/1998,1998134,134,28,28.0,28,04/16/1998,106,1998106,,22.8,35,0,13.1,82,12.2,159.82,114.625,47,59.7,185,128,78,380,0.12 ,,,
632,1998,D4,CSTK98,D4 CSTK98,925-62375,05/14/1998,134,05/14/1998,1998134,134,26,26.5,26,04/18/1998,108,1998108,,22.4,36.5,14.2,12.7,77,14.1,179.07,245.4625,40.5,61.4,172,117,65,440,0.12 ,,,
633,1998,E5,CSTK98,E5 CSTK98,925-62376,05/14/1998,134,05/14/1998,1998134,134,26,25.9,26,04/18/1998,108,1998108,,23.4,36.5,13.3,12.5,76,13.1,163.75,235.425,39.5,60,165,110,55,410,0.12 ,,,
634,1998,F6,CSTK98,F6 CSTK98,925-62377,05/14/1998,134,05/14/1998,1998134,134,26,26.3,26,04/18/1998,108,1998108,,22.5,34.6,13.3,12.4,76.2,12.1,150.04,222.305,41.6,57.9,167,113,65,380,0.13 ,,,
635,1998,G7,JSUP98,G7 JSUP98,925-62378,05/15/1998,135,05/15/1998,1998135,135,29,27.8,28,04/16/1998,106,1998106,F,24.9,38,12.3,13,79.2,13.1,170.3,240.35,41.2,58,195,137,82,358,0.12 ,,,
636,1998,H8,JSUP98,H8 JSUP98,925-62379,05/15/1998,135,05/15/1998,1998135,135,29,27.8,28,04/16/1998,106,1998106,F,24.7,37.6,10.9,12.7,80.6,12.9,163.83,221.84,43,60,197,133,84,370,0.12 ,,,
637,1998,I9,JSUP98,I9 JSUP98,925-62380,05/15/1998,135,05/15/1998,1998135,135,29,27.6,28,04/16/1998,106,1998106,M,25,38.7,13.7,13.7,83.1,13.7,187.69,265.095,44.4,63.9,195,135,78,450,0.12 ,,,
638,1998,J0,JSUP98,J0 JSUP98,925-62381,05/15/1998,135,05/15/1998,1998135,135,29,26.7,27,04/16/1998,106,1998106,F,23.3,34,12.9,12.8,75.4,10.7,136.96,218.45,41.4,59.1,176,123,65,345,0.12 ,,,
639,1998,K1,JSUP98,K1 JSUP98,925-62382,05/15/1998,135,05/15/1998,1998135,135,29,27.6,28,04/16/1998,106,1998106,F,25.9,39.5,11.9,13.3,81.7,13.6,180.88,248.85,42.2,58.8,192,133,81,405,0.13 ,,,
640,1998,L2,STAT98,L2 STAT98,925-62372,05/18/1998,138,05/18/1998,1998138,138,26,26.0,26,04/22/1998,112,1998112,,24.5,37.5,13.1,13.1,79.3,13,170.3,245.625,41.8,55.5,169,113,57,400,0.13 ,,,
641,1998,M3,STAT98,M3 STAT98,925-62383,05/18/1998,138,05/18/1998,1998138,138,26,26.0,26,04/22/1998,112,1998112,,22.5,35.1,13,12.4,75,12.6,156.24,222.885,39.9,53.5,167,112,59,370,0.13 ,,,
642,1998,N4,STAT98,N4 STAT98,925-62384,05/18/1998,138,05/18/1998,1998138,138,26,26.0,26,04/22/1998,112,1998112,,25.7,38.6,13.9,13.6,80.4,12.9,175.44,265.375,41.8,58.1,176,120,67,410,0.13 ,,,
643,1998,O5,STAT98,O5 STAT98,925-62385,05/18/1998,138,05/18/1998,1998138,138,25,25.0,25,04/23/1998,113,1998113,,20.8,33.7,12.4,11.6,71.8,12.9,149.64,202.2,38.1,50.7,146,95,43,298,0.13 ,,,
644,1998,P6,CEME98,P6 CEME98,925-62386,05/18/1998,138,05/18/1998,1998138,138,26,26.0,26,04/22/1998,112,1998112,,23.1,36.3,12,11.9,74.1,13.2,157.08,216.8925,37.8,53.5,163,116,64,310,0.13 ,,,
645,1998,Q7,CEME98,Q7 CEME98,925-62387,05/18/1998,138,05/18/1998,1998138,138,26,26.0,26,04/22/1998,112,1998112,,22.9,37,11.6,12.6,76.9,14.1,177.66,223.85,39.9,59.1,158,107,57,360,0.12 ,,,
646,1998,R8,SSET98,R8 SSET98,925-62388,05/18/1998,138,05/18/1998,1998138,138,26,25.3,25,04/22/1998,112,1998112,,22.3,36.8,13,12.5,74.7,14.5,181.25,234.6,37.9,56.1,151,98,42,353,0.13 ,,,
647,1998,S9,SSET98,S9 SSET98,925-62389,05/18/1998,138,05/18/1998,1998138,138,26,26.0,26,04/22/1998,112,1998112,,22.7,37.8,12.4,12.8,75.7,15.1,193.28,238.14,37.9,60.2,167,108,59,395,0.12 ,,,
648,1998,T0,SSET98,T0 SSET98,925-62390,05/18/1998,138,05/18/1998,1998138,138,26,25.5,25,04/22/1998,112,1998112,,22.9,37.9,13.6,13.1,78.1,15,196.5,252.9825,40.2,61.2,160,102,47,390,0.12 ,,,
649,1998,U1,DBAR98,U1 DBAR98,925-62391,05/19/1998,139,05/19/1998,1998139,139,28,28.0,28,04/21/1998,111,1998111,M,24.7,39.2,14.6,14.1,83.8,14.5,204.45,281.26,44.6,62.4,185,126,71,483,0.13 ,,,
650,1998,V2,DBAR98,V2 DBAR98,925-62392,05/19/1998,139,05/19/1998,1998139,139,28,28.0,28,04/21/1998,111,1998111,F,24,35.3,12.8,13.2,79.3,11.3,149.16,229.45,44,60.7,176,122,70,415,0.12 ,,,
651,1998,W3,DBAR98,W3 DBAR98,925-62393,05/19/1998,139,05/19/1998,1998139,139,28,28.0,28,04/21/1998,111,1998111,M,25.9,40.2,12.7,13.4,85.3,14.3,191.62,262.305,45.1,64.1,180,121,67,470,0.12 ,,,
652,1998,X4,HABL98,X4 HABL98,925-62394,05/19/1998,139,05/19/1998,1998139,139,26,25.9,26,04/23/1998,113,1998113,,23.4,36.4,13.6,13.3,79.7,13,172.9,244.79,43.3,64.5,170,107,56,405,0.11 ,,,
653,1998,Y5,HABL98,Y5 HABL98,925-62395,05/19/1998,139,05/19/1998,1998139,139,26,25.4,25,04/23/1998,113,1998113,F,22.9,35.3,12.3,13.1,76.9,12.4,162.44,224.155,41.6,62.9,153,95,52,440,0.12 ,,,
654,1998,Z6,HABL98,Z6 HABL98,925-62396,05/19/1998,139,05/19/1998,1998139,139,26,25.7,26,04/23/1998,113,1998113,,22.2,34.7,12.8,12.7,74.8,12.5,158.75,221.2125,40.1,60.1,161,103,53,400,0.12 ,,,
655,1998,A2,HABL98,A2 HABL98,925-62397,05/19/1998,139,05/19/1998,1998139,139,26,26.3,26,04/23/1998,113,1998113,M,24.1,37.4,14,13.7,80.3,13.3,182.21,258.995,42.9,64.6,176,118,60,445,0.12 ,,,
656,1998,M-1,SWEG98,M-1 SWEG98,,05/19/1998,139,05/19/1998,1998139,139,24,25.7,26,04/25/1998,115,1998115,,21.6,35.3,13.6,13.5,75.1,13.7,184.95,239.1575,39.8,60.1,160,101,56,337,0.12 ,,,
657,1998,W-5,SWEG98,W-5 SWEG98,,05/19/1998,139,05/19/1998,1998139,139,24,24.8,25,04/25/1998,115,1998115,,22.4,36.3,13.8,13.8,75.5,13.9,191.82,250.47,39.2,59.4,138,82,38,357,0.12 ,,,
658,1998,B3,WINK98,B3 WINK98,925-62398,05/20/1998,140,05/20/1998,1998140,140,25,24.9,25,04/25/1998,115,1998115,,20.1,35.3,11.6,12.4,68.8,15.2,188.48,211.8,33.5,48.3,132,85,39,202,0.12 ,,,
659,1998,B-1,WINK98,B-1 WINK98,,05/20/1998,140,05/20/1998,1998140,140,25,24.3,24,04/25/1998,115,1998115,,17.4,29.3,10.4,10.7,66.1,11.9,127.33,154.5575,36.8,43.1,118,70,26,189,0.13 ,,,
660,1998,C4,NDYC98,C4 NDYC98,925-62399,05/20/1998,140,05/20/1998,1998140,140,25,25.5,26,04/25/1998,115,1998115,,22,31.3,12.1,12.4,70,9.3,115.32,191.7125,38.7,57.2,156,100,50,335,0.12 ,,,
661,1998,D5,NDYC98,D5 NDYC98,925-62400,05/20/1998,140,05/20/1998,1998140,140,25,25.5,26,04/25/1998,115,1998115,,24.5,35.3,12.6,12.3,77,10.8,132.84,219.7425,41.7,59.7,155,100,50,367,0.12 ,,,
662,1998,F7,NDYC98,F7 NDYC98,805-08901,05/20/1998,140,05/20/1998,1998140,140,25,25.1,25,04/25/1998,115,1998115,,21.6,32.6,12.8,12,71.2,11,132,202.12,38.6,57.8,147,91,45,335,0.12 ,,,
663,1998,E6,NDYC98,E6 NDYC98,805-08902,05/20/1998,140,05/20/1998,1998140,140,25,24.5,24,04/25/1998,115,1998115,,21.6,33.3,12.4,12.2,72.4,11.7,142.74,204.795,39.1,58.4,132,74,31,300,0.11 ,,,
664,1998,G8,NDYC98,G8 NDYC98,805-08903,05/20/1998,140,05/20/1998,1998140,140,25,24.3,24,04/25/1998,115,1998115,,20.4,32.3,12,12,69,11.9,142.8,193.8,36.7,55.9,120,69,24,280,0.12 ,,,
665,1998,H9,WAHA98,H9 WAHA98,805-08904,05/21/1998,141,05/21/1998,1998141,141,25,25.7,26,04/26/1998,116,1998116,,23.2,34.9,14.5,12.6,76.1,11.7,147.42,236.4475,41.2,60.2,162,104,54,350,0.12 ,,,
666,1998,I0,WAHA98,I0 WAHA98,805-08905,05/21/1998,141,05/21/1998,1998141,141,25,25.6,26,04/26/1998,116,1998116,,23.2,36.9,13.2,13.2,76.7,13.7,180.84,243.54,39.8,61.5,165,101,52,380,0.12 ,,,
667,1998,J1,WAHA98,J1 WAHA98,805-08906,05/21/1998,141,05/21/1998,1998141,141,25,25.1,25,04/26/1998,116,1998116,,22.2,35,13.1,12.6,75.6,12.8,161.28,224.875,40.6,62.4,147,90,43,380,0.12 ,,,
668,1998,K2,HANS98,K2 HANS98,805-08907,05/22/1998,142,05/22/1998,1998142,142,25,25.2,25,04/27/1998,117,1998117,,21.9,34.8,12.6,12.2,75.3,12.9,157.38,215.76,40.5,60.2,154,94,43,375,0.12 ,,,
669,1998,L3,HANS98,L3 HANS98,805-08908,05/22/1998,142,05/22/1998,1998142,142,25,24.6,25,04/27/1998,117,1998117,M,21.7,32.8,13.1,13.2,76.4,11.1,146.52,215.66,43.6,60.2,140,80,30,390,0.12 ,,,
670,1998,M4,HANS98,M4 HANS98,805-08909,05/22/1998,142,05/22/1998,1998142,142,25,24.8,25,04/27/1998,117,1998117,F,21.2,33.3,12.6,12.9,72.2,12.1,156.09,212.2875,38.9,60.6,146,85,36,387,0.12 ,,,
671,1998,N5,NEEL98,N5 NEEL98,805-08910,05/22/1998,142,05/22/1998,1998142,142,25,24.9,25,04/27/1998,117,1998117,,21.2,31.7,11.6,11.6,71.3,10.5,121.8,183.86,39.6,51.8,140,88,36,270,0.12 ,,,
672,1998,O6,NEEL98,O6 NEEL98,805-08911,05/22/1998,142,05/22/1998,1998142,142,25,25.0,25,04/27/1998,117,1998117,,21.2,32.2,11.6,12.3,72.7,11,135.3,192.395,40.5,56.3,138,86,42,335,0.12 ,,,
673,1998,P7,NEEL98,P7 NEEL98,805-08912,05/22/1998,142,05/22/1998,1998142,142,25,24.3,24,04/27/1998,117,1998117,,19.7,30.1,11.8,12.2,68.8,10.4,126.88,180.6,38.7,50.7,128,70,26,265,0.13 ,,,
674,1998,Q8,NKEN98,Q8 NKEN98,805-08913,05/22/1998,142,05/22/1998,1998142,142,25,25.9,26,04/27/1998,117,1998117,,23.5,34.4,12,12.6,78.2,10.9,137.34,211.56,43.8,62.3,167,107,57,400,0.12 ,,,
675,1998,D5,NDYC98,D5 NDYC98,925-62400,05/25/1998,145,05/25/1998,1998145,145,30,27.4,27,04/25/1998,115,1998115,,25.2,38,12.8,12.8,79.8,12.8,163.84,243.2,41.8,60.2,186,129,78,380,0.12 ,,,
676,1998,C4,NDYC98,C4 NDYC98,925-62399,05/25/1998,145,05/25/1998,1998145,145,30,27.3,27,04/25/1998,115,1998115,,23.1,33.4,11.8,12,73.1,10.3,123.6,198.73,39.7,57.1,194,128,77,345,0.12 ,,,
677,1998,E6,NDYC98,E6 NDYC98,805-08902,05/25/1998,145,05/25/1998,1998145,145,30,25.6,26,04/25/1998,115,1998115,,23.1,35.4,12.2,12,74.9,12.3,147.6,214.17,39.5,59.7,158,103,50,330,0.12 ,,,
678,1998,F7,NDYC98,F7 NDYC98,805-08901,05/25/1998,145,05/25/1998,1998145,145,30,26.9,27,04/25/1998,115,1998115,,23.2,35.1,13.3,12.2,74,11.9,145.18,223.7625,38.9,57.8,183,123,71,345,0.12 ,,,
679,1998,G8,NDYC98,G8 NDYC98,805-08903,05/25/1998,145,05/25/1998,1998145,145,30,25.4,25,04/25/1998,115,1998115,,22.2,32.6,12,12.3,73,10.4,127.92,198.045,40.4,57.4,155,99,46,295,0.12 ,,,
680,1998,T1,HOMS98,T1 HOMS98,805-08916,05/25/1998,145,05/25/1998,1998145,145,30,26.9,27,04/25/1998,115,1998115,,25.3,38.1,13,13,80.9,12.8,166.4,247.65,42.8,59.6,190,128,67,390,0.12 ,,,
681,1998,U2,HOMS98,U2 HOMS98,805-08917,05/25/1998,145,05/25/1998,1998145,145,30,26.9,27,04/25/1998,115,1998115,,22.5,35.1,11.4,12.5,77.2,12.6,157.5,209.7225,42.1,57.8,187,125,70,350,0.12 ,,,
682,1998,V3,HOMS98,V3 HOMS98,805-08918,05/25/1998,145,05/25/1998,1998145,145,30,27.6,28,04/25/1998,115,1998115,,25.3,38.4,12.4,13.8,80.1,13.1,180.78,251.52,41.7,57,193,135,78,392,0.13 ,,,
683,1998,W4,SECE98,W4 SECE98,805-08919,05/25/1998,145,05/25/1998,1998145,145,25,25.0,25,04/30/1998,120,1998120,,21.8,33.1,12.2,12.8,75.5,11.3,144.64,206.875,42.4,59.8,167,110,54,300,0.11 ,,,
684,1998,X5,SECE98,X5 SECE98,805-08920,05/25/1998,145,05/25/1998,1998145,145,25,25.0,25,04/30/1998,120,1998120,,23.4,35,11.7,12.1,76,11.6,140.36,208.25,41,56.9,179,113,53,305,0.12 ,,,
685,1998,Y6,SECE98,Y6 SECE98,805-08921,05/25/1998,145,05/25/1998,1998145,145,24,24.0,24,05/01/1998,121,1998121,,21.5,32.4,12.9,11.4,73.1,10.9,124.26,196.83,40.7,54.9,148,97,40,255,0.12 ,,,
686,1998,Z7,SECE98,Z7 SECE98,805-08922,05/25/1998,145,05/25/1998,1998145,145,24,24.0,24,05/01/1998,121,1998121,,18.4,29.6,11.9,10.6,66.5,11.2,118.72,166.5,36.9,48.6,111,63,22,180,0.12 ,,,
687,1998,A3,ROGO98,A3 ROGO98,805-08923,05/26/1998,146,05/26/1998,1998146,146,28,28.1,28,04/28/1998,118,1998118,,24.6,37.3,12.7,14.3,81.2,12.7,181.61,251.775,43.9,58.9,195,135,89,400,0.13 ,,,
688,1998,B4,ROGO98,B4 ROGO98,805-08924,05/26/1998,146,05/26/1998,1998146,146,28,29.0,29,04/28/1998,118,1998118,F,24.4,36.3,12.5,13.6,80.3,11.9,161.84,236.8575,44,57.1,204,150,95,425,0.13 ,,,
689,1998,C5,ROWA98,C5 ROWA98,805-08925,05/26/1998,146,05/26/1998,1998146,146,28,26.8,27,04/28/1998,118,1998118,,24,37,12.4,12.8,78.3,13,166.4,233.1,41.3,59.6,176,119,72,355,0.12 ,,,
690,1998,D6,ROWA98,D6 ROWA98,805-08926,05/26/1998,146,05/26/1998,1998146,146,28,26.7,27,04/28/1998,118,1998118,,24.5,38.9,13.3,14.3,79,14.4,205.92,268.41,40.1,59.7,177,121,68,425,0.13 ,,,
691,1998,E7,ROWA98,E7 ROWA98,805-08927,05/26/1998,146,05/26/1998,1998146,146,28,26.8,27,04/28/1998,118,1998118,,23.2,36.3,12.2,13,76.6,13.1,170.3,228.69,40.3,60.7,181,122,70,400,0.12 ,,,
692,1998,F8,ROWA98,F8 ROWA98,805-08928,05/26/1998,146,05/26/1998,1998146,146,28,25.4,25,04/28/1998,118,1998118,,21.1,33.5,12.6,12.8,73.4,12.4,158.72,212.725,39.9,58.2,156,99,47,360,0.12 ,,,
693,1998,G9,DOGS98,G9 DOGS98,805-08929,05/26/1998,146,05/26/1998,1998146,146,28,26.5,27,04/28/1998,118,1998118,,24.5,36.2,14.2,13.8,80.4,11.7,161.46,253.4,44.2,61.2,174,116,68,440,0.12 ,,,
694,1998,H0,DOGS98,H0 DOGS98,805-08930,05/26/1998,146,05/26/1998,1998146,146,28,26.4,26,04/28/1998,118,1998118,,22.8,35,13.6,13.5,76.8,12.2,164.7,237.125,41.8,61.3,174,117,63,450,0.13 ,,,
695,1998,I1,DOGS98,I1 DOGS98,805-08931,05/26/1998,146,05/26/1998,1998146,146,28,27.0,27,04/28/1998,118,1998118,,24.9,37.9,12.7,13.6,82.8,13,176.8,249.1925,44.9,62.2,190,122,74,450,0.12 ,,,
696,1998,J2,DOGS98,J2 DOGS98,805-08932,05/26/1998,146,05/26/1998,1998146,146,28,26.9,27,04/28/1998,118,1998118,,22.5,33,13.5,13.1,77.2,10.5,137.55,219.45,44.2,62,178,123,70,425,0.12 ,,,
697,1998,K3,DOGS98,K3 DOGS98,805-08933,05/26/1998,146,05/26/1998,1998146,146,28,25.4,25,04/28/1998,118,1998118,,21.4,32.4,13.4,13,73.2,11,143,213.84,40.8,57.8,157,100,45,395,0.13 ,,,
698,1998,O7,CUPL98,O7 CUPL98,805-08937,05/27/1998,147,05/27/1998,1998147,147,27,25.9,26,04/30/1998,120,1998120,,20.6,32.2,12.4,12.1,73.8,11.6,140.36,197.225,41.6,59,168,111,54,380,0.12 ,,,
699,1998,P8,CUPL98,P8 CUPL98,805-08938,05/27/1998,147,05/27/1998,1998147,147,27,24.9,25,04/30/1998,120,1998120,,20.4,31.2,12.2,11.5,73.3,10.8,124.2,184.86,42.1,60.7,145,90,34,350,0.12 ,,,
700,1998,Q9,CUPL98,Q9 CUPL98,805-08939,05/27/1998,147,05/27/1998,1998147,147,27,26.9,27,04/30/1998,120,1998120,,22.8,34.3,11.8,12.1,77.4,11.5,139.15,204.9425,43.1,59.7,185,128,67,380,0.12 ,,,
701,1998,R0,CUPL98,R0 CUPL98,805-08940,05/27/1998,147,05/27/1998,1998147,147,27,26.5,27,04/30/1998,120,1998120,M,22.1,34.5,12.3,13.1,77.2,12.4,162.44,219.075,42.7,59.9,181,118,65,385,0.12 ,,,
702,1998,U3,CCLI98,U3 CCLI98,805-08943,05/28/1998,148,05/28/1998,1998148,148,28,25.3,25,04/30/1998,120,1998120,F,21.3,32.6,12.5,11.9,71.2,11.3,134.47,198.86,38.6,57.1,149,99,44,320,0.12 ,,,
703,1998,V4,CCLI98,V4 CCLI98,805-08944,05/28/1998,148,05/28/1998,1998148,148,28,25.2,25,04/30/1998,120,1998120,M,22.4,33.7,13.8,12.8,76.6,11.3,144.64,224.105,42.9,58.4,152,96,42,325,0.12 ,,,
704,1999,X6,ROBT99,X6 ROBT99,545-64982,05/17/1999,137,05/17/1999,1999137,137,28,26.4,26,04/19/1999,109,1999109,,23,35.6,13.3,12.9,77.4,12.6,162.54,233.18,41.8,58.7,176,122,59,370,0.12 ,,,
705,1999,Y7,ROBT99,Y7 ROBT99,545-64983,05/17/1999,137,05/17/1999,1999137,137,28,26.2,26,04/19/1999,109,1999109,,22.3,35.7,13.7,13,76.8,13.4,174.2,238.2975,41.1,57.4,167,113,60,345,0.12 ,,,
706,1999,Z8,ROBT99,Z8 ROBT99,545-64984,05/17/1999,137,05/17/1999,1999137,137,28,25.5,26,04/19/1999,109,1999109,,20.7,32.5,13,12.1,74.1,11.8,142.78,203.9375,41.6,54.5,160,102,48,330,0.13 ,,,
707,1999,A4,MNDY99,A4 MNDY99,805-08952,05/17/1999,137,05/17/1999,1999137,137,28,26.7,27,04/19/1999,109,1999109,M,23.8,35.3,14.3,13,79.7,11.5,149.5,240.9225,44.4,60.8,177,120,69,397,0.12 ,,,
708,1999,B5,MNDY99,B5 MNDY99,805-08953,05/17/1999,137,05/17/1999,1999137,137,28,26.9,27,04/19/1999,109,1999109,F,19.3,33.3,11.1,11.4,75.7,14,159.6,187.3125,42.4,58.6,177,118,75,350,0.12 ,,,
709,1999,C6,MNDY99,C6 MNDY99,805-08954,05/17/1999,137,05/17/1999,1999137,137,28,26.7,27,04/19/1999,109,1999109,M,24.1,39,13.1,13.1,80.4,14.9,195.19,255.45,41.4,60.4,163,116,73,380,0.12 ,,,
710,1999,D7,MNDY99,D7 MNDY99,805-08955,05/17/1999,137,05/17/1999,1999137,137,28,27.1,27,04/19/1999,109,1999109,M,23.5,35.5,13.2,12.5,79,12,150,228.0875,43.5,61.2,174,122,78,400,0.12 ,,,
711,1999,E8,KNOL99,E8 KNOL99,805-08947,05/18/1999,138,05/18/1999,1999138,138,29,26.4,26,04/19/1999,109,1999109,,23.3,37.2,14.3,12.8,81.1,13.9,177.92,252.03,43.9,62.7,172,118,63,420,0.12 ,,,
712,1999,F9,KNOL99,F9 KNOL99,805-08948,05/18/1999,138,05/18/1999,1999138,138,29,26.9,27,04/19/1999,109,1999109,M,25.8,39.5,14.2,13.3,84.4,13.7,182.21,271.5625,44.9,64,183,126,68,460,0.12 ,,,
713,1999,G0,KNOL99,G0 KNOL99,805-08949,05/18/1999,138,05/18/1999,1999138,138,29,25.4,25,04/19/1999,109,1999109,F,21,33.5,13.2,12.6,73.4,12.5,157.5,216.075,39.9,57.1,152,97,50,335,0.12 ,,,
714,1999,I2,KNOL99,I2 KNOL99,805-08950,05/18/1999,138,05/18/1999,1999138,138,29,26.4,26,04/19/1999,109,1999109,F,22.8,35.9,13.3,12,77,13.1,157.2,227.0675,41.1,59,177,117,63,380,0.12 ,,,
715,1999,H1,KNOL99,H1 KNOL99,805-08951,05/18/1999,138,05/18/1999,1999138,138,29,26.5,26,04/19/1999,109,1999109,F,24,36.8,13.7,13.6,78.4,12.8,174.08,251.16,41.6,59.1,169,117,65,415,0.13 ,,,
716,1999,J3,STAD99,J3 STAD99,805-08956,05/18/1999,138,05/18/1999,1999138,138,27,27.0,27,04/21/1999,111,1999111,,21,33.6,12.1,12.7,72.7,12.6,160.02,208.32,39.1,57.4,168,118,53,315,0.12 ,,,
717,1999,K4,STAD99,K4 STAD99,805-08957,05/18/1999,138,05/18/1999,1999138,138,27,27.0,27,04/21/1999,111,1999111,,19.3,33.2,12.4,12.1,71,13.9,168.19,203.35,37.8,52.3,137,86,25,245,0.12 ,,,
718,1999,L5,STAD99,L5 STAD99,805-08958,05/18/1999,138,05/18/1999,1999138,138,26,26.0,26,04/22/1999,112,1999112,,19.6,32.3,12.3,12.1,69.8,12.7,153.67,197.03,37.5,53.1,137,86,31,205,0.11 ,,,
719,1999,M6,HAPA99,M6 HAPA99,805-08959,05/18/1999,138,05/18/1999,1999138,138,28,26.3,26,04/20/1999,110,1999110,M,23.6,36.3,12.6,12.8,78.8,12.7,162.56,230.505,42.5,62.4,172,117,60,375,0.12 ,,,
