yearMonth,day,Mean,Max,Min,Stdev,Range,Year,Month,obs
1994_3,27,2.244444444,4.4,-0.6,1.662819088,5,1994,3,395
1994_3,28,2.929411765,4.4,1.1,1.155294717,3.3,1994,3,396
1994_3,29,3.364705882,8.8,0,3.035197929,8.8,1994,3,397
1994_3,30,3.076923077,5.5,1.1,1.64172361,4.4,1994,3,398
1994_3,31,3.807142857,10.5,-2.8,4.102244092,13.3,1994,3,399
1994_4,1,6.811764706,12.7,-1.2,4.43084111,13.9,1994,4,400
1994_4,2,8.706666667,16.6,0,6.140668492,16.6,1994,4,401
1994_4,3,5.714285714,13.3,0.5,4.789388453,12.8,1994,4,402
1994_4,4,3.623529412,10.5,-0.6,4.785594191,11.1,1994,4,403
1994_4,5,8.75,13.8,4.4,3.582843104,9.4,1994,4,404
1994_4,6,4.216666667,13.3,0,4.351504135,13.3,1994,4,405
1994_4,7,0.011764706,1.6,-1.2,1.058821487,2.8,1994,4,406
1994_4,8,1.729411765,8.3,-3.9,4.011976556,12.2,1994,4,407
1994_4,9,8.072222222,12.7,1.1,3.962887473,11.6,1994,4,408
1994_4,10,9.49375,12.7,7.7,1.616361655,5,1994,4,409
1994_4,11,6.31875,10,-0.6,3.31666876,10.6,1994,4,410
1994_4,12,5.688235294,7.2,3.8,1.063533235,3.4,1994,4,411
1994_4,13,9.63125,13.8,5.5,2.930009954,8.3,1994,4,412
1994_4,14,11.75882353,16.6,7.2,3.6641948,9.4,1994,4,413
1994_4,15,16.56923077,27.7,5.5,7.908158721,22.2,1994,4,414
1994_4,16,13.1,23.8,7.2,5.487311567,16.6,1994,4,415
1994_4,17,6.652941176,10,1.6,2.72009137,8.4,1994,4,416
1994_4,18,9.041176471,15.5,2.2,4.398161381,13.3,1994,4,417
1994_4,19,14.71764706,18.3,11.6,1.826278762,6.7,1994,4,418
1994_4,20,7.727777778,12.7,2.7,2.652369763,10,1994,4,419
1994_4,21,5.26875,8.3,1.1,2.441234319,7.2,1994,4,420
1994_4,22,4.917647059,9.4,-1.2,3.480882664,10.6,1994,4,421
1994_4,23,8.138888889,16.1,-2.3,6.380497758,18.4,1994,4,422
1994_4,24,15.97857143,24.4,2.2,6.559101553,22.2,1994,4,423
1994_4,25,17.66666667,22.2,14.4,2.436820723,7.8,1994,4,424
1994_4,26,21.68888889,28.3,15,5.414782478,13.3,1994,4,425
1994_4,27,22.04705882,26.6,16.6,3.333938671,10,1994,4,426
1994_4,28,8.105882353,20,3.3,5.113153453,16.7,1994,4,427
1994_4,29,12.78235294,20.5,5,5.563186508,15.5,1994,4,428
1994_4,30,10.15714286,18.3,5.5,4.292518408,12.8,1994,4,429
1994_5,1,10.44375,15,6.6,2.5724097,8.4,1994,5,430
1994_5,2,7.153333333,10,2.7,2.797158422,7.3,1994,5,431
1994_5,3,9.033333333,16.1,-1.2,5.680824298,17.3,1994,5,432
1994_5,4,13.39375,19.4,6.6,4.463252738,12.8,1994,5,433
1994_5,5,13.63125,18.8,5,4.687958866,13.8,1994,5,434
1994_5,6,8.308333333,14.4,5,2.947250902,9.4,1994,5,435
1994_5,7,11.62777778,18.3,7.2,4.364132628,11.1,1994,5,436
1994_5,8,10.07058824,13.3,8.8,1.033056573,4.5,1994,5,437
1994_5,9,12.88823529,18.3,3.8,4.449140697,14.5,1994,5,438
1994_5,10,9.688235294,12.7,3.8,2.643833002,8.9,1994,5,439
1994_5,11,11.39285714,17.2,0,6.18987564,17.2,1994,5,440
1994_5,12,10.475,17.2,7.2,3.73728957,10,1994,5,441
1994_5,13,7.76875,11.6,2.2,3.02890932,9.4,1994,5,442
1994_5,14,11.45882353,19.4,0,6.223248631,19.4,1994,5,443
1994_5,15,13.35333333,17.2,6.6,3.063347065,10.6,1994,5,444
1994_5,16,13.08823529,17.2,8.3,2.326446419,8.9,1994,5,445
1994_5,17,6.725,8.8,5.5,0.787824007,3.3,1994,5,446
1994_5,18,6.342857143,8.8,4.4,1.483091514,4.4,1994,5,447
1994_5,19,8.652941176,12.2,6.6,1.774865364,5.6,1994,5,448
1994_5,20,12.24375,20,1.6,6.16624886,18.4,1994,5,449
1994_5,21,16.35,23.8,3.8,6.609084657,20,1994,5,450
1994_5,22,20.5,27.7,8.8,6.505587342,18.9,1994,5,451
1994_5,23,21.1,26.6,12.2,4.390757338,14.4,1994,5,452
1994_5,24,18.31875,21.6,11.1,3.809500186,10.5,1994,5,453
1994_5,25,17.54705882,20,15.5,1.711036837,4.5,1994,5,454
1994_5,26,16.65882353,21.1,7.7,3.36360276,13.4,1994,5,455
1994_5,27,7.733333333,12.7,3.3,3.571949542,9.4,1994,5,456
1994_5,28,11.35625,17.2,2.2,4.962656379,15,1994,5,457
1994_5,29,18.08125,25,8.8,6.1541551,16.2,1994,5,458
1994_5,30,22.53529412,28.8,14.4,5.125541578,14.4,1994,5,459
1994_5,31,24.59411765,29.4,18.3,3.839672933,11.1,1994,5,460
1995_3,1,-2.146153846,-0.6,-3.9,1.075186329,3.3,1995,3,461
1995_3,2,-5.326666667,-2.8,-7.8,1.418986895,5,1995,3,462
1995_3,3,-5.446666667,1.1,-13.9,5.43597365,15,1995,3,463
1995_3,4,0.023529412,4.4,-4.5,3.595053792,8.9,1995,3,464
1995_3,5,2.34,4.4,-1.2,2.29550285,5.6,1995,3,465
1995_3,6,5.43125,8.8,2.7,2.063239766,6.1,1995,3,466
1995_3,7,7.646153846,11.1,2.7,2.949467575,8.4,1995,3,467
1995_3,8,3.852941176,14.4,-3.9,6.141469454,18.3,1995,3,468
1995_3,9,-7.933333333,-5,-9.5,1.464663134,4.5,1995,3,469
1995_3,10,-7.806666667,-3.4,-12.8,2.952109819,9.4,1995,3,470
1995_3,11,0.06,4.4,-4.5,4.209275472,8.9,1995,3,471
1995_3,12,9.966666667,12.2,5.5,3.868246804,6.7,1995,3,472
1995_3,13,16.43333333,19.4,11.6,4.221768982,7.8,1995,3,473
1995_3,14,14.17692308,18.3,5.5,4.59930318,12.8,1995,3,474
1995_3,15,11.79333333,18.8,0.5,6.170721961,18.3,1995,3,475
1995_3,16,11.09375,16.1,2.7,4.387021579,13.4,1995,3,476
1995_3,17,5.805882353,11.6,1.6,2.656000421,10,1995,3,477
1995_3,18,0.792857143,3.3,-1.2,1.522884048,4.5,1995,3,478
1995_3,19,5.286666667,11.6,-2.8,5.42492484,14.4,1995,3,479
1995_3,20,9.1,12.7,5,2.49914271,7.7,1995,3,480
1995_3,21,8.5625,10,7.2,0.906917857,2.8,1995,3,481
1995_3,22,3.241176471,5.5,1.6,1.011841652,3.9,1995,3,482
1995_3,23,1.917647059,2.7,1.1,0.549130328,1.6,1995,3,483
1995_3,24,0.69375,2.2,-2.3,1.255637288,4.5,1995,3,484
1995_3,25,2.653333333,7.2,-2.3,3.633350808,9.5,1995,3,485
1995_3,26,4.661538462,10,-1.2,3.441786954,11.2,1995,3,486
1995_3,27,3.807142857,8.8,-2.3,4.145333667,11.1,1995,3,487
1995_3,28,5.51875,10.5,-2.8,4.417422891,13.3,1995,3,488
1995_3,29,8.085714286,14.4,-4.5,5.89574255,18.9,1995,3,489
1995_3,30,6.14,10,4.4,1.453960109,5.6,1995,3,490
1995_3,31,3.38,5,1.6,1.007259365,3.4,1995,3,491
1995_4,1,1.305882353,4.4,-2.8,2.104005284,7.2,1995,4,492
1995_4,2,1.927777778,7.7,-4.5,4.671793402,12.2,1995,4,493
1995_4,3,5.223529412,13.8,-5.6,6.116629935,19.4,1995,4,494
1995_4,4,5.166666667,11.6,-3.9,5.018062612,15.5,1995,4,495
1995_4,5,-5.4875,-2.8,-8.9,2.114355694,6.1,1995,4,496
1995_4,6,-0.98125,6.1,-6.2,4.161445062,12.3,1995,4,497
1995_4,7,1.106666667,5,-1.7,2.654232918,6.7,1995,4,498
1995_4,8,0.476470588,3.8,-3.4,2.481060613,7.2,1995,4,499
1995_4,9,2.51875,3.8,0.5,1.265553239,3.3,1995,4,500
1995_4,10,-1.95,1.6,-8.9,3.38270109,10.5,1995,4,501
1995_4,11,7.141666667,16.1,-1.7,6.923144101,17.8,1995,4,502
1995_4,12,11.45294118,13.8,8.8,1.667752098,5,1995,4,503
1995_4,13,8.023529412,16.6,5.5,2.695025374,11.1,1995,4,504
1995_4,14,3.30625,5.5,2.2,0.875190455,3.3,1995,4,505
1995_4,15,2.742857143,6.6,0,2.148600362,6.6,1995,4,506
1995_4,16,5.61875,11.1,-4.5,4.31311469,15.6,1995,4,507
1995_4,17,7.18125,13.8,-3.9,5.740640934,17.7,1995,4,508
1995_4,18,10.16875,18.3,-1.2,6.926251391,19.5,1995,4,509
1995_4,19,15.75,20.5,12.2,2.790698837,8.3,1995,4,510
1995_4,20,7.784615385,12.7,5,2.668284765,7.7,1995,4,511
1995_4,21,12.89230769,15.5,11.1,1.471655269,4.4,1995,4,512
1995_4,22,8.60625,13.3,6.1,2.089168495,7.2,1995,4,513
1995_4,23,6.14375,9.4,2.2,2.171318724,7.2,1995,4,514
1995_4,24,6.111764706,10.5,-0.6,3.603450144,11.1,1995,4,515
1995_4,25,9.29375,16.1,-2.8,6.667580146,18.9,1995,4,516
1995_4,26,10.0875,13.8,6.1,2.854207421,7.7,1995,4,517
1995_4,27,16.23529412,23.8,8.3,5.649772249,15.5,1995,4,518
1995_4,28,12.175,20,7.7,3.483197765,12.3,1995,4,519
1995_4,29,11.36,14.4,7.2,2.313253738,7.2,1995,4,520
1995_4,30,7.728571429,10.5,2.7,2.95449617,7.8,1995,4,521
1995_5,1,9.078571429,13.3,3.3,3.454134328,10,1995,5,522
1995_5,2,11.38571429,20.5,4.4,4.390874653,16.1,1995,5,523
1995_5,3,12.42666667,17.2,6.1,4.126476648,11.1,1995,5,524
1995_5,4,12.99411765,18.3,1.6,5.681930854,16.7,1995,5,525
1995_5,5,13.52857143,17.7,8.8,3.432296511,8.9,1995,5,526
1995_5,6,11.9625,17.2,8.8,2.374271818,8.4,1995,5,527
1995_5,7,9.575,12.7,0.5,3.972656542,12.2,1995,5,528
1995_5,8,8.429411765,17.7,0.5,4.331391911,17.2,1995,5,529
1995_5,9,12.29375,18.3,1.6,5.91444207,16.7,1995,5,530
1995_5,10,13.22352941,17.2,10.5,2.08162479,6.7,1995,5,531
1995_5,11,12.51176471,16.6,10,1.993703323,6.6,1995,5,532
1995_5,12,14.7875,20.5,11.1,2.959701562,9.4,1995,5,533
1995_5,13,15.69375,21.1,10.5,4.044167611,10.6,1995,5,534
1995_5,14,14.09411765,18.8,11.6,1.809858623,7.2,1995,5,535
1995_5,15,14.0875,18.3,11.1,2.663299958,7.2,1995,5,536
1995_5,16,15.91764706,22.2,3.8,5.811436493,18.4,1995,5,537
1995_5,17,17.02,19.4,15,1.25766223,4.4,1995,5,538
1995_5,18,12.34117647,18.3,8.3,3.173534863,10,1995,5,539
1995_5,19,12.85625,18.3,8.8,3.581613929,9.5,1995,5,540
1995_5,20,14.83529412,20,5,4.490119873,15,1995,5,541
1995_5,21,19.125,24.4,12.7,3.862037459,11.7,1995,5,542
1995_5,22,14.78125,18.8,5.5,3.870954878,13.3,1995,5,543
1995_5,23,17.52,25,4.4,6.779717651,20.6,1995,5,544
1995_5,24,19.17058824,24.4,12.7,3.33405997,11.7,1995,5,545
1995_5,25,14.37647059,20,10,3.23255499,10,1995,5,546
1995_5,26,16.35882353,21.1,11.6,3.529882934,9.5,1995,5,547
1995_5,27,16.175,21.1,5.5,5.05074252,15.6,1995,5,548
1995_5,28,14.60625,18.3,11.6,2.251952856,6.7,1995,5,549
1995_5,29,17.76666667,23.8,11.1,4.283484014,12.7,1995,5,550
1995_5,30,16.33529412,21.1,12.2,3.399989187,8.9,1995,5,551
1995_5,31,20.87142857,27.2,8.3,6.298648032,18.9,1995,5,552
1996_3,1,-4.329411765,1.1,-8.9,3.758451261,10,1996,3,553
1996_3,2,0.582352941,5,-2.8,3.145678642,7.8,1996,3,554
1996_3,3,-5.753333333,0.5,-9.5,2.90415138,10,1996,3,555
1996_3,4,-6.166666667,-1.7,-10,3.021491646,8.3,1996,3,556
1996_3,5,-0.171428571,3.8,-5.6,3.228104605,9.4,1996,3,557
1996_3,6,-3.3,0.5,-5.6,2.320632098,6.1,1996,3,558
1996_3,7,-9.747058824,-5.6,-12.3,1.806625877,6.7,1996,3,559
1996_3,8,-10.92777778,-10,-11.7,0.729871508,1.7,1996,3,560
1996_3,9,-11.25882353,-8.4,-14.5,2.186909584,6.1,1996,3,561
1996_3,10,-4.346666667,1.1,-15.6,5.557731637,16.7,1996,3,562
1996_3,11,-3.875,5,-13.9,6.751851598,18.9,1996,3,563
1996_3,12,0.90625,6.6,-10,5.746705578,16.6,1996,3,564
1996_3,13,4.153333333,16.6,-7.8,8.237966693,24.4,1996,3,565
1996_3,14,8.41875,15,1.1,4.873221898,13.9,1996,3,566
1996_3,15,5.106666667,11.1,2.7,2.43470933,8.4,1996,3,567
1996_3,16,-1.622222222,1.6,-5,2.034859601,6.6,1996,3,568
1996_3,17,0.68125,8.3,-8.4,5.994466198,16.7,1996,3,569
1996_3,18,7.005882353,17.7,1.6,5.000808758,16.1,1996,3,570
1996_3,19,7.546666667,14.4,-1.2,5.143493347,15.6,1996,3,571
1996_3,20,5.053333333,9.4,3.3,2.165596805,6.1,1996,3,572
1996_3,21,0.576470588,2.2,-1.2,0.899673143,3.4,1996,3,573
1996_3,22,-2.81875,-1.2,-5.6,1.218862174,4.4,1996,3,574
1996_3,23,-3.23125,-0.6,-5,1.268972682,4.4,1996,3,575
1996_3,24,1.266666667,6.6,-3.9,3.521498599,10.5,1996,3,576
1996_3,25,11.68125,18.3,3.8,5.391378148,14.5,1996,3,577
1996_3,26,4.575,15,-1.2,5.407463977,16.2,1996,3,578
1996_3,27,-4.6,-1.2,-10,2.582150267,8.8,1996,3,579
1996_3,28,-1.526666667,6.1,-7.3,4.662382387,13.4,1996,3,580
1996_3,29,3.241666667,6.1,-0.6,2.099981962,6.7,1996,3,581
1996_3,30,5.863157895,10.5,1.6,3.467181136,8.9,1996,3,582
1996_3,31,10.24117647,18.3,-2.3,7.480980787,20.6,1996,3,583
1996_4,1,5.570588235,13.3,0.5,3.549958575,12.8,1996,4,584
1996_4,2,1.588235294,5,-1.2,2.389006685,6.2,1996,4,585
1996_4,3,1.04375,4.4,-1.7,1.732808414,6.1,1996,4,586
1996_4,4,-0.121428571,1.1,-1.2,0.766790084,2.3,1996,4,587
1996_4,5,1.223529412,3.8,-1.2,1.806768321,5,1996,4,588
1996_4,6,1.81875,7.7,-3.9,3.771687288,11.6,1996,4,589
1996_4,7,0.488235294,4.4,-1.2,1.357333025,5.6,1996,4,590
1996_4,8,-0.306666667,3.8,-5.6,3.091570721,9.4,1996,4,591
1996_4,9,1.071428571,5.5,-5.6,4.49417205,11.1,1996,4,592
1996_4,10,1.526666667,3.8,-2.3,1.953921576,6.1,1996,4,593
1996_4,11,7.03125,12.7,1.1,4.327542605,11.6,1996,4,594
1996_4,12,8.8375,14.4,5,2.717075634,9.4,1996,4,595
1996_4,13,6.306666667,8.3,4.4,1.515381454,3.9,1996,4,596
1996_4,14,3.3125,7.7,1.1,2.159591011,6.6,1996,4,597
1996_4,15,6.982352941,14.4,-1.7,5.577772326,16.1,1996,4,598
1996_4,16,5.375,7.7,3.3,1.49644022,4.4,1996,4,599
1996_4,17,2.546666667,6.6,0.5,1.81614453,6.1,1996,4,600
1996_4,18,9.033333333,18.3,-1.2,6.640639671,19.5,1996,4,601
1996_4,19,16.16875,22.2,11.6,3.61196507,10.6,1996,4,602
1996_4,20,17.775,21.1,15,2.382295811,6.1,1996,4,603
1996_4,21,16.74,19.4,12.2,2.369086623,7.2,1996,4,604
1996_4,22,17.46666667,26.1,4.4,7.1437344,21.7,1996,4,605
1996_4,23,12.72666667,23.8,7.7,4.030325522,16.1,1996,4,606
1996_4,24,5.773333333,10,0.5,3.419161691,9.5,1996,4,607
1996_4,25,11.43125,18.8,5.5,4.76105293,13.3,1996,4,608
1996_4,26,13.89411765,18.8,11.6,2.285681132,7.2,1996,4,609
1996_4,27,5.535294118,10.5,0.5,3.055720287,10,1996,4,610
1996_4,28,8.326666667,13.3,-1.2,4.69718254,14.5,1996,4,611
1996_4,29,8.7375,10.5,6.6,1.255852964,3.9,1996,4,612
1996_4,30,13.47333333,18.8,8.8,3.497645467,10,1996,4,613
1996_5,1,10.76666667,14.4,4.4,3.485001879,10,1996,5,614
1996_5,2,11.55625,16.1,6.6,3.065065252,9.5,1996,5,615
1996_5,3,11.49411765,16.6,4.4,2.988408981,12.2,1996,5,616
1996_5,4,9.89375,11.6,6.6,1.46763699,5,1996,5,617
1996_5,5,10.97058824,15.5,5,2.983237483,10.5,1996,5,618
1996_5,6,7.686666667,10.5,5.5,1.661697354,5,1996,5,619
1996_5,7,9.46875,15,-0.6,4.843651343,15.6,1996,5,620
1996_5,8,11.68235294,17.7,7.2,4.057282849,10.5,1996,5,621
1996_5,9,13.2,16.6,11.1,1.772407564,5.5,1996,5,622
1996_5,10,17.62941176,26.6,11.6,5.646875763,15,1996,5,623
1996_5,11,10.40625,18.3,5.5,4.454880283,12.8,1996,5,624
1996_5,12,4.3,7.2,-1.2,2.607954864,8.4,1996,5,625
1996_5,13,6.394117647,8.8,2.2,2.14926458,6.6,1996,5,626
1996_5,14,9.729411765,15,-1.7,5.382931904,16.7,1996,5,627
1996_5,15,14.49375,19.4,1.6,5.107310936,17.8,1996,5,628
1996_5,16,11.37647059,16.6,8.8,2.462856424,7.8,1996,5,629
1996_5,17,15.26,23.8,9.4,4.734795214,14.4,1996,5,630
1996_5,18,23.74705882,31.1,16.6,5.607039955,14.5,1996,5,631
1996_5,19,27.80666667,33.8,20,4.86715914,13.8,1996,5,632
1996_5,20,29.17058824,33.8,23.8,2.812864355,10,1996,5,633
1996_5,21,19.5125,28.3,14.4,3.789437073,13.9,1996,5,634
1996_5,22,16.5,21.1,8.3,3.939393802,12.8,1996,5,635
1996_5,23,17.17647059,23.3,7.2,4.933498937,16.1,1996,5,636
1996_5,24,12.90625,16.1,10,1.751749126,6.1,1996,5,637
1996_5,25,11.36470588,16.1,1.6,4.461213565,14.5,1996,5,638
1996_5,26,14.06470588,18.3,6.1,4.410207078,12.2,1996,5,639
1996_5,27,15.8875,20,10,3.190585108,10,1996,5,640
1996_5,28,13.4,16.1,11.1,1.64046064,5,1996,5,641
1996_5,29,11.87142857,14.4,10,1.602127706,4.4,1996,5,642
1996_5,30,11.79411765,15.5,4.4,3.712726523,11.1,1996,5,643
1996_5,31,15.80588235,22.2,2.7,6.394379425,19.5,1996,5,644
1997_3,1,4.6,8,-1,3.157756889,9,1997,3,645
1997_3,2,8.2,12,2,3.088177797,10,1997,3,646
1997_3,3,0.8125,2,-2,1.515200757,4,1997,3,647
1997_3,4,1.411764706,3,-1,1.502448981,4,1997,3,648
1997_3,5,4.75,7,2,1.843908891,5,1997,3,649
1997_3,6,0,4,-2,2.12916259,6,1997,3,650
1997_3,7,-3.411764706,-1,-6,1.804813825,5,1997,3,651
1997_3,8,-1.529411765,1,-7,2.374806494,8,1997,3,652
1997_3,9,-2.888888889,2,-14,5.189229671,16,1997,3,653
1997_3,10,4.5,8,1,2.315952582,7,1997,3,654
1997_3,11,1.75,4,-1,1.341640786,5,1997,3,655
1997_3,12,-1.411764706,1,-4,1.543487266,5,1997,3,656
1997_3,13,-3.5,-2,-9,1.951330907,7,1997,3,657
1997_3,14,-0.3125,5,-5,3.477906458,10,1997,3,658
1997_3,15,-1.722222222,5,-5,3.268486888,10,1997,3,659
1997_3,16,-5.941176471,-4,-8,1.29762226,4,1997,3,660
1997_3,17,-0.529411765,6,-7,4.963839832,13,1997,3,661
1997_3,18,0.266666667,6,-3,3.034719725,9,1997,3,662
1997_3,19,0.6,6,-9,4.762952266,15,1997,3,663
1997_3,20,-0.272727273,3,-2,1.555050423,5,1997,3,664
1997_3,21,1.1,6,-4,2.643650675,10,1997,3,665
1997_3,22,0.235294118,7,-3,2.990180006,10,1997,3,666
1997_3,23,-4,-2,-7,1.568929081,5,1997,3,667
1997_3,24,-1.764705882,3,-8,3.816566057,11,1997,3,668
1997_3,25,2.4375,8,-4,3.501785259,12,1997,3,669
1997_3,26,3.6875,8,2,2.330057224,6,1997,3,670
1997_3,27,11.46666667,18,2,5.962581735,16,1997,3,671
1997_3,28,14.4,22,-4,7.500476175,26,1997,3,672
1997_3,29,13.4375,16,12,1.093541647,4,1997,3,673
1997_3,30,8,13,5,2.121320344,8,1997,3,674
1997_3,31,-0.866666667,7,-3,3.335237551,10,1997,3,675
1997_4,1,0.166666667,4,-3,2.617812288,7,1997,4,676
1997_4,2,5.071428571,11,-2,4.581976156,13,1997,4,677
1997_4,3,9.8,18,-2,7.802929853,20,1997,4,678
1997_4,4,10.53333333,14,5,3.159264532,9,1997,4,679
1997_4,5,12.75,18,4,5.105552533,14,1997,4,680
1997_4,6,16.76923077,23,10,5.182564458,13,1997,4,681
1997_4,7,9.588235294,18,4,3.72590297,14,1997,4,682
1997_4,8,2,4,-1,1.505545305,5,1997,4,683
1997_4,9,-4.166666667,0,-8,2.549509757,8,1997,4,684
1997_4,10,-0.266666667,4,-6,3.348062695,10,1997,4,685
1997_4,11,3,7,-3,3.674234614,10,1997,4,686
1997_4,12,5.375,8,2,1.995828984,6,1997,4,687
1997_4,13,6.533333333,11,3,2.166849809,8,1997,4,688
1997_4,14,4.0625,7,0,2.792101956,7,1997,4,689
1997_4,15,7.5625,14,-5,5.75,19,1997,4,690
1997_4,16,10.26315789,18,-1,7.038324495,19,1997,4,691
1997_4,17,4.764705882,11,3,2.437452865,8,1997,4,692
1997_4,18,1.333333333,4,0,1.188177052,4,1997,4,693
1997_4,19,1.4375,2,1,0.512347538,1,1997,4,694
1997_4,20,3.375,6,1,1.5,5,1997,4,695
1997_4,21,8.066666667,13,1,4.620863659,12,1997,4,696
1997_4,22,10.14285714,16,1,5.545020536,15,1997,4,697
1997_4,23,11.5,16,3,4.320493799,13,1997,4,698
1997_4,24,10.11764706,14,6,2.955553098,8,1997,4,699
1997_4,25,9.4,15,0,4.717747647,15,1997,4,700
1997_4,26,11.35714286,16,4,3.794877982,12,1997,4,701
1997_4,27,12.1875,19,1,6.482990565,18,1997,4,702
1997_4,28,9.625,14,7,1.962141687,7,1997,4,703
1997_4,29,11.64285714,17,3,4.970793821,14,1997,4,704
1997_4,30,17.93333333,25,4,6.605913657,21,1997,4,705
1997_5,1,16.58823529,22,10,3.373774287,12,1997,5,706
1997_5,2,9.294117647,14,4,3.331004088,10,1997,5,707
1997_5,3,12.5,17,9,2.529822128,8,1997,5,708
1997_5,4,9.5,13,4,3.245509719,9,1997,5,709
1997_5,5,12.42857143,18,-1,6.357482396,19,1997,5,710
1997_5,6,10.4375,16,7,2.804014979,9,1997,5,711
1997_5,7,6.764705882,9,1,2.488207481,8,1997,5,712
1997_5,8,10.3125,16,-3,5.963430221,19,1997,5,713
1997_5,9,13.4375,18,9,3.140461749,9,1997,5,714
1997_5,10,6.933333333,10,5,1.387014608,5,1997,5,715
1997_5,11,12.26666667,17,6,4.333699618,11,1997,5,716
1997_5,12,14.07142857,18,11,2.234839031,7,1997,5,717
1997_5,13,14.26666667,18,9,2.814926202,9,1997,5,718
1997_5,14,13.5,17,6,3.540244813,11,1997,5,719
1997_5,15,12.41176471,16,10,2.1811357,6,1997,5,720
1997_5,16,6.733333333,9,4,1.222799287,5,1997,5,721
1997_5,17,8.058823529,10,7,1.088036548,3,1997,5,722
1997_5,18,12.08333333,19,-1,6.761634194,20,1997,5,723
1997_5,19,17.47058824,23,12,3.280961122,11,1997,5,724
1997_5,20,11.35714286,17,7,2.762583597,10,1997,5,725
1997_5,21,8.8,11,6,1.567527626,5,1997,5,726
1997_5,22,9.461538462,11,6,1.330124344,5,1997,5,727
1997_5,23,11.44444444,16,4,3.697729386,12,1997,5,728
1997_5,24,16.375,24,6,6.141389636,18,1997,5,729
1997_5,25,12.92857143,18,10,2.585887311,8,1997,5,730
1997_5,26,10.75,14,4,2.93257566,10,1997,5,731
1997_5,27,12.85714286,18,2,4.896735849,16,1997,5,732
1997_5,28,16.64705882,23,3,6.254410209,20,1997,5,733
1997_5,29,17.86666667,22,11,3.833436852,11,1997,5,734
1997_5,30,15.93333333,19,12,2.463060427,7,1997,5,735
1997_5,31,19.23529412,24,16,2.905370281,8,1997,5,736
1998_3,1,5.857142857,8,4,1.561909229,4,1998,3,737
1998_3,2,5.764705882,9,2,2.332632948,7,1998,3,738
1998_3,3,3.1875,5,2,0.910585892,3,1998,3,739
1998_3,4,2.5,3,1,0.730296743,2,1998,3,740
1998_3,5,0.9375,2,-1,0.997914492,3,1998,3,741
1998_3,6,0.8125,2,-1,1.167261753,3,1998,3,742
1998_3,7,3.642857143,7,1,2.499450489,6,1998,3,743
1998_3,8,2.416666667,6,-1,2.108783938,7,1998,3,744
1998_3,9,9.25,16,3,4.97326184,13,1998,3,745
1998_3,10,-2.470588235,13,-7,6.206021744,20,1998,3,746
1998_3,11,-8.266666667,-7,-10,0.883715102,3,1998,3,747
1998_3,12,-8,-6,-11,1.751190072,5,1998,3,748
1998_3,13,-2.470588235,2,-8,3.938871143,10,1998,3,749
1998_3,14,-0.277777778,2,-2,1.074055292,4,1998,3,750
1998_3,15,-1.615384615,-1,-3,0.650443636,2,1998,3,751
1998_3,16,-2.4375,0,-9,2.5811819,9,1998,3,752
1998_3,17,0.333333333,7,-11,6.332080077,18,1998,3,753
1998_3,18,2.5,3,1,0.759554525,2,1998,3,754
1998_3,19,5.470588235,8,3,2.153997651,5,1998,3,755
1998_3,20,3.411764706,7,1,2.42535625,6,1998,3,756
1998_3,21,1.2,2,0,0.560611911,2,1998,3,757
1998_3,22,-2,-1,-3,0.707106781,2,1998,3,758
1998_3,23,-0.388888889,2,-5,2.500326776,7,1998,3,759
1998_3,24,-0.3125,2,-7,2.625991876,9,1998,3,760
1998_3,25,2.941176471,9,-7,5.67307884,16,1998,3,761
1998_3,26,12.17647059,18,5,5.411045349,13,1998,3,762
1998_3,27,19.4375,23,16,2.780137886,7,1998,3,763
1998_3,28,23,27,18,3.700311837,9,1998,3,764
1998_3,29,17.85714286,20,15,1.875228924,5,1998,3,765
1998_3,30,23.77777778,28,13,5.739725119,15,1998,3,766
1998_3,31,25.1875,29,17,3.919502519,12,1998,3,767
1998_4,1,17.05263158,23,12,3.341218743,11,1998,4,768
1998_4,2,8.166666667,12,7,1.339446769,5,1998,4,769
1998_4,3,5.875,9,3,1.707825128,6,1998,4,770
1998_4,4,3,5,1,1,4,1998,4,771
1998_4,5,4.588235294,7,1,2.346775009,6,1998,4,772
1998_4,6,6.411764706,11,1,3.658189845,10,1998,4,773
1998_4,7,7.6875,13,-3,5.325645501,16,1998,4,774
1998_4,8,9,13,6,2.645751311,7,1998,4,775
1998_4,9,6.833333333,8,5,0.707106781,3,1998,4,776
1998_4,10,5,8,1,2.449489743,7,1998,4,777
1998_4,11,6,12,-3,5.220153254,15,1998,4,778
1998_4,12,10,16,-3,6.23965811,19,1998,4,779
1998_4,13,13.58823529,21,1,7.280614874,20,1998,4,780
1998_4,14,16.13333333,21,10,3.88893424,11,1998,4,781
1998_4,15,11.64705882,16,11,1.497547014,5,1998,4,782
1998_4,16,14.61538462,20,8,4.555920352,12,1998,4,783
1998_4,17,14.53333333,18,9,3.292126249,9,1998,4,784
1998_4,18,10.47058824,16,3,4.445751442,13,1998,4,785
1998_4,19,7.294117647,9,6,0.985184366,3,1998,4,786
1998_4,20,7.4,13,4,3.377947056,9,1998,4,787
1998_4,21,11.30769231,17,0,5.528481036,17,1998,4,788
1998_4,22,14.13333333,19,3,5.629852404,16,1998,4,789
1998_4,23,11.94117647,16,5,3.578941677,11,1998,4,790
