"HatchDateJulYear","ID","FieldAge","CalcAge","AllSex","BNT","BW","BD","TEC","UB","UBS","TBS","Skull","Tarsus","Weight"
1993116,"TH SWEG93",24,24,"F",21.2,13.1,12.1,31.8,10.6,128.26,200.34,39.2,56.9,340
1993116,"UG SWEG93",24,24,"",20.2,12.2,12,31.9,11.7,140.4,192.995,40.9,56.3,330
1993117,"BO PARP93",24,24.1,"",17.6,12.7,11.1,27.3,9.7,107.67,162.435,40.1,52.3,295
1993117,"CN PARP93",24,25.1,"",20.3,12.6,12.5,31.3,11,137.5,196.4075,41.5,59,355
1993117,"DM PARP93",24,25,"",20,11.6,12.4,32.2,12.2,151.28,193.2,41.7,56.4,330
1993117,"JF MANN93",28,25.7,"",21.4,11.4,12.6,32.8,11.4,143.64,196.8,40.9,53.6,340
1993117,"YC PARP93",24,24.7,"",20.6,13.6,11.8,33.4,12.8,151.04,212.09,40.4,57.7,360
1993117,"ZB PARP93",24,25.1,"F",19.5,12.7,13.1,30.7,11.2,146.72,198.015,38.8,55.9,350
1993118,"AO BYWY93",27,26.3,"",25.8,13.3,12,38.7,12.9,154.8,244.7775,41.6,56.6,340
1993118,"AP HART93",26,26,"M",23.5,13.7,12.9,38,14.5,187.05,252.7,41.4,64.3,440
1993118,"EL HART93",26,26,"",21.7,13.3,12.4,34.7,13,161.2,222.9475,42.8,62.8,405
1993118,"FK HART93",26,26,"",23.3,13.4,13.9,36.3,13,180.7,247.7475,42.2,63.2,450
1993118,"GJ HART93",26,26,"",20,12.5,12,34.8,14.8,177.6,213.15,37.6,58.9,360
1993118,"HI WAHA93",26,26,"",19.5,13.1,12.6,31.8,12.3,154.98,204.315,40.1,59.5,380
1993118,"IH WAHA93",26,26,"",21.4,12.2,12.3,34.1,12.7,156.21,208.8625,39.3,58.5,395
1993118,"JG WAHA93",26,26,"M",24,14.8,13.7,37.1,13.1,179.47,264.3375,44.2,62.7,460
1993118,"KE MANN93",28,25.7,"",22.7,13.3,12.7,36.4,13.7,173.99,236.6,39.9,53.7,340
1993118,"KF WAHA93",26,26,"",24.2,14,14.1,36.4,12.2,172.02,255.71,45.3,64.3,490
1993118,"LD MANN93",28,25.8,"",22.1,13.4,12.4,33.8,11.7,145.08,218.01,40.9,57.6,340
1993118,"LE WAHA93",26,26,"",21.7,12.9,12,34.1,12.4,148.8,212.2725,42.6,62.7,395
1993119,"MD ALOT93",26,26,"",23.1,13.1,13.1,35.4,12.3,161.13,231.87,41.4,59.9,420
1993120,"EK HABL93",25,25,"M",23.6,13.9,12.2,38.8,15.2,185.44,253.17,40.6,62.9,435
1993120,"FJ HABL93",25,25,"",23.2,14.3,13.3,35.9,12.7,168.91,247.71,44.9,64.2,475
1993120,"GI HABL93",25,25,"M",22.3,13.7,12.9,35.1,12.8,165.12,233.415,42.7,61.9,395
1993120,"HH HABL93",25,25,"M",23.1,13.2,13.2,36,12.9,170.28,237.6,43.3,62.9,455
1993120,"IG HABL93",25,25,"",23.6,14,13.3,36.6,13,172.9,249.795,43.1,62,480
1993120,"NC WEGO93",25,25,"M",21.7,13.4,13.1,34.6,12.9,168.99,229.225,40.5,61.5,380
1993120,"OB WEGO93",25,25,"",22.4,13.6,13.5,34.8,12.4,167.4,235.77,43.3,63,420
1993120,"PA WEGO93",25,25,"",21.4,13,13,33.5,12.1,157.3,217.75,42.4,58.4,360
1993121,"AN CARD93",26,24.9,"",20.6,13.2,12,33.4,12.8,153.6,210.42,39,52.2,270
1993121,"BM CARD93",26,25.8,"",20.7,12.3,12.3,32.6,11.9,146.37,200.49,39.4,51.5,320
1993121,"MC WILG93",26,26,"M",25.8,14.3,13.8,38.5,12.7,175.26,270.4625,43.7,63.3,465
1993121,"NB WILG93",26,26,"",26.3,14.6,14.6,39.9,13.6,198.56,291.27,45.2,63.4,480
1993121,"OA WILG93",26,26,"F",25.1,13.1,13.2,36,10.9,143.88,236.7,44.4,60,410
1993121,"YQ CARD93",26,25.5,"",20.7,13.6,12.6,31.7,11,138.6,207.635,39.6,51.4,335
1993121,"ZP CARD93",26,26.5,"M",23.5,13.1,13.3,35.7,12.2,162.26,235.62,42.4,59.4,445
1993122,"PZ HOME93",25,25.6,"",23,13.9,12.8,35.2,12.2,156.16,234.96,42.9,61,392
1993122,"QY HOME93",25,25.8,"",24,13,12.9,35.6,11.6,149.64,230.51,42.3,62.5,375
1993122,"RX HOME93",25,24.7,"",23,14,13.2,34.2,11.2,147.84,232.56,40.2,62.8,430
1993122,"SW HOME93",25,25.4,"",21,13,12.6,31.4,10.4,131.04,200.96,41.2,61.9,355
1993122,"TV HOME93",25,25.4,"",23.1,13.5,12.7,35.2,12.1,153.67,230.56,42,60.5,360
1993122,"UU HOME93",25,24.8,"",23.1,13.6,12.7,33.8,10.7,135.89,222.235,43.3,62.3,405
1993123,"VT SDON93",24,25.1,"",20.5,13.1,12.4,32.3,11.8,146.32,205.9125,40,60.9,405
1993123,"WS SDON93",24,25.6,"",22.5,14.2,14.2,34.6,12.1,171.82,245.66,41.9,62,475
1993123,"XR SDON93",24,25.6,"",20.7,12.8,12.4,32.9,12.2,151.28,207.27,40.7,62,445
1993124,"EJ TORG93",28,25.7,"",24.4,14.5,13.8,36.8,12.4,171.12,260.36,43,60.7,290
1993124,"FI TORG93",28,26.5,"",23.5,13.4,12.8,37.3,13.8,176.64,244.315,39,58.8,320
1993124,"W-3 TORG93",25,24.8,"",22,13.4,13.2,32.5,10.5,138.6,216.125,40.5,57.4,288
1993126,"CL LISH93",26,26,"",23.9,12.5,14.2,39.3,15.4,218.68,262.3275,39.8,62.4,440
1993126,"DK LISH93",26,26,"F",22.4,12.4,13.4,33.7,11.3,151.42,217.365,40.9,59.2,345
1993128,"HG KRUM93",26,25.6,"",23,15,13.7,36.4,13.4,183.58,261.17,42.4,59.9,440
1993128,"IF KRUM93",26,25.6,"",23,14.5,13.2,34.2,11.2,147.84,236.835,42.8,59.2,405
1993128,"JE KRUM93",26,24.5,"",21.4,13.7,11.9,33.6,12.2,145.18,215.04,40,58.6,365
1993133,"KD LIBE93",25,26.8,"F",21.6,12.7,12,32.7,11.1,133.2,201.9225,42.7,61.5,375
1993133,"LC LIBE93",25,26,"F",21.4,12.8,12.5,34.1,12.7,158.75,215.6825,40.6,58.3,335
1993133,"MB LIBE93",25,25,"",18.1,12.7,11.8,27.3,9.2,108.56,167.2125,39.5,53.3,275
1993133,"NA LIBE93",25,24.6,"",19.7,13.1,12,32.5,12.8,153.6,203.9375,37.4,55.8,245
1993144,"PY SEC293",25,24.5,"",18.4,12.8,11.4,31.7,13.3,151.62,191.785,37.8,53,250
1993144,"QX SEC293",25,24.4,"",19.6,13.6,11.7,31,11.4,133.38,196.075,38.1,52.7,250
1994108,"AM KNOL94",28,25.7,"",22.3,11.6,11.6,33.2,10.9,126.44,192.56,41.7,60.6,370
1994108,"BL KNOL94",28,25.3,"",21.8,12.2,12,33.2,11.4,136.8,200.86,41.4,60.1,337
1994108,"CK KNOL94",28,25,"",21.3,12.8,12.4,33.2,11.9,147.56,209.16,41.2,60.5,375
1994108,"DJ KNOL94",28,26.2,"",23.1,13.7,12.8,35.4,12.3,157.44,234.525,43,63.2,415
1994108,"EI KNOL94",28,25.4,"",21.5,11.5,12.4,32.5,11,136.4,194.1875,41.3,59.6,330
1994108,"FH BROT94",28,26.3,"",23.2,13.3,12.1,35.2,12,145.2,223.52,42.2,62.3,425
1994108,"GG BROT94",28,26.3,"",25,14.1,14.2,37.4,12.4,176.08,264.605,44.2,62.6,452
1994108,"HF BROT94",28,25.8,"",22.5,14.2,12.2,33,10.5,128.1,217.8,44.3,61.4,415
1994108,"IE BROT94",28,25.9,"",21.7,13.2,12.4,34.4,12.7,157.48,220.16,42.4,58.9,390
1994108,"JD EUPS94",28,25.3,"",21.9,14,12.8,33.1,11.2,143.36,221.77,41.9,60.5,400
1994108,"KC EUPS94",28,26.3,"",22.3,13.6,12.9,34.8,12.5,161.25,230.55,41.9,60.4,435
1994108,"LB EUPS94",28,26.4,"",22.4,13,13.2,37.4,15,198,244.97,41.2,63.2,495
1994108,"MA EUPS94",28,25.8,"",21,12.7,12.2,31.9,10.9,132.98,198.5775,41.9,58.6,415
1994108,"NZ EUPS94",28,26.2,"",22.8,13.9,12.8,33.5,10.7,136.96,223.6125,44.2,63.6,482
1994109,"OY SWEG94",29,29,"",23.2,12.6,12.8,34.1,10.9,139.52,216.535,42.6,58.8,387
1994109,"QW SWEG94",29,29,"",24.4,13.2,13.7,35.5,11.1,152.07,238.7375,43.7,59.2,400
1994109,"SU WHIT94",29,26.1,"",20,12.2,13,30.9,10.9,141.7,194.67,40.5,51.7,317
1994109,"TT WHIT94",29,26.2,"",20.1,12.9,12.1,30.5,10.4,125.84,190.625,43.5,55,375
1994109,"US WHIT94",29,26.8,"",20.5,13.2,13.4,31.3,10.8,144.72,208.145,45.6,57,420
1994109,"VR WHIT94",29,27.1,"",21.6,12.7,13.5,33.6,12,162,220.08,43.4,58.2,366
1994110,"AL SPRU94",29,25.9,"",22.5,12.6,13,35.6,13.1,170.3,227.84,42.2,60.8,393
1994110,"BK SPRU94",29,24.9,"F",20.3,11.7,12.2,31.6,11.3,137.86,188.81,39,59.2,330
1994110,"CJ SPRU94",29,25.8,"",22,13.2,13.4,34.1,12.1,162.14,226.765,42.7,63.6,380
1994110,"DI SPRU94",29,26.5,"",22.1,13.3,13.3,35.9,13.8,183.54,238.735,43.7,64.4,425
1994110,"EH SPRU94",29,26.2,"",22.7,12.6,12.8,34.7,12,153.6,220.345,41.8,60,365
1994110,"FG PAHA94",29,25.9,"",21.6,12,11.6,35.2,13.6,157.76,207.68,41.3,62,385
1994110,"GF PAHA94",29,26.2,"",25.6,13.9,12.7,38.6,13,165.1,256.69,44.2,63.4,482
1994110,"HE PAHA94",29,25.7,"",23.8,12.5,12.1,35.1,11.3,136.73,215.865,42.1,62.5,420
1994110,"ID PAHA94",29,25.8,"",21.7,12.1,12.2,34.9,13.2,161.04,212.0175,40.9,60.8,383
1994110,"JC PAHA94",29,26.1,"",22.5,10.8,11.5,34.1,11.6,133.4,190.1075,41.9,60.2,367
1994110,"PX SWEG94",28,28,"M",23.8,14.1,13.7,38.7,14.9,204.13,268.965,42,61.9,450
1994110,"ZN SPRU94",29,26.3,"M",23,12.6,13.3,35.1,12.1,160.93,227.2725,42.2,63.8,410
1994111,"LA WILG94",28,26.5,"",23.8,14.3,13.1,36.4,12.6,165.06,249.34,45,64.8,455
1994111,"MZ WILG94",28,26,"",22.9,13.4,12.9,34.2,11.3,145.77,224.865,42,58.5,375
1994111,"NY WILG94",28,25.4,"",23.1,13.6,12.6,34.6,11.5,144.9,226.63,42.4,61.4,400
1994111,"OX WILG94",28,25.2,"",21.8,13.7,12.8,32.2,10.4,133.12,213.325,41.7,60.4,360
1994111,"RV SWEG94",27,27,"M",23.6,13.2,12.8,35.4,11.8,151.04,230.1,43.7,61.3,440
1994111,"WQ BUCH94",27,26.6,"",22.9,13.8,13.7,35.5,12.6,172.62,244.0625,41.5,59,435
1994111,"XP BUCH94",27,25.5,"",21.2,12.7,12.4,32.8,11.6,143.84,205.82,40.8,61.1,382
1994111,"YO BUCH94",27,26.2,"",23.4,13.8,14,34.3,10.9,152.6,238.385,44.9,62.6,440
1994112,"PW HART94",28,28,"",22.8,11.6,12,34.9,12.1,145.2,205.91,40.9,56.6,387
1994112,"QV HART94",28,28,"F",22.7,11.4,11,32.2,9.5,104.5,180.32,44.2,60.2,372
1994112,"RU HART94",28,28,"",20,11.4,11.9,32.2,12.2,145.18,187.565,39.9,54.5,325
1994112,"ST HART94",28,28,"F",22.6,11.9,12.1,33.6,11,133.1,201.6,43.9,60.7,380
1994112,"TS HART94",28,28,"",23.9,12.2,12.5,37.2,13.3,166.25,229.71,41.8,59.6,400
1994112,"UR NOGO94",28,27.2,"",22.6,12.6,11.9,33.7,11.1,132.09,206.4125,43.7,60.6,375
1994113,"VQ ALEX94",27,27,"",23.3,13.4,13.3,34.6,11.3,150.29,230.955,43.9,61.8,400
1994113,"WP ALEX94",27,27,"",23.3,12.4,12.3,35.4,12.1,148.83,218.595,42.1,58.5,340
1994113,"XO ALEX94",27,27,"",22.3,12.6,12.6,32.4,10.1,127.26,204.12,46,61.9,422
1994114,"EG GENR94",29,29,"",24.5,13.1,13.8,36.5,12,165.6,245.4625,43,61.5,407
1994114,"FF GENR94",29,29,"",24.4,12.9,13.4,37.2,12.8,171.52,244.59,41.4,60.8,387
1994114,"HD GENR94",29,29,"",26.4,14.3,14.2,40,13.6,193.12,285,44.6,64.6,440
1994114,"IC GENR94",29,29,"",25.2,13.4,13.9,36.4,11.2,155.68,248.43,44.6,59.4,395
1994114,"YN MART94",26,25.8,"M",21.1,12.3,12.2,34.3,13.2,161.04,210.0875,42.5,60.7,375
1994114,"ZM MART94",26,25.8,"F",22.8,12.8,13.1,35,12.2,159.82,226.625,41.3,60.6,367
1994115,"JB GENR94",28,28,"",24.1,12.7,12.7,34.8,10.7,135.89,220.98,42.4,57.6,360
1994115,"LZ ALOT94",28,28,"",24.1,12.7,13.4,36.4,12.3,164.82,237.51,44.3,61.8,390
1994115,"OW PARP94",28,27.5,"",21.3,13.5,11.7,33.4,12.1,141.57,210.42,42.7,55,325
1994115,"PV PARP94",28,27.4,"",21,12.8,11.4,32.2,11.2,127.68,194.81,40.6,52.8,305
1994115,"QU PARP94",28,27.3,"",22.9,13.5,12.6,35.8,12.9,162.54,233.595,42.9,58.4,375
1994115,"doa PARP94",28,27.5,"",21.6,13.3,13.5,34.3,12.7,171.45,229.81,42.8,58.3,330
1994116,"AJ DYCE94",28,27.1,"",22.9,14.1,13.5,36.7,13.8,186.3,253.23,43,59.2,393
1994116,"BI DYCE94",28,28.7,"",24,13.8,12.5,36.7,12.7,158.75,241.3025,42.4,58.2,355
1994116,"CH DYCE94",28,28.3,"",25,12.9,13.5,37.1,12.1,163.35,244.86,42.1,56.8,360
1994116,"DG DYCE94",28,25.4,"",21.4,12.9,13,33.9,12.5,162.5,219.5025,40.6,58.6,330
1994116,"GE GENR94",27,27,"",22.9,13.4,13.2,36.6,13.7,180.84,243.39,40.4,60.5,380
1994116,"UQ HIPA94",28,27.5,"",21.7,12.2,12.2,34.3,12.6,153.72,209.23,39.7,53.6,340
1994116,"VP HIPA94",28,27.5,"",21.7,12.5,13.3,35,13.3,176.89,225.75,40.6,55.8,332
1994116,"WO WEGO94",28,28.7,"F",24,12.6,12.9,34.9,10.9,140.61,222.4875,43.7,61,350
1994116,"XN WEGO94",28,28.6,"M",24.7,13.1,12.8,36.7,12,153.6,237.6325,43.3,61.3,390
1994116,"YM WEGO94",28,27,"",23.6,12.1,11.8,35.6,12,141.6,212.71,40.9,59.6,347
1994116,"ZL WEGO94",28,26.4,"M",23.8,14.2,12.7,36.2,12.4,157.48,243.445,42.1,60,410
1994117,"FE PWOD94",28,28,"",26.5,14.1,13.6,40.2,13.7,186.32,278.385,42.9,61.8,437
1994117,"GD PWOD94",28,28,"",23,13,13.2,36.1,13.1,172.92,236.455,41.2,58.5,420
1994117,"HC PWOD94",28,28,"",23.5,14.2,13.6,35.6,12.1,164.56,247.42,41.4,58.5,390
1994119,"IB POND94",26,26,"",25.7,14.2,12.9,39.1,13.4,172.86,264.9025,41.3,64,377
1994119,"JA POND94",26,26,"",22.9,13,12.2,34.6,11.7,142.74,217.98,41.2,61.1,330
1994127,"KZ HOME94",27,27.5,"",24.4,14.7,12.7,36.7,12.3,156.21,251.395,41.8,61.3,410
1994127,"LY HOME94",27,27,"",23.8,13.5,12.6,36.7,12.9,162.54,239.4675,42.1,61.5,427
1994127,"MX HOME94",27,27.7,"",23.6,12.6,12.4,36.6,13,161.2,228.75,41.9,60.7,390
1994127,"NW HOME94",27,27.3,"M",23.6,13.4,12.8,35.5,11.9,152.32,232.525,43.7,61.2,440
1994128,"OV BURL94",26,26.2,"M",24.1,13.5,13.1,37.4,13.3,174.23,248.71,41.4,61.5,410
1994128,"PU BURL94",26,27,"",23.5,12.4,13.2,35.7,12.2,161.04,228.48,42.5,62.7,415
1994128,"QT BURL94",26,26.2,"",24.6,13.3,13.2,37.8,13.2,174.24,250.425,40.9,61.1,407
1994128,"RS BURL94",26,25.3,"F",21.7,11.1,12.2,32.2,10.5,128.1,187.565,41,56.3,353
1995102,"AI KRUD95",26,26.1,"",23.8,14.2,13,34.4,10.6,137.8,233.92,45.1,62.3,432
1995102,"BH KRUD95",26,25.8,"",22.7,14.3,13.6,35.7,13,176.8,249.0075,42.1,62.4,410
1995102,"CG KRUD95",26,26.1,"",23.8,13.5,12.7,36.2,12.4,157.48,237.11,42.6,62.7,435
1995102,"DF KRUD95",26,25.6,"",22.5,12.2,13,34.1,11.6,150.8,214.83,42.3,59.7,395
1995102,"EE KRUD95",26,24.6,"",22.8,13.6,13.6,37.4,14.6,198.56,254.32,43.3,63,415
1995104,"IA GENR95",25,25.2,"",21.7,12.7,12.5,33.4,11.7,146.25,210.42,41.6,58.1,350
1995104,"JZ GENR95",25,25.6,"",23.1,13.8,14.1,36,12.9,181.89,251.1,42.1,62.2,430
1995104,"KY GENR95",25,24.7,"",20.3,12.9,12.7,32.9,12.6,160.02,210.56,40.2,57.4,350
1995104,"LX GENR95",25,25.4,"",21.4,13.8,13.2,32.9,11.5,151.8,222.075,42.2,59.4,380
1995104,"MW GENR95",25,24.8,"",22,13.2,12.2,33,11,134.2,209.55,39.8,59.6,362
1995105,"NV WINK95",24,25,"",21.4,11.6,11.3,31.7,10.3,116.39,181.4825,39.6,59.2,347
1995105,"OU WINK95",24,25.5,"",21.9,13.4,12.9,35.9,14,180.6,236.0425,40.4,62.6,420
1995105,"PT WINK95",24,24.8,"",20.7,12.4,12.8,32.7,12,153.6,206.01,38.8,60.4,372
1995105,"QS WINK95",24,24.6,"",22,14.1,12.8,33.6,11.6,148.48,225.96,41.1,62.4,407
1995106,"VN KNOL95",NA,27.7,"M",23.8,12.8,13,35.5,11.7,152.1,228.975,43.3,62.1,355
1995106,"WM KNOL95",NA,26.8,"M",23.7,12.7,13.7,37.4,13.7,187.69,246.84,40.6,62.9,360
1995106,"XL KNOL95",NA,27.8,"M",24.2,13.2,13.5,37.4,13.2,178.2,249.645,42.5,62.1,398
1995108,"CF JSUP95",29,27,"",22.2,12.6,12.8,34.4,12.2,156.16,218.44,43.3,61.1,352
1995108,"DE JSUP95",29,26.5,"",21.8,12.7,12.7,34.1,12.3,156.21,216.535,42,60.2,341
1995108,"ED NDYC95",29,27.3,"",24.1,14.3,12.8,37.5,13.4,171.52,254.0625,42.5,60.5,405
1995108,"FC NDYC95",29,27.8,"",25.3,13,13.3,36.6,11.3,150.29,240.645,44.7,61.1,430
1995108,"GB NDYC95",29,27.4,"",23.9,14.5,13.9,35,11.1,154.29,248.5,44.7,62.1,458
1995108,"ZJ LIBE95",28,28,"",20.4,12.5,11.6,31.2,10.8,125.28,187.98,39.5,54.3,260
1995109,"AH LIBE95",27,27,"",20,12.5,11.8,33.2,13.2,155.76,201.69,41.2,58.8,345
1995109,"BG LIBE95",27,27,"",18.8,11.5,10.9,27.4,8.6,93.74,153.44,42.7,53.7,302
1995109,"HA NDYC95",28,27.3,"",22.7,13.4,13.2,34.5,11.8,155.76,229.425,42.4,60.7,390
1995109,"IZ ETNL95",28,28.3,"",24.2,14,14.3,36,11.8,168.74,254.7,46.6,60.5,430
1995109,"JY ETNL95",28,27.6,"",23.7,13.9,13.6,33.8,10.1,137.36,232.375,45.8,60,390
1995109,"KX ETNL95",28,28.5,"",22.7,14.2,14.3,35.7,13,185.9,254.3625,43.2,58.1,405
1995110,"LW ETNL95",27,27.3,"",21.5,12.8,13.8,33.3,11.8,162.84,221.445,43.6,58.2,380
1995113,"MV WILG95",25,26,"",22,13.4,13.2,33.5,11.5,151.8,222.775,43.7,63.9,410
1995113,"NU WILG95",25,25.3,"",22.5,14.5,13.9,34,11.5,159.85,241.4,43.6,62.9,443
1995113,"OT WILG95",25,25.9,"",22.5,13.6,13.3,34.3,11.8,156.94,230.6675,43.6,61.6,455
1995113,"PS WILG95",25,24,"",19.4,11.9,11.9,30.3,10.9,129.71,180.285,38.8,58.8,308
1995113,"QR FRES95",26,26.6,"",23,14.4,13.9,36.7,13.7,190.43,259.6525,44.2,65.6,440
1995113,"RQ FRES95",26,26.5,"",23.8,14.7,13.9,36.6,12.8,177.92,261.69,45.9,66.6,470
1995114,"SP FRES95",25,25.1,"",19.8,13,11.9,32.5,12.7,151.13,202.3125,40.5,61.3,362
1995114,"VM WEGO95",28,27.1,"",25.3,12.9,13.9,39.2,13.9,193.21,262.64,42.4,62.6,427
1995114,"WL WEGO95",28,27.2,"M",24.4,13.5,14.2,37.7,13.3,188.86,261.0725,43.6,63.8,435
1995114,"XK WEGO95",28,26.6,"",23.6,13.1,13.2,36.1,12.5,165,237.3575,43.7,61.8,380
1995114,"YJ WEGO95",28,26.4,"",23.5,12.6,12.7,34.5,11,139.7,218.2125,43.7,59.6,372
1995115,"TO YATE95",24,25.4,"",20.9,13.9,12.1,31.8,10.9,131.89,206.7,40.1,55.1,332
1995115,"UN YATE95",24,24.8,"",20.1,12.3,12.2,28.6,8.5,103.7,175.175,40.4,51.7,280
1995115,"VL DART95",NA,27,"F",25.2,14.5,14.8,36.5,11.3,167.24,267.3625,45.8,65,422
1995116,"KW HART95",27,28,"",23.9,11.4,12.3,35.7,11.8,145.14,211.5225,42.7,60.5,377
1995117,"AG WAHA95",25,25.2,"M",21.4,12.8,12.9,32.1,10.7,138.03,206.2425,42,59.2,405
1995117,"BF WAHA95",25,25.2,"M",22.8,14,14.3,34.4,11.6,165.88,243.38,43,62.3,425
1995117,"CE WAHA95",25,25.1,"F",20.9,13.5,12.6,31.6,10.7,134.82,206.19,43.1,59.8,395
1995117,"DD WAHA95",25,24.6,"",19.6,13.9,12.1,30.1,10.5,127.05,195.65,39.4,57.6,290
1995117,"EC WAHA95",25,24.1,"",19.5,13,12.4,31.2,11.7,145.08,198.12,38.8,57.7,330
1995117,"FB WILO95",26,25.6,"",22.2,13.8,13.2,33.9,11.7,154.44,228.825,39.6,57.5,360
1995117,"GA WILO95",26,26.3,"",21,14.1,13.3,33.8,12.8,170.24,231.53,43.9,61.1,427
1995117,"HZ WILO95",26,26.7,"",22.4,12.4,12.5,31.9,9.5,118.75,198.5775,42,55.1,355
1995117,"IY WILO95",26,25.5,"",19.7,12.6,12.1,30.8,11.1,134.31,190.19,37.9,52,320
1995117,"JX NEEL95",26,26,"",24,13.1,11.9,37.4,13.4,159.46,233.75,41.8,59.6,392
1995117,"LV ROGO95",26,25.4,"M",21.9,13.4,12.1,33.5,11.6,140.36,213.5625,42.1,61.3,336
1995117,"MU ROGO95",26,25.1,"",19.2,13.5,11,31.1,11.9,130.9,190.4875,40.5,60.3,330
1995117,"NT PINW95",26,26,"",21.6,12.1,12.8,33.2,11.6,148.48,206.67,39.8,54.1,312
1995117,"ZI WAHA95",25,25,"",22.3,14.2,12.2,34.4,12.1,147.62,227.04,41,60,417
1995118,"OS WSAP95",26,26,"",19.3,11.8,11.4,30.3,11,125.4,175.74,38.6,52,277
1995118,"PR WSAP95",26,26,"",18.6,11.4,11,30.1,11.5,126.5,168.56,38.4,49.2,222
1995118,"QQ WSAP95",26,26,"",19.4,11.6,11.6,32,12.6,146.16,185.6,38.8,54,277
1995119,"RP HOME95",25,26.4,"",25,13.9,13.2,36.4,11.4,150.48,246.61,42.7,61.7,435
1995119,"SO HOME95",25,25.2,"",21.7,13.1,12.2,32.3,10.6,129.32,204.2975,42.4,58.6,384
1995120,"AF ETHA95",26,25.8,"",22.2,12.5,12.7,34.5,12.3,156.21,217.35,40.1,58.1,373
1995120,"BE ETHA95",26,25.8,"",22.2,12.9,13.4,36.2,14,187.6,238.015,39,60.7,412
1995120,"YI ETHA95",26,26.1,"",22.2,13,13.4,33.9,11.7,156.78,223.74,40.8,61.2,430
1995120,"ZH ETHA95",26,26.2,"",21.7,12.6,13.2,35.6,13.9,183.48,229.62,41.2,60,419
1995121,"TN PAHA95",24,24.2,"",17.3,12.6,10.9,27.4,10.1,110.09,160.975,38.6,53.1,286
1995122,"CD SAHA95",28,28,"",24,11.5,12.8,38,14,179.2,230.85,43,61.3,422
1995122,"DC SAHA95",28,28,"",23.7,12.2,13.1,36.7,13,170.3,232.1275,42.5,61.8,470
1995122,"EB SAHA95",28,28,"",23.8,11.8,12.9,37.7,13.9,179.31,232.7975,43.9,60.7,423
1995125,"FA MUDD95",27,27.9,"",27.8,13.3,14.3,40.1,12.3,175.89,276.69,44.5,61.8,425
1995125,"GZ MUDD95",27,27.5,"",26.8,14.1,14.6,39.6,12.8,186.88,284.13,40.7,59,350
1995125,"HY MUDD95",27,27.6,"",25.7,13.6,12.8,35.3,9.6,122.88,232.98,44.4,59,370
1995125,"IX MUDD95",27,26.7,"F",25,12.9,14.1,37.2,12.2,172.02,251.1,42.5,61.1,390
1995128,"JW WECE95",28,28,"",20.8,13.1,11.5,32.3,11.5,132.25,198.645,39.2,55.1,275
1995128,"KV WECE95",28,28,"",20,13,10.8,32.7,12.7,137.16,194.565,38.4,53.1,255
1996105,"EA PACO96",29,27.1,"",21.4,11.6,11.8,33.3,11.9,140.42,194.805,41.7,60,368
1996105,"FZ PACO96",29,26.1,"",21.7,11.8,12.7,33,11.3,143.51,202.125,41.9,59.7,353
1996105,"GY PACO96",29,25.9,"M",21.6,12.9,12,32.5,10.9,130.8,202.3125,40.6,58.6,303
1996105,"HX PACO96",29,26.9,"",22.6,12,13.4,34.2,11.6,155.44,217.17,42.7,60.5,385
1996108,"AE WINK96",26,25.9,"M",22.9,12.3,11.7,35.2,12.3,143.91,211.2,40.2,62.2,395
1996108,"BD WINK96",26,25.9,"",21.9,12.6,13.6,33.3,11.4,155.04,218.115,43.1,62.5,445
1996108,"CC WINK96",26,25.2,"",21.8,13.1,13.5,34.1,12.3,166.05,226.765,41.7,60.6,418
1996109,"DB WINK96",25,24.5,"",19.8,12.4,11.9,30.2,10.4,123.76,183.465,41.3,57.2,333
1996111,"IW STAD96",25,25,"",24.2,13.9,13.7,37,12.8,175.36,255.3,39.9,58.4,408
1996111,"KU STAD96",25,25,"M",22.1,12.8,13.9,34,11.9,165.41,226.95,42.5,57.6,417
1996111,"LT BROT96",25,25.2,"",21.2,13.9,12.1,33.4,12.2,147.62,217.1,38.8,60.1,383
1996111,"MS BROT96",25,25.8,"",22,13.2,12.2,34.8,12.8,156.16,220.98,41.3,60.5,435
1996111,"NR BROT96",25,25.9,"",23,13.7,12.7,35.6,12.6,160.02,234.96,42.5,62.2,400
1996112,"JV STAD96",24,24,"",21.4,12.4,12.7,32.1,10.7,135.89,201.4275,42.9,58.5,353
1996112,"UK FALL96",25,25.7,"",21,12.9,12.7,32.3,11.3,143.51,206.72,41.2,55.1,360
1996112,"VJ FALL96",25,25.5,"",19.8,12.6,11.8,32.1,12.3,145.14,195.81,39.8,56.5,365
1996112,"WI FALL96",25,25.2,"",18.4,12.2,12.4,30.1,11.7,145.08,185.115,39.5,52.6,290
1996113,"AD ITTC96",25,24.8,"",21.5,12.5,12.6,33.4,11.9,149.94,209.585,41.4,58.4,374
1996113,"BC ITTC96",25,24.4,"",20.3,11.4,12.3,31.1,10.8,132.84,184.2675,40.5,53.8,337
1996113,"CB ITTC96",25,24.8,"",22.5,12.6,12.9,33.6,11.1,143.19,214.2,42,57.5,400
1996114,"EZ ITTC96",24,24.1,"",18.6,11.8,12,29,10.4,124.8,172.55,39.2,51,290
1996114,"LS FAEL96",28,26.1,"",21.5,10.9,12.5,29.2,7.7,96.25,170.82,45,50.2,255
